序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业,date
1,600565,迪马股份,-3.3333334922790527,1.74,1.98,595880960,4335220934.16,4335220941.12,12.541162490844727,-1.1363636255264282,092500,2,3/2,13.333333969116211,房地产开,2024-01-16
2,002731,萃华珠宝,-4.530478000640869,11.59,13.35,297269696,2820667780.62,2968848040.0,9.855709075927734,0.0,093003,1,0/0,15.897857666015625,珠宝首饰,2024-01-16
3,600828,茂业商业,3.0534350872039795,5.4,5.76,632926512,9349344977.400002,9352705737.6,6.670243740081787,-0.18484288454055786,093013,2,4/3,14.312976837158203,商业百货,2024-01-16
4,002159,三特索道,2.5564804077148438,17.25,18.5,383105056,2380999991.25,3058447856.25,15.613260269165039,-0.173611119389534,093106,1,0/0,8.263971328735352,旅游酒店,2024-01-16
5,002162,悦心健康,2.0833334922790527,4.9,5.28,760027264,4538250458.700001,4539850000.0,15.952596664428711,0.0,093130,3,0/0,8.333333969116211,装修建材,2024-01-16
6,002112,三变科技,6.159769058227539,11.03,11.43,427385792,2890742400.0,2890742400.0,14.902071952819824,0.09074410051107407,093551,1,0/0,10.875842094421387,电网设备,2024-01-16
7,603213,镇洋发展,2.371218204498291,12.52,13.45,414707408,1950549806.76,5443696000.0,20.63766860961914,0.07993604987859726,094044,1,2/1,11.610793113708496,化学原料,2024-01-16
8,001212,中旗新材,8.317289352416992,28.13,28.57,261638967,1541982237.7,3315715871.45,17.440950393676758,0.0,094954,1,0/0,11.821332931518555,装修装饰,2024-01-16
9,603192,汇得科技,1.6332244873046875,21.78,23.57,281176064,3020160007.26,3020160007.26,9.024595260620117,0.13793103396892548,095042,4,2/1,10.499300003051758,化学制品,2024-01-16
10,600178,东安动力,6.576862335205078,13.45,13.88,1270067040,6214976000.0,6395382248.799999,20.264083862304688,0.0,100355,4,0/0,10.538827896118164,汽车零部,2024-01-16
11,603009,北特科技,7.118927478790283,12.79,13.13,341267952,4328250726.299999,4588157927.84,7.919529914855957,-0.078125,101034,1,0/0,9.46398639678955,汽车零部,2024-01-16
12,001260,坤泰股份,6.352941036224365,22.6,23.38,183968340,649750000.0,2599000000.0,28.520166397094727,0.1329198032617569,102221,1,0/0,10.635293960571289,汽车零部,2024-01-16
13,000570,苏常柴Ａ,6.3063063621521,5.9,6.11,481889360,2943358523.4,4163585820.8,16.155763626098633,0.0,104151,9,0/0,11.171171188354492,汽车零部,2024-01-16
14,603099,长白山,2.452394723892212,35.51,38.13,2077812608,9469451700.0,9469451700.0,21.225528717041016,0.028169015422463417,105404,2,11/8,9.001730918884277,旅游酒店,2024-01-16
15,001239,永达股份,2.8947367668151855,23.46,25.08,729074384,1121069858.94,5630400000.0,65.5766372680664,-0.04260758310556412,132830,1,2/1,14.51754379272461,专用设备,2024-01-16
16,600621,华鑫股份,8.423493385314941,14.03,14.23,1585952288,14884417066.76,14884417122.88,10.805058479309082,0.0,141556,2,0/0,9.428130149841309,证券,2024-01-16
