序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业,date
1,002681,奋达科技,2.2869021892547607,4.92,5.29,2487093312,7283737366.08,8882596890.24,32.63310623168945,-0.20283974707126617,092500,2,4/3,9.979209899902344,消费电子,2024-09-02
2,002426,胜利精密,-3.076923131942749,1.89,2.15,1073517264,6430913793.99,6469221578.4,15.465873718261719,-1.047120451927185,093024,2,3/2,14.358975410461426,通用设备,2024-09-02
3,605118,力鼎光电,3.38504958152771,14.66,15.6,160808945,5968320560.0,5968320560.0,2.640279531478882,0.0,093147,1,0/0,8.956276893615723,光学光电,2024-09-02
4,600552,凯盛科技,8.873974800109863,14.6,14.75,2852961152,13791260652.4,13791260681.6,20.91551399230957,1.2482662200927734,093203,2,6/3,6.18941068649292,光学光电,2024-09-02
5,001282,三联锻造,5.315420627593994,18.03,18.83,87011662,1006650960.0000001,2861433120.0,8.53660774230957,0.0,093206,1,0/0,8.352803230285645,汽车零部,2024-09-02
6,000518,四环生物,5.970149040222168,2.13,2.21,126040595,2192911026.0899997,2192954757.12,5.728092193603516,-0.4672897160053253,093336,1,0/0,9.950248718261719,生物制品,2024-09-02
7,002819,东方中科,5.378657341003418,24.49,25.56,784798672,5750213599.679999,7323411232.0,13.350848197937012,0.04084967449307442,093800,4,2/1,6.712564945220947,仪器仪表,2024-09-02
8,002636,金安国纪,7.469512462615967,7.05,7.22,242772523,5106529439.849999,5132400000.0,4.688387393951416,0.0,094315,2,0/0,5.6402435302734375,电子元件,2024-09-02
9,600208,新湖中宝,5.952381134033203,1.78,1.85,475711664,15143829149.300001,15145914624.0,3.0707030296325684,-0.5586591958999634,094325,2,0/0,4.761904716491699,房地产开,2024-09-02
10,300521,爱司凯,14.24870491027832,13.23,13.9,263517472,1905107497.65,1905120000.0,14.103752136230469,0.0,094406,1,0/0,24.17961883544922,专用设备,2024-09-02
11,600730,中国高科,6.280193328857422,4.4,4.55,257657538,2581286408.8,2581286400.0,9.868158340454102,-0.4524887204170227,095616,2,0/0,6.280193328857422,教育,2024-09-02
12,600665,天地源,1.2765957117080688,2.38,2.59,191968976,2056611599.98,2056611616.6399999,9.045999526977539,0.4219409227371216,100003,2,2/1,11.06382942199707,房地产开,2024-09-02
13,600990,四创电子,2.9354207515716553,15.78,16.86,197228288,4245020342.8799996,4312513170.24,4.578440189361572,0.06341154128313065,101009,1,0/0,10.82844066619873,通信设备,2024-09-02
14,002468,申通快递,9.130912780761719,9.92,10.0,565056576,14801092917.44,15185557427.2,3.8248238563537598,-0.5015044808387756,102112,9,0/0,8.250824928283691,物流行业,2024-09-02
15,605005,合兴股份,2.78145694732666,15.52,16.61,89938752,6223520000.0,6223520000.0,1.419981598854065,0.06447453051805496,102456,1,0/0,10.794702529907227,汽车零部,2024-09-02
16,603186,华正新材,6.0487380027771,24.37,25.28,509049920,3460831270.2400002,3460831270.2400002,14.67291259765625,0.2055921107530594,105252,1,0/0,7.963446617126465,电子元件,2024-09-02
17,300256,星星科技,16.412214279174805,3.05,3.14,1271762128,5012349827.299999,6918599845.599999,26.228670120239258,0.0,110500,2,0/0,16.412214279174805,消费电子,2024-09-02
18,300134,大富科技,13.581891059875488,8.53,9.01,659627760,6076925591.179999,6546757939.999999,11.173447608947754,0.0,130633,1,0/0,18.64181137084961,通信设备,2024-09-02
19,002387,维信诺,4.103343486785889,6.85,7.24,591310976,9482101307.1,9518774686.4,6.31279993057251,0.0,131524,1,2/1,13.221883773803711,光学光电,2024-09-02
20,003015,日久光电,5.143721580505371,13.9,14.54,1419203376,3405382364.3,3906826740.8,42.10889434814453,0.0,132245,1,3/2,14.069591522216797,光学光电,2024-09-02
21,002708,光洋股份,4.0,7.54,7.98,291590368,3729776829.48,4238218678.72,7.786278247833252,0.13280212879180908,132600,1,0/0,10.758620262145996,汽车零部,2024-09-02
