序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业,date
1,000678,襄阳轴承,-4.175824165344238,4.36,5.01,356195104,2003907434.92,2003907413.1200001,16.036888122558594,0.0,092500,3,3/2,15.164835929870605,汽车零部,2024-08-22
2,002577,雷柏科技,-1.517241358757019,14.28,15.95,559079488,4039312200.0,4039526400.0,13.008581161499023,-0.139860138297081,093003,1,2/1,15.310343742370605,消费电子,2024-08-22
3,002910,庄园牧场,2.5125627517700195,6.12,6.57,87097998,1046899134.0,1196700803.64,7.977402210235596,-0.4878048896789551,093003,1,0/0,8.207704544067383,食品饮料,2024-08-22
4,300081,恒信东方,10.8695650100708,5.1,5.52,567852048,3083989594.2,3084456662.3999996,17.96717071533203,0.0,093227,1,0/0,21.30434799194336,通信服务,2024-08-22
5,300076,GQY视讯,4.143646240234375,3.77,4.34,252641484,1598480000.0,1598480000.0,15.034130096435547,0.0,093442,1,0/0,20.165746688842773,光学光电,2024-08-22
6,000158,常山北明,5.546218395233154,6.28,6.55,805907360,9949299500.800001,10039313001.6,7.926295757293701,-0.158982515335083,093542,1,0/0,10.924369812011719,综合行业,2024-08-22
7,301337,亚华电子,9.672505378723145,28.8,31.51,463045504,1118123280.0,3000960000.0,39.872711181640625,0.0,094021,1,0/0,21.93450164794922,软件开发,2024-08-22
8,600078,澄星股份,2.1194605827331543,5.3,5.71,148894497,3511636163.2999997,3511636179.2,4.121180534362793,0.0,095648,1,2/1,10.019268035888672,化肥行业,2024-08-22
9,688320,禾川科技,14.881240844726562,23.7,24.76,220776093,2502262732.2,3579023931.6,8.858759880065918,0.0,100105,2,0/0,16.335433959960938,仪器仪表,2024-08-22
10,002667,威领股份,-6.1389336585998535,5.81,6.81,306270432,1370843936.0,1408175510.0,20.625986099243164,-1.1904761791229248,100703,1,3/2,16.316640853881836,能源金属,2024-08-22
11,600501,航天晨光,9.883721351623535,17.01,17.03,1608937296,7222419634.500001,7336899622.080001,22.829444885253906,0.0,103016,6,0/0,10.852713584899902,专用设备,2024-08-22
12,000736,中交地产,6.864065170288086,7.94,8.17,373052912,5521743490.66,5931961296.0,6.690132141113281,0.0,103636,1,0/0,8.613727569580078,房地产开,2024-08-22
13,002069,獐子岛,9.638553619384766,2.73,2.74,62362429,1938890209.62,1941336284.16,3.357450008392334,0.0,144851,1,0/0,10.843374252319336,农牧饲渔,2024-08-22
