序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业,date
1,002898,赛隆药业,1.0672358274459839,9.47,10.31,106604427,958956452.6700001,1666720000.0,10.831236839294434,0.0,093030,1,0/0,9.81856918334961,化学制药,2024-08-15
2,300639,凯普生物,0.14409221708774567,6.95,8.33,717553008,4414392378.45,4493179670.400001,14.957887649536133,0.0,093142,1,0/0,20.31700325012207,医疗器械,2024-08-15
3,603168,莎普爱思,3.8904898166656494,7.21,7.63,137211554,2325891917.79,2733755366.72,5.846614360809326,0.0,093232,1,0/0,11.671469688415527,化学制药,2024-08-15
4,002827,高争民爆,3.7414963245391846,27.45,29.11,1343822320,7576169118.75,7576200000.0,18.03323745727539,3.7414963245391846,094718,1,3/2,13.643235206604004,化学制品,2024-08-15
5,301288,清研环境,11.98952865600586,21.39,22.92,466165520,1007317644.36,2310333900.0,45.911468505859375,0.0,101121,1,4/2,21.308900833129883,环保行业,2024-08-15
6,603728,鸣志电器,8.113419532775879,38.51,39.18,802563312,16131165075.0,16176741660.0,5.033690929412842,0.025974024087190628,101346,1,0/0,10.612015724182129,电机,2024-08-15
7,002670,国盛金控,6.102783679962158,9.91,10.27,1500903120,16087404782.94,19176688940.96,9.256956100463867,0.0,101439,1,0/0,10.920771598815918,证券,2024-08-15
8,002170,芭田股份,7.428571701049805,5.64,5.78,189104402,4006809300.8399997,5026172269.44,4.713708400726318,0.0,101924,1,0/0,10.476190567016602,化肥行业,2024-08-15
9,603721,中广天择,5.215311050415039,21.99,22.99,353260000,2858700000.0,2858700000.0,12.280879974365234,0.045495904982089996,102901,2,0/0,11.913875579833984,文化传媒,2024-08-15
10,002577,雷柏科技,8.566853523254395,13.56,13.74,429833232,3835649400.0,3835852800.0,11.521044731140137,0.07380073517560959,103345,4,2/1,9.607686042785645,消费电子,2024-08-15
11,002456,欧菲光,8.496732711791992,8.3,8.42,2672443408,26972833832.800003,27449669164.800003,10.016804695129395,0.0,103742,1,0/0,10.45751667022705,光学光电,2024-08-15
12,300165,天瑞仪器,14.285715103149414,3.04,3.19,315319264,1216639412.32,1506355653.1200001,26.7940616607666,0.0,111421,1,0/0,22.5563907623291,仪器仪表,2024-08-15
13,002272,川润股份,5.691057205200195,5.2,5.41,479285360,1749992649.6000001,2521361939.2000003,27.788854598999023,0.0,131718,3,2/1,15.040651321411133,工程机械,2024-08-15
