序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业,date
1,002795,永和智控,5.206073760986328,4.85,5.07,228915166,2108646852.9499998,2161907288.0,10.923605918884277,0.20661155879497528,093121,1,0/0,10.845986366271973,通用设备,2024-11-27
2,002321,华英农业,0.3802281320095062,2.64,2.89,541327616,5607919901.76,5630829768.96,9.411147117614746,0.0,093200,1,3/2,14.828898429870605,农牧饲渔,2024-11-27
3,603602,纵横通信,8.647594451904297,16.71,16.92,369782688,3601146416.73,3601146416.73,10.474902153015137,0.0,093214,1,0/0,9.297789573669434,通信服务,2024-11-27
4,601011,宝泰隆,7.633587837219238,2.82,2.88,496025440,5402173999.98,5402174014.08,9.256391525268555,0.35587188601493835,093334,1,0/0,9.541984558105469,煤炭行业,2024-11-27
5,002582,好想你,6.060606002807617,7.35,7.62,670243568,2529279221.7,3331338813.6,26.471385955810547,0.0,093412,1,2/1,8.08080768585205,食品饮料,2024-11-27
6,601339,百隆东方,5.1236748695373535,5.95,6.23,465499024,8922435550.0,8922435597.6,5.118982791900635,0.3372681438922882,093529,1,0/0,10.954063415527344,纺织服装,2024-11-27
7,000953,河化股份,4.715446949005127,6.44,6.77,552257904,2357826935.8,2357826916.48,23.598175048828125,0.0,093945,1,3/2,17.398374557495117,化学制药,2024-11-27
8,600080,金花股份,3.0927834510803223,8.0,8.54,372114480,2986162280.0,2986162304.0,12.249312400817871,0.0,094009,2,2/1,13.27319622039795,中药,2024-11-27
9,002348,高乐股份,7.847533226013184,4.81,4.91,1349117408,4275978643.6899996,4556032000.0,31.82294464111328,0.2083333432674408,094830,2,6/3,11.434977531433105,家用轻工,2024-11-27
10,002953,日丰股份,6.6125288009643555,9.19,9.48,289390544,2496348919.08,4198808513.12,11.731915473937988,0.10893245786428452,100030,1,0/0,12.645011901855469,电网设备,2024-11-27
11,002513,蓝丰生化,6.457242488861084,6.1,6.3,360419456,1609839684.5,2289209659.2,22.527971267700195,0.0,100145,1,0/0,8.900524139404297,农药兽药,2024-11-27
12,600593,大连圣亚,3.582001209259033,34.99,37.16,845818768,4506712000.0,4506712000.0,18.42659568786621,0.028587764129042625,101958,5,3/2,12.9070463180542,旅游酒店,2024-11-27
13,600787,中储股份,3.4042551517486572,7.29,7.76,2494544480,15819880152.78,15855404279.04,15.788238525390625,0.0,102424,2,2/1,15.035460472106934,物流行业,2024-11-27
14,600693,东百集团,4.787234306335449,3.94,4.14,165528523,3423673961.08,3427194185.6,4.8191657066345215,0.0,103611,2,0/0,13.297872543334961,商业百货,2024-11-27
15,002337,赛象科技,6.224066257476807,5.12,5.3,258013671,3010542243.84,3013712609.28,8.68913459777832,0.1956947147846222,103842,1,0/0,12.86307144165039,专用设备,2024-11-27
16,600730,中国高科,7.165109157562256,6.88,7.06,352003264,4036193293.7599998,4036193280.0,8.95823860168457,0.0,105751,2,0/0,14.797507286071777,教育,2024-11-27
17,603078,江化微,6.516162395477295,20.76,21.44,1084829600,8005829268.4800005,8005829268.4800005,13.744922637939453,0.0,105751,2,0/0,14.571576118469238,电子化学,2024-11-27
18,300559,佳发教育,12.165660858154297,13.0,13.91,355464592,4044778829.0,5193689280.0,9.0521821975708,0.0,111742,1,0/0,23.641069412231445,软件开发,2024-11-27
19,300870,欧陆通,15.89404010772705,84.0,86.98,716565376,8500800000.0,8500800000.0,8.782135963439941,0.0,112324,5,0/0,20.64017677307129,电源设备,2024-11-27
20,002889,东方嘉盛,8.436944961547852,24.42,24.77,716419856,4277138995.1400003,6587599761.6,17.081880569458008,0.04096681624650955,130533,2,0/0,14.253995895385742,物流行业,2024-11-27
21,603103,横店影视,10.033445358276367,16.45,16.45,320277808,10432590000.0,10432590000.0,3.335968255996704,0.982197642326355,144241,2,2/1,16.454849243164062,文化传媒,2024-11-27
22,300769,德方纳米,12.50875186920166,48.21,51.42,1564497616,12136742057.58,13507865022.72,13.729287147521973,0.0,144824,1,0/0,24.737457275390625,电池,2024-11-27
