时间,标题,简讯,date
2024-09-13 17:28:19,新时达：公司董事及原副总经理金辛海因涉嫌职务侵占罪被批准逮捕,【新时达：公司董事及原副总经理金辛海因涉嫌职务侵占罪被批准逮捕】财联社9月13日电，新时达公告，公司董事、原副总经理金辛海因涉嫌职务侵占罪，已被上海市嘉定区人民检察院批准逮捕。,2024-09-13
2024-09-13 17:02:01,*ST亚星：向上交所提出终止上市申请,【*ST亚星：向上交所提出终止上市申请】财联社9月13日电，*ST亚星公告，公司拟以股东大会决议方式主动撤回A股股票在上交所的上市交易，并申请在全国中小企业股份转让系统转让。该事项已于2024年8月26日经公司股东大会审议通过。公司于2024年9月13日向上交所提交了撤回上市交易的申请，尚需上交所决定是否受理。公司及有关各方正在积极推进本次终止上市的相关工作，最终能否通过相关审批及实施尚存在不确定性。,2024-09-13
2024-09-13 16:50:37,普华永道：服从相关行政处罚 被处罚的相关恒大地产审计团队成员已与公司终止劳动关系,【普华永道：被处罚的相关恒大地产审计团队成员已与公司终止劳动关系】财联社9月13日电，普华永道中国与普华永道中天发布就中华人民共和国财政部和中国证监会对恒大地产集团有限公司审计行政处罚决定的声明，尊重并坚决服从相关行政处罚决定。被处罚的相关恒大地产审计团队成员已经与公司终止了劳动关系，公司也要求管理层有关成员承担管理责任，包括前任管理层成员。,2024-09-13
2024-09-13 16:08:36,财政部对普华永道开出“顶格”罚单 罚没共1.16亿元,"【财政部对普华永道开出“顶格”罚单】财政部最新消息，自2024年1月起，财政部组织检查组对普华永道中天会计师事务所及其广州分所的恒大地产集团有限公司审计项目执业质量开展了专项检查。今天，财政部对普华永道做出行政处罚决定，对普华永道涉及恒大地产2018年审计项目的违法行为，给予没收违法所得并处罚款共1.16亿元的行政处罚。

根据行政处罚决定，在会计师事务所方面，财政部依据《中华人民共和国注册会计师法》，对普华永道涉及恒大地产2018年审计项目的违法行为，给予没收违法所得并处罚款共1.16亿元的行政处罚。同时，对普华永道警告、暂停经营业务6个月、撤销普华永道广州分所的行政处罚。

注册会计师方面",2024-09-13
2024-09-13 16:08:09,证监会：就普华永道恒大地产年报及债券发行审计工作未勤勉尽责案处以顶格罚款2.97亿元 合计罚没3.25亿元,证监会：依法对普华永道恒大地产年报及债券发行审计工作未勤勉尽责案作出行政处罚，依据《中华人民共和国证券法》规定，没收普华永道案涉期间全部业务收入2774万元，并处以顶格罚款2.97亿元，合计罚没3.25亿元。,2024-09-13
2024-09-13 16:05:34,10天7板保变电气：整合有关方案尚需履行内部决策程序和获得有关主管部门批准,【10天7板保变电气：整合有关方案尚需履行内部决策程序和获得有关主管部门批准】财联社9月13日电，保变电气发布股票交易风险提示公告，公司股票价格近期涨幅较大，可能存在短期涨幅较大后的下跌风险。公司控股股东中国兵器装备集团有限公司正在与中国电气装备集团有限公司开展输变电装备业务整合事宜，本次整合或将导致本公司控股股东发生变更，有关方案尚需履行内部决策程序，还需获得有关主管部门批准。,2024-09-13
2024-09-13 15:54:43,人社部：“改革对青年就业的影响总体上是平缓的”,"【人社部：“改革对青年就业的影响总体上是平缓的”】财联社9月13日电，人力资源社会保障部副部长李忠13日在十四届全国人大常委会第十一次会议专题新闻发布会上说，在延迟法定退休年龄方案征求意见过程中，青年就业问题受到各方面关注。总的看，延迟法定退休年龄是一个渐进实施的过程，以较小的幅度推进，且退休人员腾退的岗位与青年就业所需要的岗位之间存在一定的结构差异，改革对青年就业的影响总体上是平缓的。

李忠说，这次全国人大常委会审议通过的办法，统筹延迟法定退休年龄和促进青年就业，规定国家实施就业优先战略，促进高质量充分就业，明确完善就业公共服务体系，健全终身职业技能培训制度，支持青年人就业创业。我们将强化",2024-09-13
2024-09-13 15:19:59,,财联社9月13日电，欧洲央行管委维勒鲁瓦表示，欧洲央行应继续酌情逐步降息。,2024-09-13
2024-09-13 15:19:52,怎么查自己的法定退休年龄？“法定退休年龄计算器”上线,【怎么查自己的法定退休年龄？“法定退休年龄计算器”上线】财联社9月13日电，第十四届全国人民代表大会常务委员会第十一次会议通过了《关于实施渐进式延迟法定退休年龄的决定》。通过人力资源社会保障部网站、国家社会保险公共服务平台、全国人社政务服务平台、电子社保卡、掌上12333App等线上查询服务渠道，访问“法定退休年龄计算器”小程序，输入本人信息，即可查询。还可拨打12333咨询服务热线、前往社会保险经办机构服务窗口等线下方式，查询本人法定退休年龄。,2024-09-13
2024-09-13 15:19:18,一组图读懂我国延迟退休政策 内附退休年龄查询方式,【一组图读懂我国延迟退休政策 内附退休年龄查询方式】财联社9月13日电，​​​第十四届全国人民代表大会常务委员会第十一次会议通过了《关于实施渐进式延迟法定退休年龄的决定》，本决定自2025年1月1日起施行。男、女职工的法定退休年龄怎样调整？哪些渠道可以查询本人对应的法定退休年龄？弹性延迟退休是怎么规定的？一组图读懂！,2024-09-13
