时间,标题,简讯,date
2024-09-10 17:27:25,SpaceX发射载人飞船执行首次私人太空行走任务,财联社9月10日电，太空探索技术公司（SpaceX）发射载人飞船，试图完成首次私人太空行走。,2024-09-10
2024-09-10 16:54:42,商务部就中欧电动汽车反补贴案有关问题答记者问,【商务部新闻发言人就中欧电动汽车反补贴案有关问题答记者问】财联社9月10日电，记者问：我们注意到，6月份以来，中方一直就欧盟对华电动汽车反补贴案与欧方保持沟通和磋商，请问目前有何最新进展？答：欧盟宣布对华电动汽车发起反补贴调查以来，中国政府和业界一直致力于通过对话磋商妥善解决。8月20日，欧委会发布了终裁前披露。尽管我们对终裁披露无法认同、不能接受，但仍秉持最大诚意，希望努力通过对话磋商解决摩擦，寻求彼此都能接受的方案。9月9日，商务部副部长李飞一行在比利时布鲁塞尔与欧委会贸易总司总司长韦恩德举行了会谈，并再次向欧方表达了希望对话磋商妥善解决中欧经贸摩擦、合理照顾彼此关切的意愿。电动汽车反补贴,2024-09-10
2024-09-10 16:42:56,宝丽迪：子公司耀科量产的COFs材料尚未形成批量销售以及实现盈利,【宝丽迪：子公司耀科量产的COFs材料尚未形成批量销售以及实现盈利】财联社9月10日电，宝丽迪发布股票交易异常波动公告，公司关注到部分媒体讨论“COFs材料”事件，公司子公司耀科量产的COFs材料正在产业化和商业化实践中，尚未形成批量销售以及实现盈利。耀科未来市场推广及产能扩大存在不确定性因素及风险，短期内不会对公司业绩产生重大影响。,2024-09-10
2024-09-10 16:26:20,欧盟据悉将降低对自中国进口电动汽车拟议的加征关税,【欧盟据悉将降低对自中国进口电动汽车拟议的加征关税】财联社9月10日电，多家媒体报道，据知情人士透露，欧盟准备小幅下调对自中国进口电动汽车拟议的加征关税。其中，对从中国进口的特斯拉电动汽车，加征税率将从拟议的9%调整为略低于8%。据悉，欧盟根据各公司提供的新信息做出上述调整。欧盟成员国将在关税定于11月生效前，就拟议的最终关税进行表决。此前，在欧盟委员会8月20日进行对华电动汽车反补贴调查终裁披露后，中国商务部新闻发言人当天回应称，欧方此次公布的终裁披露并未充分吸纳中方意见，仍坚持错误做法，裁出高额税率，还利用抽样区别对待中国不同类型企业，扭曲调查结果。该终裁披露是基于欧方单方认定的“事实”，,2024-09-10
2024-09-10 15:44:44,,财联社9月10日电，苹果公司在欧盟最高法院关于130亿欧元的爱尔兰税务方面的诉讼中败诉。,2024-09-10
2024-09-10 15:16:57,9月10日涨停分析,【9月10日涨停分析】今日共42股涨停，连板股总数11只，13股封板未遂，封板率为76%（不含ST股、退市股）。焦点股方面，高位股持续退潮，深圳华强、科森科技、老百姓、天茂集团、大众交通等人气股跌停。市场高度降至4连板的跨境通。,2024-09-10
2024-09-10 15:10:49,华为发布全球首款三折叠屏手机 售价19999元起,【华为发布全球首款三折叠屏手机 售价19999元起】财联社9月10日电，华为首款三折叠屏手机——华为 Mate XT非凡大师9月10日正式发布，展开最大10.2英寸，展开最薄3.6mm。价格方面，256GB版本售价19999元、512GB版本售价21999元、1TB版本售价23999元，9月20日10：08正式开售。,2024-09-10
2024-09-10 15:02:34,收评：沪指探底回升涨0.28% 华为概念股午后爆发,【收评：沪指探底回升涨0.28% 华为概念股午后爆发】财联社9月10日电，市场全天探底回升，三大指数小幅上涨。盘面上，华为概念股再度爆发，大富科技、常山北明、网达软件、法本信息等10余股涨停。CPO概念股震荡反弹，剑桥科技、汇源通信涨停。电网概念股震荡走强，金冠股份、奥特迅、科陆电子等涨停。国企改革概念股局部活跃，上海九百、外服控股、江西长运等涨停。下跌方面，高位股继续退潮，科森科技、老百姓等多股跌停。总体上个股涨多跌少，全市场超3300只个股上涨。沪深两市今日成交额5276亿，较上个交易日放量90亿。板块方面，华为昇腾、电商、鸿蒙概念、CPO等板块涨幅居前，旅游、医药商业、保险、中药等板块跌,2024-09-10
2024-09-10 14:51:53,中国足协主席宋凯回应相关俱乐部会不会受到处罚：将依法依规严肃查处 并及时向社会公布,【中国足协主席宋凯回应相关俱乐部会不会受到处罚：将依法依规严肃查处 并及时向社会公布】财联社9月10日电，国家体育总局、公安部今天上午10时在辽宁大连联合召开足球职业联赛“假赌黑”专项整治新闻发布会。中国足协主席宋凯表示，在公布纪律处罚决定后，向国际组织如实报告有关情况，并由相关国际组织决定是否做进一步处理。另外大家都很关心，相关俱乐部会不会受到处罚，我们对治理足球行业“假赌黑”的态度是坚决的，无论是球员还是俱乐部，只要涉及“假赌黑”，我们都将依法依规严肃查处，给予行业处罚，绝不姑息，并及时向社会公布，接受社会监督。,2024-09-10
2024-09-10 14:34:35,中汽协：8月新能源汽车销量为110万辆 同比增长30%,【中汽协：8月新能源汽车销量为110万辆 同比增长30%】财联社9月10日电，中汽协数据显示，8月，新能源汽车产销分别完成109.2万辆和110万辆，同比分别增长29.6%和30%，新能源汽车新车销量达到汽车新车总销量的44.8%。1-8月，新能源汽车产销分别完成700.8万辆和703.7万辆，同比分别增长29%和30.9%，新能源汽车新车销量达到汽车新车总销量的37.5%。（财联社记者 徐昊）,2024-09-10
