时间,标题,简讯,date
2024-08-21 17:40:04,,"小米集团公告，2024年第二季度的智能电动汽车等创新业务分部收入为人民币64亿元，经调整净亏损人民币为18亿元。Xiaomi SU7系列 交付新车达27,307辆。",2024-08-21
2024-08-21 17:35:21,,小米集团：第二季度营收888.9亿元人民币，预估868.5亿元人民币；第二季度净利润51.0亿元人民币，预估38.4亿元人民币。,2024-08-21
2024-08-21 17:21:57,山西高速：公司目前从事的主要业务为高速公路管理与经营,【山西高速：公司目前从事的主要业务为高速公路管理与经营】财联社8月21日电，山西高速发布股票交易异常波动公告，公司股票交易价格连续3个交易日收盘价格涨幅偏离值累计达到20.60%，属于股票交易异常波动的情况。经核查，公司目前从事的主要业务为高速公路管理与经营，生产经营情况正常，内外部经营环境未发生重大变化。公司、控股股东和实际控制人不存在关于公司的应披露而未披露的重大事项或处于筹划阶段的重大事项。,2024-08-21
2024-08-21 17:16:18,2连板东晶电子：李庆跃先生及方彩珍女士等人在公司股票交易异常波动期间未买卖公司股票,"【2连板东晶电子：李庆跃先生及方彩珍女士等人在公司股票交易异常波动期间未买卖公司股票】财联社8月21日电，东晶电子发布股票交易异常波动公告，近期，公司生产经营情况正常，内外部经营环境未发生重大变化。经征询，李庆跃先生及方彩珍女士、蓝海投控及其实际控制人钱建蓉先生在公司股票交易异常波动期间未买卖公司股票。
",2024-08-21
2024-08-21 17:07:40,国旅联合：控股子公司新线中视未参与任何同《黑神话：悟空》游戏相关的业务,"【国旅联合：控股子公司新线中视未参与任何同《黑神话：悟空》游戏相关的业务】财联社8月21日电，国旅联合发布股票交易异常波动公告，公司股票连续3个交易日中已有连续2个交易日内收盘价格涨幅偏离值累计超过20%，属于股票交易异常波动情形。经公司自查并向控股股东及实际控制人核实，不存在应披露而未披露的重大信息。预计2024年半年度实现归属于母公司所有者的净利润为-1,900万元至-1,300万元，将出现亏损。控股子公司新线中视未参与任何同《黑神话：悟空》游戏相关的业务。提示投资者注意公司二级市场交易风险。公司前期被立案调查，目前正处于立案调查期间。",2024-08-21
2024-08-21 16:55:49,金融监管总局：研究提高保险资金投资创业投资基金比例,【金融监管总局：研究提高保险资金投资创业投资基金比例】财联社8月21日电，国家金融监督管理总局法规司司长王胜邦8月21日在发布会表示，强化监管引领，促进银行保险机构加大对科技企业的投入，着力培养耐心资本和长期资本。下一步，将认真落实好党的二十届三中全会精神，以改革的精神进一步推动科技金融的政策走深走实，在科技创新活跃地区设立知识产权金融生态综合试验区，为企业提供多元化金融支持，研究以金融资产投资公司为平台，扩大股权投资试点范围。研究提高保险资金投资创业投资基金比例。支持保险公司投资，鼓励更多的保险资金作为长期资本、耐心资本，投入到科技领域里，也支持理财公司等金融机构依法依规参与科技金融服务。,2024-08-21
2024-08-21 16:38:42,两部门：鼓励北方地区各省份结合清洁取暖设备运行情况 将清洁取暖设备纳入大规模设备更新和消费品以旧换新行动方案,【两部门：鼓励北方地区各省份结合清洁取暖设备运行情况 将清洁取暖设备纳入大规模设备更新和消费品以旧换新行动方案】财联社8月21日电，国家发展改革委办公厅、国家能源局综合司印发《能源重点领域大规模设备更新实施方案》，鼓励北方地区各省份结合清洁取暖设备运行情况，将清洁取暖设备纳入大规模设备更新和消费品以旧换新行动方案，加大地方财政、金融等政策支持力度。对质保到期的清洁取暖设备开展更新改造，支持安全高效、先进可靠的清洁取暖技术发展，因地制宜对清洁取暖技术路线进行优化升级，保障设备更新后长期可持续运转，确保群众“用得起、用得好”。,2024-08-21
2024-08-21 16:35:41,两部门：推进风电设备更新和循环利用,【两部门：推进风电设备更新和循环利用】财联社8月21日电，国家发展改革委办公厅、国家能源局综合司印发《能源重点领域大规模设备更新实施方案》，按照《风电场改造升级和退役管理办法》的要求鼓励并网运行超过 15 年或单台机组容量小于 1.5 兆瓦的风电场开展改造升级。鼓励单机容量大、技术先进的行业主流机型替代原有小容量风电机组，支持绿色低碳材料、新型高塔技术、节地型技术、高效率及智能化风电机组应用，提高单位土地面积的发电量，提升设备设施修旧利废水平，实现风能、土地和电网资源提质增效。推动建立风电场改造升级和退役项目全过程信息监测。鼓励发电企业、设备制造企业、科研机构开展新技术、新标准和新场景研究，建,2024-08-21
2024-08-21 16:34:44,两部门：鼓励开展老旧变电站和输电线路整体改造,【两部门：鼓励开展老旧变电站和输电线路整体改造】财联社8月21日电，国家发展改革委办公厅、国家能源局综合司印发《能源重点领域大规模设备更新实施方案》，鼓励开展老旧变电站和输电线路整体改造，加快更新运行年限较长、不满足运行要求的变压器、高压开关、无功补偿、保护测控等设备，提高电网运行安全能力。重点推动高海拔、高地震烈度、重覆冰、高寒地区、台风频发区、内涝频发区、山火频发地区输变电设备改造更新，提升电网设备防灾抗灾能力。适度超前建设配电网，提升配电网承载力，满足分布式新能源和电动汽车充电基础设施发展。重点推进老旧小区配变容量提升和线路、智能电表改造。发挥中央预算内投资引导带动作用，积极推进农村电网,2024-08-21
2024-08-21 16:32:47,两部门：目标到2027年 能源重点领域设备投资规模较2023年增长25%以上,国家发展改革委办公厅、国家能源局综合司印发《能源重点领域大规模设备更新实施方案》的通知：目标到2027年，能源重点领域设备投资规模较2023年增长25%以上，重点推动实施煤电机组节能改造、供热改造和灵活性改造“三改联动”，输配电、风电、光伏、水电等领域实现设备更新和技术改造。,2024-08-21
2024-08-21 16:11:30,近1.4万亿元融资获批 精准支持房地产“白名单”项目,国家金融监督管理总局发布最新统计，目前，商业银行已审批房地产“白名单”项目5392个，审批通过融资金额近1.4万亿元。,2024-08-21
