时间,标题,简讯,date
2024-04-23 09:38:19,中国电信：一季度净利润同比增长7.7%,【中国电信：一季度净利润同比增长7.7%】财联社4月23日电，中国电信披露2024年第一季度报告，一季度归母净利润86亿元，同比增长7.7%。,2024-04-23
2024-04-23 09:37:04,广哈通信：公司指挥调度系统及相关产品可应用于低空通航指挥调度并已为客户提供相关解决方案,【广哈通信：公司指挥调度系统及相关产品可应用于低空通航指挥调度并已为客户提供相关解决方案】财联社4月23日电，广哈通信披露股票交易异常波动公告，近期，公司关注到部分媒体、股吧等平台对公司相关业务讨论，内容涉及“低空经济”等热点概念。经自查，公司指挥调度系统及相关产品可应用于低空通航指挥调度，目前已为客户提供相关解决方案；公司主营业务未发生重大变化，2023年度公司国防板块收入约为2.29亿元，占公司营业收入比例为50.79%，，日常经营情况和内部经营秩序正常。,2024-04-23
2024-04-23 09:31:49,北向资金今日净卖出29.97亿元 美的集团遭净卖出3.7亿元,北向资金今日净卖出29.97亿元。美的集团、中国中免、科大讯飞分别获净卖出3.7亿元、1.94亿元、1.91亿元。紫金矿业净买入额居首，金额为4.6亿元。,2024-04-23
2024-04-23 09:14:05,通化东宝：人胰岛素注射液等多个规格产品拟中选全国药品集中采购,【通化东宝：人胰岛素注射液等多个规格产品拟中选全国药品集中采购】财联社4月23日电，通化东宝公告，公司人胰岛素注射液、精蛋白人胰岛素注射液、精蛋白人胰岛素混合注射液（30R）、精蛋白人胰岛素混合注射液（40R）、精蛋白人胰岛素混合注射液（50R）、甘精胰岛素注射液、门冬胰岛素注射液、门冬胰岛素30注射液、门冬胰岛素50注射液多个规格产品拟中选全国药品集中采购（胰岛素专项接续）。,2024-04-23
2024-04-23 09:12:24,成都土拍诞生新单价“地王” 高地价将提振市场信心,【成都土拍诞生新单价“地王” 高地价将提振市场信心】财联社4月23日电，成都土地拍卖又创下新的纪录，今天诞生了新的最高成交楼面价。今日在成都土地市场拍卖会上，来自锦江区柳江街道52亩地块被金茂以24500元平方米的成交楼面价竞得，打破了去年12月创下的23500元平方米的成都最高成交楼面价纪录。专家表示，成都市核心区域优质地块仍受热捧，但其他区域土地市场也在继续降温，两极分化严重。开发商以销定投逻辑明显，投资逻辑趋同，对核心区域市场稳定仍保持信心。,2024-04-23
2024-04-23 09:08:41,雷军：小米SU7毛利率预计在5%-10%,【雷军：小米SU7毛利率预计在5%-10%】财联社4月23日电，小米创办人、董事长兼CEO雷军在小米集团投资者大会上表示，预计小米SU7大概毛利率会在5%-10%，“今天的销量比预计还要大不少，具体数字我们还需要仔细核算”。,2024-04-23
2024-04-23 09:07:03,天孚通信：一季度净利润2.79亿元 同比增长203%,【天孚通信：一季度净利润2.79亿元 同比增长203%】财联社4月23日电，天孚通信披露一季报，公司2024年第一季度实现营业收入7.32亿元，同比增长154.95%；净利润2.79亿元，同比增长202.68%。公司营业收入增加，主要是AI技术的发展和算力需求的增加，全球数据中心建设带动对高速光器件产品需求的持续稳定增长，尤其是高速率产品需求增长较快，带来公司收入同比增长。,2024-04-23
2024-04-23 09:04:55,中国中免：一季度净利润同比增长0.25%,【中国中免：一季度净利润同比增长0.25%】财联社4月23日电，中国中免披露2024年第一季度报告，一季度净利润23.06亿元，同比增长0.25%。,2024-04-23
2024-04-23 08:55:08,威奥股份：宁波久盈拟减持不超过1%公司股份,【威奥股份：宁波久盈拟减持不超过1%股份】财联社4月23日电，威奥股份公告，股东宁波久盈拟减持公司股份不超过392.89万股，即不超过公司总股本的1%。,2024-04-23
2024-04-23 08:43:57,2024年地方政府专项债券项目筛选工作完成 共筛选通过专项债券项目约3.8万个,【国家发改委联合财政部完成2024年地方政府专项债券项目筛选工作】财联社4月23日电，国家发展改革委联合财政部完成2024年地方政府专项债券项目的筛选工作，共筛选通过专项债券项目约3.8万个、2024年专项债券需求5.9万亿元左右，为今年3.9万亿元专项债券发行使用打下坚实项目基础。其中，按照党中央、国务院明确的地方政府专项债券工作机制和职责分工，国家发展改革委对项目投向领域、前期工作等进行审核把关，财政部对项目融资收益平衡等进行审核把关。下一步，重点要督促指导各地方严格把握项目质量要求，切实加快项目建设和资金使用进度，推动尽快形成实物工作量，积极扩大有效益的投资。,2024-04-23
