时间,标题,简讯,date
2024-05-16 09:31:24,北向资金今日大幅净买入60.67亿元 工业富联获净买入4.68亿元,北向资金今日大幅净买入60.67亿元。工业富联、紫光股份、平安银行分别获净买入4.68亿元、4.04亿元、3.76亿元。新易盛净卖出额居首，金额为2.72亿元。,2024-05-16
2024-05-16 09:06:35,百度Q1财报：净利润涨22%超预期 生成式AI稳步推进,【百度Q1财报：净利润涨22%超预期 生成式AI稳步推进】财联社5月16日电，百度5月16日晚发布2024年Q1财报，显示一季度总营收315亿元。归属百度的净利润（Non-GAAP）70.11亿元，同比增长22%，归属于百度核心的净利润（Non-GAAP）66.28亿元，同比增长26%，均超出市场预期。财报显示，截至4月中旬，百度飞桨开发者社区的开发者数量增长至1300万；萝卜快跑一季度提供乘车服务约82.6万次，同比增长25%，截至4月19日累计提供乘车服务超600万次；今年3月，百度App月活用户达6.76亿，同比增长3%。,2024-05-16
2024-05-16 08:30:56,北京：拟探索分体式飞行汽车城际通勤+城内摆渡应用新业态,【北京：拟探索分体式飞行汽车城际通勤+城内摆渡应用新业态】财联社5月16日电，《北京市促进低空经济产业高质量发展行动方案（2024—2027年）》公开征求意见。其中提到，创新并开放多元应用场景。应急救援方面，加快房山基地建设，推进通用航空在全市开展应急通讯、消防灭火、巡检巡查等领域应用示范。物流配送方面，依托延庆八达岭机场开通西北物流支线等航线，构建无人机+公交物流配送新模式。城际通勤方面，建立大兴机场与雄安新区，首都机场与天津、廊坊等地区的通勤航路航线，探索分体式飞行汽车城际通勤+城内摆渡应用新业态。特色文旅方面，在延庆、平谷、密云等区发展低空旅游、飞行体验等产业。,2024-05-16
2024-05-16 08:21:05,北京：拟成立由市领导牵头的低空经济发展工作领导小组,【北京：拟成立由市领导牵头的低空经济发展工作领导小组】财联社5月16日电，《北京市促进低空经济产业高质量发展行动方案（2024-2027年）》公开征求意见。方案提到，成立由市领导牵头的低空经济发展工作领导小组，推动解决一批低空经济重大政策、重点事项和重要问题。研究制定任务清单，建立军地民协同机制，统筹推进空域管理、空管服务、需求集散等各项事项。复制自动驾驶示范区经验，形成低空经济推进、管理模式。另外，制定出台专项政策，加大资金支持力度。设立低空产业基金，引导社会资本、专业机构投资低空产业项目。,2024-05-16
2024-05-16 08:12:57,美国刑事指控两兄弟12秒骗取价值2500万美元虚拟货币,【美国刑事指控两兄弟12秒骗取价值2500万美元虚拟货币】财联社5月16日电，美国联邦检察官15日指控一对毕业于名校计算机相关专业的兄弟在短短12秒内骗取价值约2500万美元的虚拟货币。美国司法部说，这类案件在美国受到刑事指控尚属首次。美国哥伦比亚广播公司以检方为消息源报道，二人2022年12月盯上以太坊区块链三名交易员，在区块链验证程序上做文章，利用软件代码漏洞放出“诱饵”。2023年4月，他们在12秒内“以欺诈手段获得待处理私人交易的访问权限”，以此“改变某些交易并获得受害者的加密货币”，总计价值约2500万美元。后来，面对其中一名受害者以及以太坊的代表，兄弟俩拒绝归还资金，还经由一些空壳,2024-05-16
2024-05-16 07:33:26,习近平：积极寻找两国利益汇合点 实现彼此成就,【习近平：积极寻找两国利益汇合点 实现彼此成就】财联社5月16日电，国家主席习近平在北京人民大会堂同俄罗斯总统普京会谈后共同会见记者。习近平强调，我同普京总统一致认为，要积极寻找两国利益汇合点，发挥各自优势，深化利益交融，实现彼此成就。要进一步优化合作结构，巩固好经贸等传统领域合作良好势头，支持搭建基础科学研究平台网络，持续释放前沿领域合作潜能，加强口岸和交通物流合作，维护全球产业链供应链稳定。,2024-05-16
2024-05-16 07:15:49,5月16日涨停分析,【5月16日涨停分析】今日共41股涨停，连板股总数7只，21股封板未遂，封板率为66%（不含ST股、退市股及未开板新股）。焦点股方面，南京化纤晋级5连板，房地产产业链再度爆发，南都物业8天5板、建艺集团3连板、亚振家居3连板、天地源5天3板。今日沪深两市收涨个股2763只，收跌个股2171只。,2024-05-16
2024-05-16 07:02:23,收评：沪指冲高回落微涨 地产产业链个股全线大涨,【收评：沪指冲高回落微涨 地产产业链个股全线大涨】财联社5月16日电，市场全天冲高回落，三大指数均小幅上涨。盘面上，房地产板块持续爆发，荣盛发展、合肥城建、滨江集团、南国置业等10余股涨停；此外地产产业链也集体走强，钢铁、建材、家居、家电等板块轮番活跃，亚振家居、箭牌家居、建艺集团、三棵树等涨停。铜缆高速连接概念股震荡走强，创益通、华脉科技涨停。旅游股震荡反弹，西藏旅游涨停。下跌方面，航运股陷入调整，招商轮船跌超5%。总体上个股涨多跌少，全市场超2800只个股上涨。沪深两市今日成交额8478亿，较上个交易日放量867亿。板块方面，房地产、铜缆高速连接、建筑材料、旅游等板块涨幅居前，港口航运、贵,2024-05-16
2024-05-16 06:53:36,组织大调整后理想汽车开启人员优化 比例超18%,【组织大调整后理想汽车开启人员优化 比例超18%】财联社5月16日电，五一假期之后，理想内部正在进行新一轮全公司的人员优化，整体优化比例超过18%。2023年财报显示，理想汽车近3.16万人，同比增长63%。按照优化比例来计算，这轮优化涉及超过5600人。具体而言，销售服务运营部门优化超过400人，招聘部会从原来的200多人缩减至 40-50 人，智驾团队会缩减至1000人以内。,2024-05-16
2024-05-16 06:36:44,江苏多城下调房贷利率：常州首套房贷利率已降至3.25% 无锡降至3.45%,【江苏多城下调房贷利率：常州首套房贷利率已降至3.25% 无锡降至3.45%】财联社5月16日电，记者从常州多家银行获悉，常州首套房贷利率已降至3.25%。一家大型商业银行无锡某支行房贷部人士告诉记者，此前常州首套房利率为3.45%，近期降至3.25%；对于首套房的认定，主要看申请人在常州的房贷情况。“我们只看申请人当下在常州是否有未还清的贷款，不看其它城市房贷记录；如果在常州此前有贷款但当下已经全部还清，仍然可按首套房贷来执行。”上述工作人员表示。此外，记者从无锡多家银行获悉，无锡首套房贷利率已降至3.45%。一家大型银行无锡某支行房贷部工作人员表示,2024-05-16
2024-05-16 06:34:45,沪指回落翻绿 下跌个股近2300只,【沪指回落翻绿 下跌个股近2300只】财联社5月16日电，指数尾盘震荡回落，沪指率先翻绿，创业板指涨幅收窄至0.25%，此前一度涨超1%，沪深京三市下跌个股近2300只。,2024-05-16
2024-05-16 06:32:54,国资委：国有资本投资公司要聚焦战略性新兴产业和未来产业 当好长期资本、耐心资本、战略资本,【国资委：国有资本投资公司要聚焦战略性新兴产业和未来产业 当好长期资本、耐心资本、战略资本】财联社5月16日电，国务院国资委主任张玉卓5月15日到国家开发投资集团有限公司调研。张玉卓强调，要坚持质量第一、效益优先，提升服务主业实业的能力和水平。要立足国有资本投资公司的功能定位持续深化改革，优化集团管控，强化动态监管，加强重点领域风险防范，规范投资闭环管理，不断提高投资风险防控能力。要聚焦战略安全、产业引领、国计民生、公共服务等领域，聚焦战略性新兴产业和未来产业，以国家产业政策和市场为导向，选准选好重点投资领域，当好长期资本、耐心资本、战略资本，做产业投资的引领者、持续回报的投资者。,2024-05-16
2024-05-16 06:21:34,广州：支持广州地区银行、证券、保险、期货、基金等金融业态加快数字化转型进程,【广州：支持广州地区银行、证券、保险、期货、基金等金融业态加快数字化转型进程】财联社5月16日电，广州市人民政府印发《广州市数字经济高质量发展规划》。其中提到，支持广州地区银行、证券、保险、期货、基金等金融业态加快数字化转型进程，建设创新型、多元化、区域性数字金融产业发展服务平台，创新发展跨境金融、科技金融、绿色金融等新产品和新服务。加强数字金融试点建设，全面推进数字人民币全场景试点应用，打造一批可复制的广州特色场景。探索建设粤港澳大湾区数字金融科创中心，加快广东数字金融创新产业园建设，推动广东股权交易中心、广州金融资产交易中心等交易平台数字化升级改造。全力推进广州金融科技创新试点工作，以科技,2024-05-16
2024-05-16 06:19:45,习近平同俄罗斯总统普京共同签署并发表关于深化中俄新时代全面战略协作伙伴关系的联合声明,【习近平同俄罗斯总统普京共同签署并发表关于深化中俄新时代全面战略协作伙伴关系的联合声明】5月16日，国家主席习近平在北京人民大会堂同来华进行国事访问的俄罗斯总统普京举行会谈。两国元首共同签署并发表《中华人民共和国和俄罗斯联邦在两国建交75周年之际关于深化新时代全面战略协作伙伴关系的联合声明》。,2024-05-16
2024-05-16 06:12:22,中俄两国元首出席签字仪式并共同会见记者,【中俄两国元首出席签字仪式并共同会见记者】5月16日，国家主席习近平在北京人民大会堂同俄罗斯总统普京出席签字仪式并共同会见记者。,2024-05-16
2024-05-16 06:01:50,洛阳钼业：目前美国COMEX市场铜产品高溢价 旗下公司对冲交易策略与单纯投机不同、风险完全可控,【洛阳钼业：目前美国COMEX市场铜产品高溢价 旗下公司对冲交易策略与单纯投机不同、风险完全可控】财联社5月16日电，洛阳钼业发布声明称，关注到媒体关于旗下贸易公司埃珂森的相关报道，特澄清如下：国际贸易公司在一个市场买入，同时，以相同数量在另一个市场卖出的对冲交易策略是行业通行做法。目前美国COMEX市场铜产品高溢价，作为全球商品贸易公司，在该市场进行实货交易是有利的。埃珂森这种对冲交易策略与单纯投机不同，风险完全可控。,2024-05-16
2024-05-16 05:53:29,习近平同俄罗斯总统普京会谈,"【习近平同俄罗斯总统普京会谈】5月16日上午，国家主席习近平在北京人民大会堂同来华进行国事访问的俄罗斯总统普京举行大范围会谈。

习近平指出，再次对普京总统来华进行国事访问表示热烈欢迎。这是你开启新一届总统任期后首次出访，充分表明你本人和俄罗斯政府对发展中俄关系的高度重视，中方对此高度评价。

今年是中俄建交75周年，是中俄关系发展史上具有里程碑意义的重要年份。75年来，中俄两国携手走出了一条大国、邻国相互尊重、和睦相处、合作共赢的崭新道路。在双方共同努力下，中俄关系始终稳定向前发展，两国全面战略协作不断加强，经贸、投资、能源、人文、地方等领域合作持续推进，为维护全球战略稳定和促进国际关系民主",2024-05-16
2024-05-16 05:42:57,,财联社5月16日电，上海钢联发布数据显示，今日电池级碳酸锂价格下跌2000元，均价报10.45万元/吨。,2024-05-16
2024-05-16 05:38:07,独家| 北京第三套房相关认定标准即将出炉？知情人士：五环外“视同二套管理” 房贷参照二套执行,"【独家| 北京第三套房相关认定标准即将出炉？知情人士：五环外“视同二套管理” 房贷参照二套执行 】

北京五环外限购松绑，财联社记者从多位知情人士处获悉，昨日，有内部文件正在发文流程中，该文件涉及优化家庭住房贷款套数认定标准等，购房时会核实购房套数，分为首套、二套以及视同二套管理（五环外）。如果核查套数是视同二套管理（五环外），则按照二套房贷款。财联社记者询问银行人士，有银行个贷部人员表示，第三套房贷款参照二套房首付和房贷利率执行。不过也有多家银行称，具体细则还没有出来，正在制定中。（财联社记者 高萍）",2024-05-16
2024-05-16 05:16:39,房地产板块持续走高 云南城投等十余股涨停,【房地产板块持续走高 云南城投等十余股涨停】 财联社5月16日电，午后房地产板块持续拉升，云南城投、城投控股、新大正、荣盛发展等十余股涨停。消息面上，国家发改委党组在《求是》杂志撰文提出，健全房地产企业主体监管制度，推进保障性住房建设，加快构建房地产发展新模式，促进房地产市场平稳健康发展。此外云南省大理白族自治州人民政府提出，加快构建以保障性租赁住房为主的城镇住房保障体系，鼓励收购存量房作为保障性租赁住房或人才住房。,2024-05-16
2024-05-16 05:13:10,大理：鼓励收购存量房作为保障房或人才房 去化周期超24个月的县市不再新建保障房,【大理：鼓励收购存量房作为保障房或人才房 去化周期超24个月的县市不再新建保障房】财联社5月16日电，云南省大理白族自治州人民政府发布《关于进一步促进房地产业平稳健康发展的实施意见（试行）》。《实施意见》提出，加快构建以保障性租赁住房为主的城镇住房保障体系。鼓励收购存量房作为保障性租赁住房或人才住房，住宅商品房去化周期超过24个月的县市、大理经开区，除产业园区内部配套和离县城（主城区）较远的镇区外，不再新建保障性租赁住房；城市更新、城中村改造等项目改建地段或就近地段可提供存量房屋进行房屋产权调换的，原则上不再新建回迁安置房，优先采取市场购买方式安置。支持民营房企与国有企业联合组建保障性住房运营,2024-05-16
