序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业,date
1,600635,大众公用,-10.106383323669434,3.38,642310624,8175515861.5,9979229191.36,90.12734985351562,7.752808094024658,486534,141720,151402277,1,7,燃气,2024-08-06
2,000712,锦龙股份,-10.0,11.25,1414077744,10071458718.75,10080000000.0,-24.941444396972656,13.490519523620605,2414250,145636,229535212,1,7,证券,2024-08-06
3,000980,众泰汽车,-9.90099048614502,1.82,1106853536,8895967254.720001,9177436835.84,-18.47211456298828,11.441777229309082,9772854,144351,66899794,1,2,汽车整车,2024-08-06
4,600561,江西长运,-10.015649795532227,5.75,286988352,1635741600.0,1635741600.0,-17.577167510986328,17.15833854675293,16236275,132606,60881049,1,14,铁路公路,2024-08-06
5,603900,莱绅通灵,-9.967320442199707,5.51,214488879,1876010858.3999999,1891053158.3999999,-25.200246810913086,11.359800338745117,17898904,130458,853120461,1,2,珠宝首饰,2024-08-06
6,001379,腾达科技,-9.988901138305664,32.44,1518650144,1622000000.0,6488000000.0,81.18767547607422,86.25473022460938,23499827,145500,269759457,1,3,通用设备,2024-08-06
7,603278,大业股份,-9.96216869354248,7.14,465817664,2440162058.88,2440162058.88,86.87547302246094,17.488723754882812,23798284,131035,38618831,1,1,通用设备,2024-08-06
8,000016,深康佳Ａ,-9.8305082321167,2.66,272074864,4246939508.0,6405134785.280001,-3.1389126777648926,6.292945384979248,37213673,101848,742269808,1,12,家电行业,2024-08-06
9,600843,上工申贝,-9.945945739746094,8.33,930345584,3908625340.9,5940676778.4,91.89666748046875,23.018753051757812,55167924,131338,135176081,1,5,专用设备,2024-08-06
10,600725,云维股份,-10.10830307006836,2.49,12756768,3068850300.0000005,3068850300.0000005,19130.880859375,0.4156855642795563,59414046,092502,341899410,2,0,煤炭行业,2024-08-06
11,600650,锦江在线,-10.0,13.05,498189360,5096808978.75,7198511961.6,45.75635528564453,9.694376945495605,70305596,104342,260085090,1,5,铁路公路,2024-08-06
12,600611,大众交通,-9.98217487335205,10.1,5160184064,15789495276.4,23877640926.399998,325.4393310546875,31.872852325439453,81404050,145418,1909401980,1,20,铁路公路,2024-08-06
13,600386,北巴传媒,-9.978768348693848,4.24,258276302,3419136000.0,3419136000.0,-131.2208251953125,7.491096019744873,86431055,101553,3535773736,1,2,汽车服务,2024-08-06
14,600501,航天晨光,-10.0,20.25,2352400800,8598118612.5,8734404312.0,-28.42550277709961,26.456809997558594,91856065,140647,9335404080,1,12,专用设备,2024-08-06
15,600624,复旦复华,-10.025707244873047,3.5,36518650,2396492035.0,2396492056.0,-53.9570198059082,1.523837685585022,102200098,092503,504850500,1,0,综合行业,2024-08-06
16,002232,启明信息,-9.982332229614258,20.38,1211680912,8326217512.9,8326217370.24,-114.82274627685547,14.318632125854492,165870618,131506,497770857,2,8,互联网服,2024-08-06
17,002829,星网宇达,-10.0,21.15,149714505,3033450847.7999997,4395168683.099999,-88.32007598876953,4.935451984405518,329786514,092500,1249654095,1,0,通信设备,2024-08-06
18,600686,金龙汽车,-10.0,16.29,1134124672,11680702422.93,11680702536.96,165.35975646972656,9.655355453491211,682598664,102015,676180631,1,4,汽车整车,2024-08-06
