序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业,date
1,600321,正源股份,-9.782608985900879,0.83,53727880,1253756500.0,1253756500.0,-21.661914825439453,4.100197792053223,3605674,145314,6337299,1,1,装修建材,2024-05-23
2,002501,利源股份,-9.64912223815918,1.03,112710492,3647352576.1800003,3656500000.0,-24.34135627746582,3.0443172454833984,4727748,144045,62552208,1,6,有色金属,2024-05-23
3,000886,海南高速,-10.017271041870117,5.21,556125328,5094530238.58,5151795463.84,37.422210693359375,10.76487922668457,19959749,141530,214736872,1,12,房地产开,2024-05-23
4,002717,岭南股份,-10.119048118591309,1.51,22546263,2205674304.6,2536193269.92,-7.032375812530518,1.0221936702728271,169827274,092500,246514446,2,0,环保行业,2024-05-23
