序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业,date
1,600527,江南高纤,-9.841270446777344,2.84,919346784,4918200961.679999,4918200944.639999,122.53950500488281,18.280317306518555,2607727,145305,63209537,1,0,化纤行业,2024-12-13
2,603696,安记食品,-9.991079330444336,10.09,270480416,2373168000.0,2373168000.0,83.52580261230469,11.020483016967773,3549389,145418,15475033,1,0,食品饮料,2024-12-13
3,002481,双塔食品,-9.971909523010254,6.41,1097516800,7167358166.0,7907994539.360001,94.232177734375,14.754121780395508,18704380,145206,79274616,1,2,食品饮料,2024-12-13
4,603088,宁波精达,-10.016420364379883,10.96,891869136,4774100244.4800005,4799075366.400001,30.324020385742188,18.375537872314453,18705837,143444,4253019361,2,3,通用设备,2024-12-13
5,002031,巨轮智能,-9.963985443115234,7.5,7381413632,14866860097.5,16495467480.0,2117.685302734375,47.15957260131836,33843870,145557,618316372,1,3,专用设备,2024-12-13
6,002347,泰尔股份,-9.97038459777832,9.12,1618763216,4499652057.12,4602884720.639999,-218.7974395751953,35.557579040527344,33985680,144433,2546205137,2,3,通用设备,2024-12-13
7,002593,日上集团,-10.022026062011719,8.17,2395984400,4660729965.28,6567520121.44,158.7497100830078,44.098358154296875,52649318,145657,99735275,1,0,汽车零部,2024-12-13
8,002426,胜利精密,-9.976798057556152,3.88,3654320160,13202087577.08,13202188569.6,-345.65582275390625,27.159727096557617,61846249,143545,1287323449,1,4,通用设备,2024-12-13
9,605006,山东玻纤,-10.036831855773926,9.77,1171603984,5862065312.45,5969048717.599999,-40.459171295166016,18.156320571899414,78099660,141034,52746276,1,0,玻璃玻纤,2024-12-13
10,605179,一鸣食品,-10.003279685974121,27.44,196950097,11003440000.0,11003440000.0,223.60885620117188,1.7896009683609009,399970982,093039,4464710263,1,1,食品饮料,2024-12-13
