序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业,date
1,600246,万通发展,-10.01220989227295,7.37,538200096,14647005059.94,14647005104.16,-57.358280181884766,3.552790641784668,14511530,141630,46311605,1,4,房地产开,2024-06-27
2,600811,东方集团,-9.876543045043945,0.73,185332864,2670883802.5499997,2670883797.44,3.8716492652893066,6.888296604156494,36086529,103357,2113398585,1,3,农牧饲渔,2024-06-27
3,603586,金麒麟,-9.989023208618164,16.4,579352752,3215265591.9999995,3215265591.9999995,46.342857360839844,17.132638931274414,83447956,103414,138358600,1,4,汽车零部,2024-06-27
4,000861,海印股份,-10.112359046936035,0.8,175842290,1909437915.2,2007395801.6000001,3.5635926723480225,9.158123970031738,92441007,102615,1237755261,2,5,商业百货,2024-06-27
5,300736,百邦科技,-20.019203186035156,16.66,631599232,2144146298.28,2166897960.64,-74.4829330444336,25.931140899658203,96084217,130906,66708306,1,1,通信服务,2024-06-27
6,001266,宏英智能,-9.996001243591309,22.51,69360138,793963716.0,2327894160.0,-170.53634643554688,8.72968578338623,110507149,093036,856960201,1,1,仪器仪表,2024-06-27
7,002505,鹏都农牧,-9.259259223937988,0.49,4515938,3123387933.12,3123387886.08,-6.708680152893066,0.14458459615707397,382220117,092500,22287846,4,0,贸易行业,2024-06-27
