类别,周一1202,周二1203,周三1204,周四1205,周五1206
市场焦点股,"南京化纤 11连板;
广博股份 12天10板9连板;
华胜天成 8连板;
爱仕达 12天8板2连板;
桂发祥 7连板;","粤桂股份 19天13板;
南京化纤 12连板;
二六三 13天9板;
桂发祥 8连板;
利欧股份 13天8板5连板;","桂发祥 9连板;
利欧股份 14天9板6连板;
跨境通 9天8板6连板;","南京化纤 14天13板;
利欧股份 15天10板7连板;
跨境通 10天9板7连板;
一鸣食品 8连板;
山东矿机 7连板;","一鸣食品 9连板;
爱仕达 16天9板;
光华科技 16天9板;
泰尔股份 7连板;"
人工智能,"5只;
华胜天成 8连板;
岭南股份 4天2板;","7只;
二六三 13天9板;
利欧股份 13天8板;
岭南股份 5天3板;
岩山科技 6天3板;
东易日盛 2天2板;",,"22只;
岭南股份 7天5板;
岩山科技 8天4板;
东易日盛 4天3板;
天娱数科 4天2板;","17只;
东易日盛 5天4板;
汉王科技 2天2板;
风语筑 2天2板;
华扬联众 2天2板;
汇洲智能 2天2板;
金财互联 2天2板;
信雅达 2天2板;
福石控股 2天2板;
中南股份 2天2板;
视觉中国 4天2板;"
文化传媒,"7只;
省广集团 2连板;
北巴传媒 3天2板;",,,,"6只;
欢瑞世纪 5天3板;"
电商,"4只;
利欧股份 12天7板4连板;
跨境通 7天6板4连板;
南极电商 9天6板2连板;",,,,2只;
谷子经济,"7只;
广博股份 12天10板9连板;
新世界 6连板;
齐心集团 5连板;
洪兴股份 4连板;
元隆雅图 2连板;",,,,
芯片产业链,2只;,"10只;
光华科技 13天8板;
皇庭国际 2天2板;","15只;
皇庭国际 3天3板;
宏昌电子 2天2板;
万润股份 2天2板;
山子高科 3天2板;","4只;
皇庭国际 4天4板;
大为股份 2天2板;","9只;
光华科技 16天9板;
皇庭国际 5天5板;
山子高科 5天4板;
宏昌电子 4天3板;"
消费电子,2只;,,,,2只;
PEEK材料,"3只;
肇民科技 2连板;",,,,
机器人,"25只;
爱仕达 12天8板2连板;
山东矿机 4连板;
泰尔股份 3连板;
中坚科技 6天3板2连板;
三丰智能 2连板;
大业股份 2连板;
日发精机 2连板;
巨轮智能 2连板;
五洲新春 2连板;
捷昌驱动 2连板;
华升股份 3天2板;","21只;
精工科技 11天6板;
山东矿机 5天5板;
泰尔股份 4连板;
巨轮智能 3天3板;
日发精机 3天3板;
大业股份 3天3板;
五洲新春 3天3板;
肇民科技 3天3板;
捷昌驱动 3天3板;
建设工业 2天2板;
龙洲股份 4天2板;","30只;
山东矿机 6天6板;
泰尔股份 5天5板;
大业股份 4天4板;
五洲新春 4天4板;
巨轮智能 4天4板;
日发精机 4天4板;
神州高铁 3天3板;
建设工业 3天3板;
亚威股份 2天2板;
华培动力 2天2板;
远大智能 2天2板;
光洋股份 2天2板;
云内动力 2天2板;
埃夫特-U 2天2板;","31只;
山东矿机 7天7板;
泰尔股份 6天6板;
日发精机 5天5板;
大业股份 5天5板;
五洲新春 5天5板;
巨轮智能 5天5板;
建设工业 4天4板;
奋达科技 8天4板;
华培动力 3天3板;
云内动力 4天3板;
埃夫特-U 5天3板;
麦迪科技 2天2板;
统一股份 2天2板;
中电港 2天2板;
金帝股份 2天2板;
天润工业 2天2板;
天桥起重 2天2板;
盛通股份 3天2板;","18只;
泰尔股份 7天7板;
大业股份 6天6板;
日发精机 6天6板;
五洲新春 6天6板;
建设工业 5天5板;
云内动力 5天4板;
华丽家族 3天3板;
金帝股份 3天3板;
天娱数科 5天3板;
全筑股份 2天2板;"
汽车产业链,10只;,"6只;
广汽集团 2天2板;",,,
智能驾驶,"5只;
日上集团 4连板;",,,"3只;
日上集团 7天6板;",
新能源汽车,,,"3只;
日上集团 6天5板;","8只;
山子高科 4天3板;
长华集团 2天2板;
长城科技 3天2板;
利源股份 4天2板;
春兴精工 4天2板;",
纺织服装,"7只;
真爱美家 8天5板2连板;
万事利 4连板;
江南高纤 5天3板;
如意集团 2连板;
七匹狼 2连板;
美邦服饰 2连板;","5只;
如意集团 3天3板;
美邦服饰 3天3板;","4只;
洪兴股份 6天6板;
真爱美家 10天6板;
如意集团 4天4板;","4只;
真爱美家 11天7板;
欣龙控股 4天3板;
爱慕股份 2天2板;","5只;
如意集团 6天5板;
美邦服饰 6天4板;
卓郎智能 2天2板;"
食品饮料,"9只;
桂发祥 7连板;
一鸣食品 5连板;
黑芝麻 3连板;
广东明珠 2连板;
均瑶健康 2连板;","6只;
桂发祥 8天8板;
一鸣食品 6天6板;
黑芝麻 7天5板;
广东明珠 3天3板;","6只;
桂发祥 9天9板;
一鸣食品 7天7板;
味知香 3天2板;
煌上煌 4天2板;",,"3只;
一鸣食品 9天9板;"
宠物经济,2只;,"3只;
源飞宠物 2天2板;
天元宠物 2天2板;",,,
零售,"4只;
供销大集 3连板;
永辉超市 2连板;
国芳集团 2连板;",,"4只;
永辉超市 4天3板;
中百集团 3天2板;","4只;
供销大集 6天4板;","2只;
文峰股份 2天2板;"
医药医疗,3只;,,,,5只;
房地产,"3只;
华夏幸福 4天2板;","5只;
华夏幸福 5天3板;
海南发展 2天2板;
凤凰股份 2天2板;",,,"3只;
华夏幸福 8天4板;
华远地产 2天2板;"
金融科技,"2只;
楚天龙 8天5板3连板;
大智慧 2连板;","2只;
大智慧 3天3板;",,"5只;
大智慧 5天4板;",
海南,"22只;
葫芦娃 5连板;","4只;
葫芦娃 6天6板;
欣龙控股 2天2板;
海南瑞泽 2天2板;
海南椰岛 2天2板;",,,
并购重组&股权转让,"14只;
远达环保 31天16板2连板;
南京化纤 11连板;
漳州发展 5连板;
勤上股份 7天4板;
恒丰纸业 2连板;","6只;
南京化纤 12天12板;
漳州发展 6天6板;
恒丰纸业 3天3板;","3只;
漳州发展 7天7板;","7只;
南京化纤 14天13板;
宁波精达 2天2板;","5只;
永安行 2天2板;
亚泰集团 2天2板;"
AI编程,,"9只;
新炬网络",,,
培育钻石,,5只;,,,
AMC,,3只;,,,
快递物流,,"3只;
中储股份 6天4板;
普路通 2天2板;",,,
高铁轨交,,"2只;
神州高铁 2天2板;",,"6只;
神州高铁 4天4板;",
消费电子,,2只;,,,
文创玩具,,"2只;
洪兴股份 5天5板;
广百股份 5天3板;",,,
超硬材料,,,"2只;
黄河旋风 6天3板;","5只;
黄河旋风 7天4板;",
有色金属,,,2只;,,
石墨烯,,,2只;,"2只;
华丽家族 2天2板;
宝泰隆 2天2板;",
光伏,,,,"7只;
雅博股份 4天2板;",
军工,,,,5只;,"5只;
展鹏科技 2天2板;
能科科技 2天2板;"
量子通信,,,,"4只;
宏达新材 2天2板;",
电商,,,,"4只;
利欧股份 15天10板;
跨境通 10天9板;",
汽车后市场,,,,3只;,"1只;
多伦科技 2天2板;"
低价股,,,,,"12只;
利源股份 5天3板;
中公教育 2天2板;
天茂集团 2天2板;"
新型城镇化,,,,,"11只;
雅博股份 5天3板;"
电力,,,,,2只;
