类别,周一1104,周二1105,周三1106,周四1107,周五1108
市场焦点股,"松发股份 13连板;
中化岩土 14天12板8连板;
上海电气 11天8板;
万林物流 12天8板2连板;
华映科技 7连板;","松发股份 14连板;
青岛金王 18天14板;
中化岩土 15天13板9连板;
上海电气 12天9板2连板;
华映科技 8连板;
凤凰航运 11天8板2连板;","中化岩土 16天14板10连板;
上海电气 13天10板3连板;
华映科技 9连板;
东方集团 12天9板;
华夏幸福 8连板;
浩欧博 5连板;","中化岩土 17天15板11连板;
华映科技 10连板;
东方集团 13天10板2连板;
远达环保 14天10板;
华夏幸福 9连板;","远达环保 15天11板2连板;
上海电气 15天11板;
申华控股 12天8板2连板;
华闻集团 14天8板3连板;
浩欧博 7连板;"
算力,"3只;
能科科技 2连板;"," 能科科技 3连板;
浩瀚深度 3天2板;",,,"5只;
能科科技 6天5板;
奥瑞德 2天2板;"
低空经济,"5只;
中化岩土 14天12板8连板;
华夏幸福 6连板;
渤海租赁 3连板;","7只;
中化岩土 15天13板9连板;
华夏幸福 7连板;
渤海租赁 4连板;
铭科精技 2连板;","11只;
中化岩土 16天14板;
渤海租赁 5天5板;
华体科技 3天3板;
中信海直 6天3板;","2只;
中化岩土 17天15板11连板;
蓝黛科技 6连板;","3只;
渤海租赁 7天6板;
合众思壮 4天2板;"
芯片产业链,"4只;
波导股份 5天4板;
云南锗业 3连板;
飞乐音响 3天2板;","7只;
云南锗业 4连板;
通富微电 4天3板;
张江高科 4天3板;
海立股份 2连板;","11只;
波导股份 7天5板;
海立股份 3天3板;
飞乐音响 5天3板;
太极实业 2天2板;","4只;
云南锗业 6天5板;
海立股份 9天5板4连板;","23只;
海立股份 5天5板;"
机器人,"26只;
精伦电子 6天4板;
蓝黛科技 3连板;
亿嘉和 3连板;
瑞迪智驱 2连板;
豪能股份 2连板;
雷赛智能 2连板;
南方精工 3天2板;
森源电气 3天2板;","12只;
蓝黛科技 4连板;
亿嘉和 4连板;
瑞迪智驱 3连板;
旺成科技 2连板;
鼎智科技 2连板;
拓斯达 2连板;
科力尔 2连板;
爱仕达 2连板;
全筑股份 2连板;
柯力传感 2连板;
巨轮智能 2连板;","19只;
蓝黛科技 5天5板;
精伦电子 8天5板;
科力尔 3天3板;
爱仕达 3天3板;
全筑股份 3天3板;
远大智能 3天2板;",,"9只;
蓝黛科技 7天7板;
科力尔 5天4板;"
光伏,"3只;
蓝丰生化 12天6板3连板;
弘元绿能 7天4板;","10只;
蓝丰生化 13天7板4连板;
协鑫集成 8天4板;
雅博股份 4天3板;
森特股份 4天3板;
日出东方 2连板;","6只;
蓝丰生化 9天7板;
日出东方 3天3板;","6只;
蓝丰生化 15天9板6连板;
申华控股 11天7板;",5只;
消费电子,"8只;
福日电子 16天8板;
华映科技 7连板;
欧菲光 13天7板;
爱施德 5连板;
荣亿精密 5天4板;
联创光电 5天4板;","7只;
华映科技 8连板;
格林精密 6天5板;
联创光电 6天5板2连板;","2只;
华映科技 9天9板;
联创光电 7天6板;","4只;
华映科技 10连板;
伟时电子 4天2板;",
汽车产业链,"6只;
众泰汽车 3天2板;","7只;
众泰汽车 4天3板2连板;
秦安股份 2连板;
华体科技 2连板;
赛力斯 2连板;",,,
并购重组&股权转让,"11只;
松发股份 13连板;
上海电气 11天8板;
川发龙蟒 9天6板;
常山北明 8天5板;
浩欧博 3连板;
英洛华 3连板;
美丽生态 3连板;
阳谷华泰 2连板;
日播时尚 2连板;
万向钱潮 3天2板;","14板;
松发股份 14连板;
上海电气 12天9板2连板;
宝鹰股份 7天5板;
浩欧博 4连板;
英洛华 4连板;
日播时尚 3连板;
信质集团 2连板;",,"12只;
远达环保 14天10板;
日播时尚 5连板;
浩欧博 6连板;
英洛华 6连板;
美丽生态 6天4板;
维信诺 3连板;
大千生态 3连板;
东北制药 2连板;
金鸿顺 2连板;",
并购重组,,,"10只;
上海电气 13天10板;
英洛华 5天5板;
日播时尚 4天4板;
维信诺 2天2板;
禾信仪器 2天2板;",,"7只;
上海电气 15天11板;
英洛华 7天7板;
远达环保 2天2板;
百傲化学 3天2板;"
