类别,周一0909,周二0910,周三0911,周四0912,周五0913
市场焦点股,"老百姓 7天6板5连板;
天茂集团 7天6板4连板;
日发精机 5连板;
莫高股份 9天5板;
保变电气 6天4板;","跨境通 4连板;
深华发A 6天4板2连板;
海南海药 3连板;
上海九百 3连板;
联创电子 3连板;","天茂集团 9天7板;
保变电气 8天5板;
海南海药 4连板;
华映科技 3连板;
金冠股份 2连板;","保变电气 9天6板2连板;
海南海药 5连板;
跨境通 6天5板;
华映科技 4连板;
阳普医疗 4天3板;","天茂集团 11天8板;
保变电气 10天7板3连板;
海南海药 6连板;
华映科技 5连板;
汉嘉设计 3连板;"
国企改革,"16只;
保变电气 6天4板;
华升股份 8天4板;
翠微股份 3天3板;
湖南天雁 5天3板;
长春一东 2天2板;
上海九百 2天2板;","7只;
上海九百 3天3板;","3只;
保变电气 8天5板;
海南海药 4天4板;","10只;
保变电气 9天6板;
莫高股份 12天6板;","27只;
保变电气 10天7板;
海南海药 6天6板;
新宏泰 2天2板;
南天信息 2天2板;"
医院,10只;,,,,
干细胞,"6只;
南华生物 6天3板;
海南海药 2天2板;","2只;
海南海药 3天3板;
阳普医疗 2天2板;",,,
医药,"4只;
老百姓 7天6板;","2只;
赛隆药业 2天2板;",,,
折叠屏,"4只;
联创电子 2天2板;","5只;
联创电子 3天3板;
华映科技 2天2板;
大富科技 2天2板;","2只;
华映科技 3天3板;",,
华为产业链,"3只;
深赛格 5天3板;
银宝山新 4天2板;",8只;,"3只;
鼎信通讯 2天2板;
网达软件 2天2板;","10只;
华映科技 4天4板;
常山北明 3天2板;",
大金融,"3只;
天茂集团 7天6板;
天风证券 2天2板;",,,,"3只;
天茂集团 11天8板;"
充电桩,,5只;,,,
光通信,,3只;,,,
跨境电商,,"2只;
跨境通 4天4板;",,,
酿酒,,2只;,,,
锂电池,,,"12只;
德新科技 2天2板;
威领股份 3天2板;",,
光伏,,,4只;,"4只;
海源复材 2天2板;",
智能电网,,,"3只;
奥特迅 2天2板;
金冠股份 2天2板;",,
海南,,,,"5只;
海南海药 5天5板;
海南瑞泽 6天3板;",
人工智能,,,,"3只;
阳普医疗 4天3板;
华扬联众 2天2板;",
房地产,,,,,"5只;
空港股份 2天2板;"
