类别,周一1223,周二1224,周三1225,周四1226,周五1227
市场焦点股,"宜宾纸业 12天9板;
克劳斯 6天5板4连板;
卓翼科技 9天5板;
鼎信通讯 4连板;","克劳斯 7天6板5连板;
瑞斯康达 7天6板;
鼎信通讯 5连板;","南京化纤 28天16板2连板;
中百集团 18天10板;
实益达 5连板;
国星光电 5天4板;","中百集团 19天11板2连板;
实益达 6连板;
电光科技 5连板;","中百集团 20天12板3连板;
电光科技 6连板;
国星光电 7天5板;"
培育钻石,5只;,,,,
算力工程,"5只;
电光科技 2天2板;
城地香江 3天2板;","4只;
电光科技 3天3板;
中恒电气 2天2板;
川润股份 4天2板;","4只;
电光科技 4天4板;","11只;
电光科技 5天5板;",
医药,3只;,,,,
芯片产业链,"3只;
鼎信通讯 4天4板;","4只;
新亚强 3天2板;",,,
并购重组,"3只;
宜宾纸业 12天9板;
克劳斯 6天5板;",,"3只;
云维股份 3天3板;
南京化纤 4天3板;",5只;,"5只;
哈森股份 2天2板;"
新疆,2只;,,,,
光通信,"2只;
露笑科技 6天3板;",,,,
AI眼镜,"2只;
卓翼科技 9天5板;
国星光电 3天3板;",2只;,"3只;
国星光电 5天4板;
创维数字 2天2板;","9只;
雷柏科技 2天2板;","6只;
国星光电 7天5板;
雷柏科技 3天3板;"
食品饮料,"2只;
福成股份 2天2板;
来伊份 2天2板;",,,,
机器人,,13只;,"4只;
景兴纸业 2天2板;
吉华集团 2天2板;
长盛轴承 2天2板;","8只;
景兴纸业 3天3板;
吉华集团 3天3板;",
微信小店,,"11只;
来伊份 3天3板;
丽人丽妆 3天2板;","3只;
实益达 5天5板;
来伊份 4天4板;
福瑞达 2天2板;","4只;
实益达 6天6板;",
充电桩,,"8只;
鼎信通讯 5天5板;
宏英智能 4天2板;","3只;
福龙马 2天2板;","4只;
福龙马 3天3板;
奥特迅 3天2板;",
高铁轨交,,"7只;
威奥股份 2天2板;
尚纬股份 4天2板;
宝胜股份 4天2板;",,,
光通信,,"7只;
瑞斯康达 7天6板;
得润电子 4天2板;
华脉科技 4天2板;",,"18只;
露笑科技 5天3板;
华脉科技 6天3板;
宝胜股份 6天3板;
得润电子 6天3板;
通鼎互联 3天2板;
兆驰股份 4天2板;",
PEEK材料,,4只;,,,
光伏,,"3只;
京运通 2天2板;",,,
并购重组,,"3只;
克劳斯 7天6板;
云维股份 2天2板;
南京化纤 3天2板;",,,
交通运输,,"2只;
五洲交通 3天2板;",,,
字节跳动,,"2只;
实益达 4天4板;",,4只;,
商业零售,,,4只;,"8只;
中百集团 19天11板;
百大集团 2天2板;
东百集团 2天2板;
南宁百货 3天2板;","5只;
中百集团 20天12板;
东百集团 3天3板;"
数据中心,,,"3只;
潍柴重机 4天3板;","11只;
潍柴重机 5天4板;
天正电气 2天2板;
泰豪科技 2天2板;","6只;
泰豪科技 3天3板;
中恒电气 5天3板;
顺钠股份 2天2板;"
人脑工程,,,2只;,,
液冷IDC,,,,8只;,2只;
汽车整车,,,,3只;,
军工,,,,,"11只;
航发科技 2天2板;"
农业种植,,,,,9只;
氢能,,,,,4只;
金融科技,,,,,3只;
海南,,,,,2只;
低空经济,,,,,"2只;
宝胜股份 7天4板;"
