类别,周一0129,周二0130,周三0131,周四0201,周五0202
市场焦点股,"中视传媒 7天6板5连板;
华控赛格 8天6板4连板;","中视传媒 8天7板6连板;
长江投资 6连板;
中国海诚 5连板;
华建集团 6天5板;","中视传媒 9天8板7连板;
华建集团 7天6板2连板;
光大嘉宝 6天4板;
中粮资本 6天4板;","中视传媒 10天9板8连板;
哈森股份 13天8板;","哈森股份 14天9板2连板;
深华发A 15天8板;
浦东金桥 9天6板;"
电力,3只;,"4只;
深南电A 2连板;
百通能源 2连板;",,,
房地产,"
3只;
中华企业 5连板;
光明地产 3连板;",,,,2只;
上海本地股,"6只;
畅联股份 5连板;
上海凤凰 5连板;
浦东金桥 5连板;
长江投资 5连板;
上海建科 4天3板;
上海三毛 4天2板;","3只;
长江投资 6连板;
华建集团 6天5板;
浦东建设 4天2板;","5只;
华建集团 7天6板2连板;
光大嘉宝 6天4板;
国新文化 5天3板;
合富中国 6天3板;
宝钢包装 3天2板;",,"3只;
浦东金桥 9天6板;
开开实业 9天5板;"
中字头,"6只;
中视传媒 7天6板5连板;
中国海诚 4连板;
中成股份4连板;",,"5只;
中视传媒 9天8板7连板;
中粮资本 6天4板;","4只;
中视传媒 10天9板8连板;
中材节能 2连板;",
央国企改革,"4只;
华控赛格 8天6板4连板;",,,,
中字头&央国企改革,,"8只;
中视传媒 8天7板6连板;
中国海诚 5连板;
中广天择 4天2板;",,,"5只;
中基健康 3连板;
山西路桥 2连板;
中农联合 2连板;"
次新股,"6只;
腾达科技 2连板;",,"2只;
百通能源 3连板;
金帝股份 3天2板;",,
脑机接口,,2只;,,"2只;
创新医疗 3天2板;",
光伏,,"2只;
国晟科技 3天2板;",,"11只;
国晟科技 5天3板;",
业绩,,3只;,"9只;
中马传动 2连板;","4只;
中马传动 3连板;
中基健康 2连板;
乐通股份 2连板;",
北交所,,6只;,7只;,,
文化传媒,,,"3只;
中广天择 2连板;",,"3只;
时代出版 3天2板;"
光通信,,,,4只;,
新质生产力,,,,3只;,"5只;
中马传动 4连板;
克来机电 2连板;"
食品饮料,,,,,2只;
