类别,周一0506,周二0507,周三0508,周四0509,周五0510
市场焦点股,"南国置业 5连板;
鲁北化工 5天4板;
蔚蓝生物 4连板;","蔚蓝生物 5连板;
亚邦股份 8天4板;
富士莱 3连板;","蔚蓝生物 6连板;
百川股份 4连板;
兴业股份 4连板;","蔚蓝生物 7连板;
百川股份 5连板;
百合花 4连板;","百合花 5连板;
济民医疗 4连板;
南都物业 4天3板2连板;
美农生物 2连板;"
低空经济,3只;,10只;,,,
合成生物,"17只;
蔚蓝生物 4连板;
圣达生物 4天3板2连板;
播恩集团 2连板;
鲁抗医药 2连板;
川宁生物 2连板;
富士莱 2连板;","5只;
蔚蓝生物 5连板;
富士莱 3连板;
广济药业 2连板;","11只;
蔚蓝生物 6连板;
鲁抗医药 4天3板;
钱江生化 2连板;
星湖科技 3天2板;","5只;
蔚蓝生物 7连板;
星湖科技 4天3板2连板;","6只;
播恩集团 6天3板;
美农生物 2连板;"
智能驾驶,4只;,,,,
固态电池,4只;,,,,
高铁轨交,"7只;
兴业股份 2连板;",,,,
设备更新,"7只;
艾艾精工 2连板;
申科股份 3天2板;
亚通精工 3天2板;",,,,
化工,"24只;
鲁北化工 5天4板;
百川股份 2连板;
新乡化纤 3天2板;","19只;
亚邦股份 8天4板;
百川股份 3连板;
兴业股份 3连板;
百合花 2连板;
联合化学 2连板;
金牛化工  2连板;
世龙实业 2连板;","12只;
百川股份 4连板;
兴业股份 4连板;
百合花 3连板;
湖北宜化 2连板;",,"3只;
百合花 5连板;"
天然气,2只;,,,,
电力,3只;,,"2只;
西昌电力 3天2板;",,"5只;
西昌电力 5天3板;
华银电力 3天2板;"
家电,"4只;
金海高科 2连板;
华帝股份 4天2板;",,,,
房地产,"4只;
南国置业 5连板;
华远地产 3连板;
阳光股份 3天2板;","2只;
新城控股 4天2板;",,"3只;
南都物业 3天2板;","7只;
南都物业 4天3板2连板;"
食品饮料,4只;,,,,
医药,5只;,,,,
医疗器械,,"4只;
永和智控 2连板;","4只;
济民医疗 2连板;",,
AI&kimi概念,,2只;,,,
卫星互联网&商业航天,,"18只;
豪能股份 4天3板;",,,
氢能,,2只;,,,
民爆,,"2只;
高争民爆 3连板;
保利联合 2连板;",,,
芯片产业链,,,2只;,4只;,
黄金概念,,,3只;,,
细胞治疗,,,11只;,"7只;
济民医疗 3连板;
南华生物 2连板;
中源协和 2连板;
泰林生物 2连板;
四环生物 2连板;
南京新百 2连板;
开能健康 2连板;","2只;
济民医疗 4连板;"
低空经济,,,,"3只;
四创电子 3连板;
上工申贝 3天2板;",
军工,,,,5只;,
光伏&储能,,,,5只;,
锂电池,,,,"19只;
百川股份  5连板;
百合花 4连板;
湘潭电化 6天3板;
天际股份 4天2板;","2只;
星光股份 2连板;"
航运,,,,2只;,
多胎概念,,,,3只;,
智能电网,,,,,"6只;
积成电子 2连板;"
人造肉,,,,,3只;
出海概念,,,,,"3只;
艾艾精工 6天4板;"
