类别,周一0819,周二0820,周三0821,周四0822,周五0823
市场焦点股,"宇通重工 6天4板;
深圳华强 3连板;
创维数字 3连板;
亚太药业 3连板;","深圳华强  4连板;
新迅达 2连板;
腾达科技 22天13板2连板;","深圳华强 5连板;
好上好 4天3板;
国中水务 23天12板2连板;","深圳华强 6连板;
创维数字 6天4板;
爱仕达 3连板;
鹏辉能源 2连板;","深圳华强 7连板;
山西高速 4天3板2连板;
共进股份 2连板;
国中水务 7天4板;"
跨境支付,11只;,,,,
华为海思,"9只;
深圳华强 3天3板;
创维数字 3天3板;
好上好 2天2板;
力源信息 2天2板;",,,,
游戏,"4只;
凯撒文化 4天3板;","2只;
新迅达 2天2板;",,,
核污染防治,3只;,,,,
高铁轨交,3只;,,,,
机器人,3只;,3只;,"9只;
襄阳轴承 2天2板;
爱仕达 2天2板;","3只;
爱仕达 3天3板;",
猴痘概念,"3只;
亚太药业 3天3板;
合富中国 2天2板;",,,,
黄金概念,2只;,,,,
农业种植,2只;,,,,
黑神话悟空,,5只;,"2只;
浙版传媒 2天2板;",,
华为产业链,,"5只;
深圳华强 4天4板;
辰奕智能 3天2板;","5只;
深圳华强 5天5板;
好上好 4天3板;","7只;
深圳华强 6天6板;
创维数字 6天4板;
新亚制程 5天3板;","30只;
深圳华强 7天7板;
共进股份 2天2板;"
业绩超预期,,3只;,,,
低价股,,"3只;
岭南股份 2天2板;
友好集团 4天2板;","5只;
国中水务 5天3板;
东易日盛 6天3板;
国旅联合 2天2板;",,
钛白粉,,2只;,,,
核电,,2只;,,,
固态电池,,,6只;,"3只;
鹏辉能源 2天2板;",
消费电子,,,4只;,,
VR/AR,,,3只;,,
智能驾驶,,,3只;,,
商业航天,,,,6只;,
纺织服装,,,,2只;,
西部开发,,,,,11只;
