类别,周一0401,周二0402,周三0403,周四0404,周五0405
市场焦点股,"华生科技 8连板;
联明股份 5连板;
安得利 7天5板;","华生科技 9连板;
联明股份 6连板;
三祥新材 6天5板","联明股份 7连板;
三祥新材 7天6板5连板;
厦门信达 5连板;",,
有色金属概念,"10只;
三祥新材 5天4板;
正平股份 2天2板;","7只;
正平股份 3连板;
精艺股份 2连板;
合纵科技 2连板;
北方铜业 3天2板;","13只;
北方铜业 4天3板2连板;
华阳新材 2连板;",,
低空经济,"10只;
中信海直 4连板;
山河智能 3天2板;
广电计量 3天2板;",2只;,"3只;
厦门信达 5连板;
中创物流 5天3板2连板;",,
面板,8只;,,,,
医药,6只;,,,,
固态电池,"5只;
众源新材 5天3板;","11只;
三祥新材 6天5板;
冠盛股份 2连板;","2只;
三祥新材 7天6板5连板;",,
新能源汽车,"5只;
华生科技 8连板;
联明股份 5连板;","3只;
华生科技 9连板;
联明股份 6连板;
恒立实业 2连板;",,,
锂电池,4只;,3只;,,,
小米汽车,"4只;
厦门信达 3连板;
铁流股份 2连板;
海泰科  2连板;","2只;
厦门信达 4连板;
海泰科 3连板;",,,
家居装饰,4只;,,2只;,,
食品饮料,"4只;
安得利  7天5板;",,,,
光伏,4只;,,,,
业绩,"4只;
开创国际 2连板;","2只;
开创国际 3连板;","3只;
福莱新材 2连板;",,
染料涂料,3只;,"8只;
万丰股份 2连板;
亚邦股份 2连板;
雅运股份 2连板;",,,
通感一体化,"3只;
华体科技 4连板;
豪尔赛 3连板;
勤上股份 3天2板;",,,,
智能驾驶,3只;,,,,
核污染防治,"2只;
中晟高科 2连板;",,,,
5.5G,"2只;
世嘉科技 2连板;",,,,
消费电子,2只;,,,,
人工智能,3只;,,,,
黄金概念,"2只;
莱绅通灵 2连板;","2只;
莱绅通灵 3连板;","5只;
莱绅通灵 4连板;
中润资源 2连板;",,
化工,,5只;,,,
风电,,4只;,"2只;
中电电机 2连板;
博菲电气 2连板;",,
房地产概念,,"2只;
空港股份 5天3板;",,,
芯片产业链,,,3只;,,
油气,,,"2只;
准油股份 2连板;",,
生物柴油,,,3只;,,
食品饮料,,,"4只;
大湖股份 3天2板;",,
