类别,周一0325,周二0326,周三0327,周四0328,周五0329
市场焦点股,"艾艾精工 15天14板;
博信股份 7连板;","宁科生物 5连板;
傲农生物 8天5板;
青海华鼎 4连板;
华生科技 4连板;","大理药业 12天9板;
宁科生物 6连板;
华生科技 5连板;","立航科技 18天10板;
宁科生物 7连板;
华生科技 6连板;","4只;
华生科技 7连板;
联明股份 4连板;
安德利 6天4板;
沃尔核材 8天4板;"
算力,2只;,,,6只;,
量子通信,3只;,,,,
低空经济,"3只;
王子新材 3连板;","4只;
安邦护卫 6天3板;","3只;
安邦护卫 2连板;
科瑞技术 2连板;","50只;
立航科技 18天10板;
中信海直 2连板;
顺威股份 2连板;
天禾股份 4天2板;","10只;
中信海直 3连板;
天禾股份 5天3板2连板;
宗申动力 2连板;"
芯片产业链,"6只;
翔港科技 3连板;
康达新材 2连板;","5只;
新亚制程 3天2板;",,,
消费电子,"5只;
博信股份 7连板;
瀛通通讯 6天3板;",,,5只;,
汽车产业链,"5只;
华生科技 3连板;
精达股份 2连板;","6只;
华生科技 4连板;","8只;
华生科技 5连板;
联明股份 2连板;","4只;
华生科技 6连板;
联明股份 3连板;","5只;
华生科技 7连板;
联明股份 4连板;"
小米汽车,,"5只;
创新新材 2连板;
津荣天宇 2连板;
凯众股份 2连板;",,,"6只;
凯众股份 5天3板;
厦门信达 2连板;"
智能驾驶,,,"5只;
威帝股份 7天4板;
大唐电信 3天2板;",,
油气,3只;,,,,
设备更新,"4只;
艾艾精工 15天14板;
青海华鼎 3连板;","3只;
青海华鼎 4连板;
建设机械 2连板;",,,
房地产产业链,"4只;
爱丽家居 2连板;
京投发展 2连板;
亚振家居 2连板;","8只;
爱丽家居 3连板;
亚振家居 3连板;
京投发展 3连板;","6只;
爱丽家居 4连板;
亚振家居 4连板;
京投发展 4连板;
科新发展 8天4板;
中源家居 3天2板;","3只;
爱丽家居 5连板;
亚振家居 5连板;",
高速连接器,,2只;,,"5只;
新亚电子 10天5板;",
卫星互联网,,3只;,,,
固态电池,,"7只;
科森科技 2连板;","2只;
科森科技 3连板;
丰山集团 2连板;","2只;
丰山集团 3连板;
三祥新材 3天2板;",
锂电池,,10只;,,,
核污染防治,,"4只;
华盛昌 5天3板;",,,
水产,,2只;,,,
传媒,,,"3只;
中广天择 6天4板;",,
食品饮料,,,5只;,,
长寿药NMN,,,5只;,,
人工智能,,,,3只;,
智慧灯杆,,,,"9只;
华体科技 2连板;",
快递物流,,,,3只;,
机器人,,,,"7只;
南方精工 6天3板;",
PCB,,,,2只;,
工业大麻,,,,3只;,
通感一体化,,,,,"5只;
华体科技 3连板;
豪尔赛 2连板;"
5.5G,,,,,"9只;
通宇通讯 2连板;
高斯贝尔 4天2板;"
智能电网,,,,,3只;
有色金属,,,,,"8只;
三祥新材 4天3板2连板;
众源新材 4天2板;"
循环经济,,,,,3只;
油气,,,,,2只;
猪肉产业,,,,,2只;
医药,,,,,3只;
业绩,,,,,"5只;
永吉股份 2连板;"
