类别,周一0624,周二0625,周三0626,周四0627,周五0628
市场焦点股,"美丽生态 3连板;
金麒麟 3连板;
飞天诚信 2连板;","金麒麟 4连板;
飞天诚信 3连板;
时空科技 5天3板2连板;","金麒麟 5连板;
飞天诚信 4连板;
时空科技 6天4板3连板;","时空科技 7天5板4连板;
凯中精密 3连板;
金道科技 3连板;
税友股份 3连板;","三晖电气 3连板;
瀛通通讯 3连板;
田中精密 2连板;"
数字货币,"3只;
飞天诚信 2连板;",,,,
一体成型电感,2只;,,,,
车路云,"5只;
金麒麟 3连板;
华锋股份 2连板;","8只;
金麒麟 4连板;
飞天诚信 3连板;
时空科技 5天3板2连板;
宏英智能 2连板;","6只;
金麒麟 5连板;
飞天诚信 4连板;
时空科技 6天4板3连板;","3只;
时空科技 7天5板4连板;","2只;
国华网安 2连板;"
PCB,"5只;
景旺电子 2连板;
科翔股份 4天2板;",,"6只;
骏亚科技 2连板;
天津普林 3天2板;
满坤科技 4天2板;",,5只;
汽车零部件,,13只;,,,
汽车产业链,,,"7只;
凯中精密 2连板;",,
低空经济,,4只;,,,2只;
芯片产业链,,2只;,"4只;
瑞纳智能 2连板;",,
工业母机,,9只;,,,
工程机械,,,"3只;
金道科技 2连板;",,
机器人&减速器,,5只;,,3只;,
维生素,,4只;,,,
房地产,,6只;,,2只;,
旅游酒店,,3只;,,,
低价股,,3只;,,,
AI应用端,,,"27只;
声迅股份 2连板;","6只;
线上线下 2连板;
华扬联众 2连板;
深圳瑞捷 2连板;",
传媒,,,3只;,,
锂电池,,,4只;,,
消费电子,,,4只;,"5只;
瀛通通讯 2连板;","10只;
瀛通通讯 3连板;
田中精密 2连板;"
减肥药,,,2只;,,
算力,,,,"2只;
城地香江 2连板;",
智能电网,,,,3只;,"11只;
三晖电气 3连板;"
高速连接器,,,,,3只;
军工,,,,,2只;
