类别,周一0729,周二0730,周三0731,周四0801,周五0802
市场焦点股,"大众交通 14天8板;
锦江在线 15天9板;
金龙汽车 12天7板3连板;
动力新科 13天7板3连板;
腾达科技 6连板;
国中水务 6连板;","锦江在线 16天10板2连板;
大众交通 15天9板2连板;
金龙汽车 13天8板4连板;
交运股份 15天8板4连板;
腾达科技 7连板;
国中水务 7连板;","腾达科技 8连板;
中电电机 5连板;
锦龙股份 8天5板;
旗天科技 4连板;","腾达科技 9连板;
中电电机 6连板;
锦龙股份 9天6板2连板;
航天晨光 5连板;
潍柴重机 5连板;","腾达科技 10连板;
航天晨光 6连板;
山子高科 5连板;
北巴传媒 5连板;"
智能驾驶,"12只;
金龙汽车 12天7板;
林海股份 3天3板;
中通客车 2天2板;","5只;
金龙汽车 13天8板;
金溢科技 2天2板;
星网宇达 4天2板;","4只;
江铃汽车 2天2板;",,
商业航天,"10只;
腾达科技 6天6板;
润贝航科 3天3板;
航天晨光 2天2板;
金明精机 2天2板;
神开股份 2天2板;
新研股份 2天2板;","8只;
腾达科技 7天7板;
航天晨光 3天3板;","5只;
腾达科技 8天8板;
航天晨光 4天4板;","10只;
腾达科技 9天9板;
航天晨光 5天5板;
大业股份 2天2板;
航天长峰 2天2板;","3只;
腾达科技 10天10板;
航天晨光 6天6板;
大业股份 3天3板;"
网约车,"6只;
锦江在线 15天9板;
大众交通 14天8板;
大众公用 3天3板;
交运股份 3天3板;","6只;
锦江在线 16天10板;
大众交通 15天9板;
大众公用 4天4板;
交运股份 4天4板;
南京公用 2天2板;","3只;
深康佳A 3天2板;","4只;
深康佳A 4天3板;","4只;
深康佳A 5天4板;
通达电气 2天2板;
江西长运 2天2板;"
低空经济,6只;,,,,2只;
VR/AR,6只;,,,,
换电,"4只;
动力新科 13天7板;
勘设股份 5天3板;",,,,
汽车拆解,"3只;
超越科技 2天2板;",,,,
军工,"3只;
洪都航空 2天2板;",,,,
业绩超预期,2只;,,,,
芯片产业链,,6只;,"5只;
中晶科技 2天2板;",3只;,"2只;
中晶科技 4天3板;"
地理信息,,"5只;
飞利信 3天2板;",,,
房地产概念,,"5只;
空港股份 2天2板;",,,
医药,,"4只;
塞力医疗 6天4板;
赛托生物 2天2板;","12只;
百花医药 2天2板;","6只;
香雪制药 2天2板;","11只;
河化股份 4天4板;
百花医药 4天3板;
四环生物 2天2板;"
家居装饰,,3只;,,,
化工,,3只;,,,
新能源汽车,,"3只;
北巴传媒 2天2板;","8只;
北巴传媒 3天3板;","8只;
北巴传媒 4天4板;
星网宇达 6天3板;
众泰汽车 2天2板;
安凯客车 4天2板;","7只;
北巴传媒 5天5板;
星网宇达 7天4板;
众泰汽车 3天3板;"
机器人,,,"17只;
方正电机 2天2板;","4只;
方正电机 3天3板;",
大金融,,,"12只;
锦龙股份 8天5板;
新黄浦 2天2板;",,
低空经济,,,8只;,"4只;
宗申动力 2天2板;
上工申贝 2天2板;",
金融科技,,,7只;,,
文化传媒,,,4只;,,
食品饮料,,,3只;,,
海南,,,2只;,,
家电,,,"2只;
长虹美菱 4天2板;
TCL智家 4天2板;",,
新型城镇化,,,,"7只;
海南瑞泽 2天2板;
大千生态 3天2板;",
高铁轨交,,,,5只;,
固态电池,,,,2只;,
海工装备,,,,"2只;
潍柴重机 5天5板;",
低价股,,,,,"7只;
山子高科 5天5板;
中公教育 4天3板;"
锂电池,,,,,"3只;
德新科技 3天2板;"
