类别,周一0701,周二0702,周三0703,周四0704,周五0705
市场焦点股,"瀛通通讯 4连板;
三晖电气 4连板;
凯中精密 5天4板;
税友股份 5天4板;","三晖电气 5连板;
税友股份 6天5板2连板;
康欣新材 3连板;
广汇汽车 5天3板2连板;","康欣新材 4连板;
亚泰集团 3连板;
宏和科技 4天3板2连板;
长药控股 2连板;","广汇汽车 7天4板;
东易日盛 3连板;
东方集团 3连板;","东易日盛 4连板;
东方集团 4连板;
长药控股 4天3板;"
人工智能,3只;,,,,
消费电子,"4只;
瀛通通讯 4连板;
凯旺科技 2连板;",,,,
智能电网,"5只;
三晖电气 4连板;
欣灵电气 2连板;","6只;
三晖电气 5连板;
洛凯股份 2连板;",,,
汽车产业链,"2只;
广汇汽车 4天2板;",,,,
稀土永磁,6只;,,,,
磷化工,3只;,,,,
房地产,6只;,,"2只;
海印股份 2天2板;",,
业绩,"2只;
凯中精密 5天4板;",3只;,"2只;
林州重机 2天2板;",3只;,
低价股,"9只;
康欣新材 2连板;","19只;
广汇汽车 5天3板2连板;
亚泰集团 2连板;
棕榈股份 2连板;
节能铁汉 2连板;
吉视传媒 2连板;","9只;
康欣新材 4天4板;
亚泰集团 3天3板;
长药控股 2天2板;
东方集团 2天2板;
赤天化 2天2板;
岭南股份 2天2板;
东易日盛 2天2板;","6只;
广汇汽车 7天4板;
东易日盛 3天3板;
东方集团 3天3板;
大连友谊 2天2板;","13只;
东易日盛 4天4板;
东方集团 4天4板;"
数字政务&金融科技,,"18只;
税友股份 6天5板2连板;
汇金科技 2连板;
科创信息 4天2板;",,,
PCB,,"5只;
宏和科技 3天2板;","4只;
宏和科技 4天3板;",,
维生素,,2只;,,,
婴童,,2只;,,,
土地流转,,"3只;
康欣新材 3连板;
辉隆股份 2连板;",,,
商业零售,,,8只;,,
新能源汽车,,,3只;,,
食品饮料,,,2只;,,
芯片产业链,,,2只;,2只;,"5只;
新亚强 2天2板;
光华科技 3天2板;"
机器人,,,,7只;,"2只;
远大智能 2天2板;"
医药,,,,,11只;
数据要素,,,,,"5只;
湘邮科技 2天2板;
任子行 4天2板;
竞业达 4天2板;"
财税数字化,,,,,3只;
