类别,周一0422,周二0423,周三0424,周四0425,周五0426
市场焦点股,"中衡设计 4连板;
威奥股份 4连板;
捷安高科 2连板;","中衡设计 5连板;
乐惠国际 5天4板2连板;
万安科技 5天4板;","中衡设计 6连板;
万安科技 6天5板2连板;","中衡设计 7连板;
春光科技 10天7板;
奥维通信 4连板;
亚太实业 4连板;","奥维通信 5连板;
西藏旅游 3连板;
川大智胜 3连板;
亚邦股份 4天3板2连板;"
低空经济,"2只;
中衡设计 4连板;
顺威股份 4天2板;","7只;
中衡设计 5连板;
万安科技 5天4板;","19只;
中衡设计 6连板;
万安科技 6天5板2连板;
蓝海华腾 2连板;
万丰奥威 4天2板;
世纪鼎利 4天2板;","6只;
中衡设计 7连板;
万丰奥威 5天3板2连板;
川大智胜 2连板;
中设股份 3天2板;","3只;
川大智胜 3连板;"
网络安全,2只;,,,,
军工,"22只;
展鹏科技 2连板;","8只;
展鹏科技 5天3板2连板;
四创电子 2连板;
奥维通信 2连板;
广哈通信 2连板;
航天长峰 2连板;",,,
猪肉产业,2只;,,,,
食品饮料,"4只;
乐惠国际 4天3板;",,,,
出海概念,"2只;
四通股份 4天2板;",,,,
旅游,3只;,,,,
业绩,"19只;
威奥股份 4连板;
辉煌科技 4天3板2连板;
捷安高科 2连板;
先锋电子 4天2板;","17只;
洪通燃气 3天2板;","13只;
辉煌科技 6天4板;","17只;
东方环宇 2连板;","24只;
鲁北化工 2连板;"
固态电池,,"3只;
宝丽迪 6天3板;",,5只;,
机器人,,3只;,,,
水利管网,,3只;,,,
算力&CPO&PCB,,,8只;,,"9只;
东方材料 3天2板;"
高速连接器,,,6只;,,
智能驾驶,,,3只;,,
军工,,,"4只;
奥维通信 3连板;",,
西部开发,,,5只;,,
化工,,,,"7只;
亚太实业 4连板;
亚邦股份 3天2板;",
钛白粉,,,,3只;,
AI应用端,,,,,3只;
光通信,,,,,6只;
量子通信,,,,,"10只;
浩丰科技 2连板;"
芯片产业链,,,,,3只;
消费电子,,,,,3只;
房地产,,,,,"4只;
南国置业 2连板;"
大金融,,,,,15只;
