类别,周一0617,周二0618,周三0619,周四0620,周五0621
市场焦点股,"东晶电子 4连板;
长城电工 3连板;
晨丰科技 3连板;
杰美特 4天3板;","华闻集团 10天8板;
东晶电子  5连板;
杰美特 5天4板2连板;
长江通信 3连板;
锴威特 4天3连板;","东晶电子 6连板;
长江通信 4连板;
恒天海龙 6天4板2连板;
屹通新材 2连板;","东晶电子 7连板;
华铭智能 4连板;
索菱股份 4连板;
锴威特 6天4板;","索菱股份 5连板;
南京化纤 3连板;
华蓝集团 3天2板;"
低空经济,2只;,"4只;
恒天海龙 5天3板;","3只;
恒天海龙 6天4板2连板;",,
车路云,"6只;
长江通信 2连板;","18只;
华闻集团 10天8板;
长江通信 3连板;
索菱股份 2连板;
华铭智能 2连板;
金溢科技 2连板;","14只;
长江通信 4连板;
华铭智能 3连板;
索菱股份 3连板;
金溢科技 3连板;","7只;
索菱股份 4连板;
华铭智能 4连板;
信息发展 2连板;","8只;
索菱股份 5连板;
华蓝集团 3天2板;
龙元建设 3天2板;
日上集团 4天2板;"
消费电子,"6只;
杰美特 4天3板;
领益智造 4天2板;","8只;
杰美特 5天4板2连板;",,,
PCB,"8只;
晨丰科技 3连板;",,,,2只;
智能电网,"2只;
长城军工 3连板;",2只;,,,
锂电池,2只;,,,,
一体成型电感,,4只;,"2只;
屹通新材 2连板;",2只;,
光通信,,3只;,,,
机器人,,3只;,,,
芯片产业链,,"2只;
锴威特 4天3板;","6只;
好上好 7天4板;","9只;
锴威特 6天4板;
气派科技 2连板;","5只;
力合科创 2连板;"
低价股&微盘股,,"11只;
松发股份 2连板;","7只;
亚振家居 8天4板;
华扬联众 2连板;
华嵘控股 2连板;","6只;
延华智能 2连板;
美克家居 3天2板;",
减肥药,,,,3只;,
昂立教育,,,,2只;,
光伏,,,,,2只;
基建,,,,,"7只;
美丽生态 2连板;
西藏天路 3天2板;
正平股份 3天2板;"
地下管网,,,,,4只;
医药,,,,,"5只;
南华生物 2连板;"
出海概念,,,,,"3只;
金麒麟 2连板;"
