类别,周一1021,周二1022,周三1023,周四1024,周五1025
市场焦点股,"双成药业 22天20板6连板;
海能达 18天14板2连板;
华立股份 7连板;
光智科技 6连板;
天马新材 4连板;","双成药业 23天21板7连板;
海能达 19天15板3连板;
华立股份 8连板;
光智科技 7连板;
成都路桥 7连板;","海能达 20天16板4连板;
华立股份 9连板;
光智科技 8连板;
成都路桥 8连板;
川润股份 13天8板6连板;","双成药业 25天22板;
海能达 21天17板5连板;
华立股份 10连板;
川润股份 14天9板7连板;
富乐德 6连板;","双成药业 26天23板2连板;
海能达 22天18板6连板;
华立股份 11连板;
川润股份 10天9板8连板;
文一科技 9天8板2连板;"
算力产业链,"10只;
四川长虹 4连板;
汉鑫科技 3连板;
凯旺科技 3连板;
跃岭股份 2连板;",,"4只;
四川长虹 6天6板;","4只;
鸿博股份 3天2板;",
AI应用端,"5只;
新华传媒 2连板;",,,,"4只;
新华传媒 6天4板;
天龙集团 4天3板;
中广天择 4天2板;"
文化传媒,,"11只;
新华传媒 3天3板;
智度股份 2天2板;
中广天择 4天2板;",,,
低空经济,"15只;
纵横通信 3连板;
中化岩土 4天3板2连板;
恒拓开源 2连板;
新晨科技 2连板;
一博科技 2连板;
宗申动力 2连板;","8只;
纵横通信 4天4板;
中化岩土 5天4板;
宗申动力 3天3板;","5只;
顺威股份 2天2板;
上工申贝 3天2板;","4只;
中化岩土 7天5板;","8只;
中化岩土 8天6板2连板;
上工申贝 5天4板3连板;
宗申动力 6天4板;
顺威股份 4天3板;
恒天海龙 3天2板;"
军工,"14只;
优机股份 4天3板;
光启技术 3天2板;",,"11只;
光启技术 5天3板;",,
芯片产业链,"36只;
国风新材 4连板;
综艺股份 3连板;
华东重机 5天3板2连板;
佳先股份 2连板;
华岭股份 2连板;
凯德石英 2连板;
晶赛科技 2连板;
阿为特 2连板;
晶华微 2连板;
台基股份 2连板;
国林科技 2连板;
上海贝岭 2连板;
瑞芯微 2连板;","13只;
华东重机 11天6板;
综艺股份 4天4板;
上海贝岭 3天3板;
深康佳A 3天3板;
深圳新星 2天2板;
汇鸿集团 2天2板;","5只;
华东重机 12天7板;","12只;
上海贝岭 5天4板;","9只;
华东重机 14天8板;
综艺股份 7天5板;
跃岭股份 6天4板2连板;
深圳新星 5天3板;"
英伟达概念,"3只;
方盛股份 2连板;
麦格米特 2连板;
英维克 2连板;",,,,
华为产业链,"8只;
海能达 18天14板2连板;
众诚科技 3连板;
国新健康 2连板;","7只;
海能达 19天15板;
川润股份 7天6板;
四川长虹 5天5板;
嘉环科技 2天2板;
天音控股 3天2板;","8只;
海能达 20天16板;
川润股份 8天7板;
智度股份 3天3板;
嘉环科技 3天3板;","4只;
海能达 21天17板;",
光伏,"12只;
川润股份 4连板;
坤博精工 2连板;","7只;
乐通股份 2天2板;
晶澳科技 2天2板;","16只;
海源复材 2天2板;
宝馨科技 3天2板;","9只;
川润股份 9天8板;
海源复材 3天3板;","34只;
川润股份 10天9板8连板;
海源复材 4连板;
宝馨科技 3连板;
晶澳科技 5天3板;
乐通股份 5天3板;
海达股份 2连板;
申华控股 2连板;
棒杰股份 2连板;
大全能源 3天2板;
TCL中环 3天2板;
通威股份 3天2板;
福莱特 3天2板;
钧达股份 3天2板;
远东股份 4天2板;"
消费电子,"8只;
欧菲光 3连板;
深康佳A 2连板;",2只;,3只;,"4只;
深康佳A 5天4板;","3只;
深康佳A 6天5板2连板;"
并购重组&股权转让,"12只;
双成药业 22天20板6连板;
华立股份 7连板;
光智科技 6连板;
城地香江 5连板;
文一科技 5连板;
东晶电子 4连板;
捷邦科技 5天4板3连板;
富乐德 3连板;
松发股份 3连板;",,,,"10只;
双成药业 26天23板2连板;
华立股份 11连板;
文一科技 9天8板2连板;
松发股份 7连板;
城地香江 9天7板2连板;
东晶电子 12天6板;
泰禾智能 5连板;
远达环保 5连板;
电投产融 5连板;
科源制药 4连板;
至正股份 4连板;
上海电气 5天4板;
大唐电信 3连板;
哈森股份 2连板;
国创高新 4天2板;"
并购重组,,"10只;
双成药业 23天21板;
华立股份 8天8板;
光智科技 7天7板;
富乐德 4天4板;
松发股份 4天4板;
电投产融 2天2板;
远达环保 2天2板;","12只;
华立股份 9天9板;
光智科技 8天8板;
富乐德 5天5板;
松发股份 5天5板;
电投产融 3天3板;
远达环保 3天3板;
上海电气 3天3板;
科源制药 2天2板;","16只;
双成药业 25天22板;
华立股份 10天10板;
松发股份 6天6板;
富乐德 6天6板;
电投产融 4天4板;
远达环保 4天4板;
科源制药 3天3板;
大唐电信 2天2板;
亚泰集团 3天2板;",
