类别,周一0916,周二0917,周三0918,周四0919,周五0920
市场焦点股,,,"双成药业  4连板;
常山北明 5天3板;
鼎信通讯 5天3板;
弘业期货 6天3板2连板;","保变电气 12天8板;
老百姓 13天7板;
双成药业 5连板;
汉嘉设计 3连板;
大唐电信 3连板;
电子城 3连板;
大连热电 3连板;","保变电气 13天9板2连板;
双成药业 6连板;
大唐电信 4连板;
电子城 4连板;
南天信息 5天4板2连板;"
光刻机,,,10只;,"2只;
海立股份 6天3板;
凯美特气 2天2板;",
国企改革,,,"8只;
大唐电信 2天2板;
大连热电 2天2板;","20只;
保变电气 12天8板;
大唐电信 3天3板;
电子城 3天3板;
大连热电 3天3板;
亿利达 2天2板;
阳煤化工 3天2板;","14只;
保变电气 13天9板;
大唐电信 4天4板;
电子城 4天4板;
海立股份 7天4板;
弘业期货 8天4板;
卓朗科技 2天2板;
云内动力 3天2板;
宝塔实业 3天2板;
海泰发展 4天2板;"
房地产概念,,,"3只;
电子城 2天2板;
中交地产 2天2板;",,
华为产业链,,,"3只;
常山北明 5天3板;
鼎信通讯 5天3板;","8只;
南天信息 4天3板;
国华网安 2天2板;","4只;
鼎信通讯 7天4板;
海能达 2天2板;"
大金融,,,"2只;
弘业期货 6天3板;",,
食品饮料,,,,"13只;
国中水务 7天4板;",
信创,,,,,"13只;
南天信息 5天4板;
常山北明 7天4板;
国华网安 3天3板;"
北斗导航,,,,,4只;
AI眼镜,,,,,2只;
智能驾驶,,,,,2只;
