类别,周一0923,周二0924,周三0925,周四0926,周五0927
市场焦点股,"保变电气 14天10板3连板;
双成药业 7连板;
大唐电信 5连板;
常山北明 8天5板2连板;
海立股份 8天5板4连板;
国华网安 4连板;","双成药业 8连板;
大唐电信 6连板;
弘业期货 10天5连板;
海能达 4连板;
银之杰 4天3板;","天茂集团 17天10板2连板;
双成药业 9连板;
常山北明 10天6板;
海能达 5连板;
银之杰 5天4板2连板;","双成药业 10连板;
跨境通 14天8板3连板;
海能达 6连板;
银之杰 6天5板3连板;
中南股份 8天5板4连板;","双成药业 11连板;
银之杰 7天6板4连板;
中南股份 9天6板5连板;
恒银科技 5连板;
亚泰集团 5连板;"
国企改革,"18只;
保变电气 14天10板;
大唐电信 5天5板;
海立股份 8天5板;
卓朗科技 3天3板;
亿利达 4天3板;
中交地产 5天3板;
龙高股份 4天2板;","12只;
大唐电信 6天6板;
卓朗科技 4天4板;
启明信息 3天3板;
亚泰集团 2天2板;","11只;
宝塔实业 6天4板;
中南股份 7天4板;
亚泰集团 3天3板;
海新能科 2天2板;","7只;
亚泰集团 4天4板;
张家界 2天2板;
美凯龙 2天2板;","3只;
中南股份 9天6板5连板;
亚泰集团 5连板;"
智能驾驶,"7只;
启明信息 2天2板;",,,5只;,4只;
信创,"7只;
常山北明 8天5板;
国华网安 4天4板;
东方通信 2天2板;","3只;
恒银科技 2天2板;",,,
消费电子,"5只;
福日电子 2天2板;",,,,
华为产业链,"4只;
海能达 3天3板;",,"2只;
常山北明 10天6板;
海能达 5天5板;","2只;
海能达 6天6板;",
光伏,4只;,"10只;
宝塔实业 5天3板;
雅博股份 2天2板;",,,8只;
CRAO/CMO,2只;,,,,
白酒,"2只;
岩石股份 3天3板;",,,,
食品饮料,,"4只;
皇台酒业 4天2板;",,"38只;
岩石股份 6天4板;
皇台酒业 6天3板;
中锐股份 3天2板;","13只;
岩石股份 7天5板2连板;
舍得酒业 2连板;
酒鬼酒 2连板;
古井贡酒 2连板;
泸州老窖 2连板;
安井食品 2连板;
山西汾酒 2连板;
水井坊 2连板;
金种子酒 2连板;
五粮液 2连板;
顺鑫农业 2连板;
天味食品 2连板;"
大金融,,"18只;
弘业期货 10天5板;
新力金融 3天2板;","13只;
新力金融 4天3板;
天风证券 2天2板;
中粮资本 2天2板;
中航产融 2天2板;
五矿资本 2天2板;
爱建集团 2天2板;
海德股份 2天2板;
国海证券 2天2板;
天茂集团 2天2板;
瑞达期货 2天2板;
南华期货 2天2板;","10只;
五矿资本 3天3板;
天风证券 3天3板;
中粮资本 3天3板;
爱建集团 3天3板;
中航产融 3天3板;
国海证券 3天3板;
香溢融通 3天2板;","15只;
天风证券 4连板;
五矿资本 4连板;
中粮资本 4连板;
国海证券 4连板;
中银证券 2连板;
长江证券 2连板;"
金融科技,,"12只;
银之杰 4天3板;","5只;
银之杰 5天4板;
恒银科技 3天3板;
汇金科技 2天2板;","6只;
银之杰 6天5板;
恒银科技 4天4板;","16只;
银之杰 7天6板4连板;
恒银科技 5连板;
顶点软件 4天2板;
金证股份 4天2板;
指南针 4天2板;"
锂电池,,"10只;
时代万恒 2天2板;",2只;,,"14只;
天齐锂业 4天2板;
威领股份 4天2板;
盛新锂能 4天2板;"
钢铁,,"8只;
中南股份 6天3板;",,"3只;
中南股份 8天5板;
本钢板材 3天2板;
西宁特钢 3天2板;",
节能环保,,6只;,,,
高股息,,5只;,"3只;
浙商中拓 2天2板;",,
光通信,,4只;,,,
芯片产业链,,"3只;
华软科技 4天3板;",,,2只;
房地产概念,,2只;,"6只;
世荣兆业 2天2板;
阳光股份 2天2板;","35只;
中交地产 8天4板;
阳光股份 3天3板;
金融街 2天2板;","22只;
阳光股份 4连板;
金融街 3连板;
华侨城A 2连板;
绿地控股 2连板;
金地集团 2连板;
云南城投 2连板;
城投控股 2连板;
光大嘉宝 2连板;
信达地产 2连板;
万科A  2连板;
世联行 2连板;
深深房A 2连板;
衢州发展 2连板;
我爱我家 2连板;
特发服务 2连板;
荣盛发展 2连板;
新城控股 2连板;
首开股份 2连板;
福星股份 2连板;
保利发展 2连板;"
文化传媒,,,6只;,,
家居装饰,,,,8只;,"5只;
美克家居 2连板;
坚朗五金 2连板;
三棵树 2连板;
东方雨虹 2连板;"
机器人,,,,8只;,3只;
商业零售,,,,"7只;
友好集团 2天2板;
上海九百 3天2板;",
并购重组,,,,"5只;
双成药业 10天10板;
合肥城建 2天2板;
思林杰 2天2板;","3只;
双成药业 11连板;
合肥城建 3连板;"
眼科,,,,4只;,
人力资源服务,,,,2只;,
股权转让,,,,"2只;
永辉超市 3天3板;",
医药,,,,,5只;
乳业,,,,,"4只;
品渥食品 2连板;"
零售,,,,,"3只;
永辉超市 4连板;
美凯龙 3连板;
华联股份 2连板;"
医美&美妆,,,,,2只;
数据要素,,,,,3只;
