类别,周一0805,周二0806,周三0807,周四0808,周五0809
市场焦点股,"腾达科技 11连板;
大众交通 19天10板;
河化股份 5连板;
大业股份 4连板;
众泰汽车 4连板;
中公教育 5天4板3连板;","国中水务 12天8板;
河化股份 6连板;
中公教育 6天5板4连板;
通达电气 4连板;
中央商场 3连板;
永达股份 3连板;","中公教育 7天6板5连板;
中央商场 4连板;
凯瑞德 3连板;
庚星股份 4天3板2连板;
航天科技 5天3板;","国中水务 14天9板;
中央商场 5连板;
凯瑞德 4连板;
岩石股份 7天4板;","岩石股份 8天5板2连板;
东北制药 4连板;
上工申贝 8天4板;
欣天科技 3连板;"
医药,"6只;
河化股份 5天5板;
百花医药 5天4板;
新里程 2天2板;
睿智医药 2天2板;
鲁抗医药 2天2板;","13只;
河化股份 6天6板;
香雪制药 5天3板;
多瑞医药 3天2板;
海欣股份 4天2板;",,6只;,
商业航天,"6只;
腾达科技 11天11板;
大业股份 4天4板;
航天科技 3天2板;",7只;,"11只;
航天科技 5天3板;
利君股份 2天2板;
航天动力 2天2板;
招标股份 2天2板;
深圳新星 3天2板;",,"2只;
欣天科技 3天3板;
深圳新星 5天3板;"
旅游酒店,"5只;
江西长运 3天3板;
岭南股份 3天2板;",,,,
教育产业,"4只;
中公教育 5天4板;","7只;
中公教育 6天5板;
凯文教育 2天2板;
行动教育 2天2板;","3只;
中公教育 7天6板;
昂立教育 2天2板;",,
低价股,4只;,,,"8只;
凯瑞德 4天4板;
美尔雅 5天3板;",
商业零售,"3只;
中央商场 2天2板;","3只;
中央商场 3天3板;
友好集团 2天2板;
大连友谊 2天2板;",,"3只;
中央商场 5天5板;
永辉超市 2天2板;",
游戏,3只;,,,,
户外露营,2只;,,,,
食品饮料,"2只;
岩石股份 4天2板;","4只;
岩石股份 5天3板;",,"4只;
岩石股份 7天4板;
国中水务 3天2板;",
网约车,"2只;
通达电气 3天3板;",,,,
低空经济,"2只;
上工申贝 4天3板;
安邦护卫 2天2板;",3只;,,,
智能驾驶,"2只;
众泰汽车 4天4板;",,,,2只;
光伏,,"14只;
皇氏集团 2天2板;","4只;
长城电工 2天2板;
海源复材 2天2板;",,
游戏,,"3只;
祥源文旅 2天2板;
名臣健康 2天2板;",,,
房地产概念,,2只;,,"2只;
世联行 3天2板;","4只;
岩石股份 8天5板;
世联行 4天3板;
深物业A 6天3板;"
机器人,,2只;,,,
智能电网,,,9只;,,
光通信,,,7只;,,
卫星互联网,,,5只;,,
民爆,,,2只;,,
电力,,,2只;,,
工程机械,,,"2只;
北方股份 2天2板;",,
维生素,,,,9只;,
农业种植,,,,5只;,
工业母机,,,,2只;,
芯片产业链,,,,,6只;
折叠屏,,,,,5只;
骨科材料,,,,,3只;
