类别,周一0205,周二0206,周三0207,周四0208,周五0209
市场焦点股,"深中华A 20天13板;
哈森股份 15天10板3连板;
中基健康 4连板;
同心传动 2连板;","中基健康 5连板;
克来机电 4连板;
同心传动 3连板;","哈森股份 17天11板;
克来机电 5连板;
九菱科技 2连板;","哈森股份 18天12板2连板;
克来机电 6连板;
洪涛股份 4连板;",
新质生产力,"8只;
克来机电 3连板;
德新科技 2连板;","7只;
克来机电 4连板;
中重科技 2连板;
赛摩智能 2连板;","9只;
克来机电 5连板;
中重科技 3连板;
大族激光 2连板;
川仪股份 2连板;
永创智能 4天2板;","8只;
克来机电 6连板;
永创智能 5天3板2连板;
远大智能 2连板;",
央国企改革,"3只;
中基健康 2连板;","11只;
中基健康 5连板;
省广集团 3天2板;","12只;
长江通信 3连板;
启明星辰 2连板;
亚钾国际 2连板;
电科网安 2连板;
风华高科 2连板;","12只;
中国稀土 3连板;
风华高科 3连板;",
北交所,"7只;
同心传动 2连板","9只;
同心传动 3连板;","3只;
九菱科技 2连板;",,
算力,,2只;,3只;,"5只;
航锦科技 2连板;",
光通信,,"5只;
长江通信 2连板;",,,
光伏,,"10只;
电投产融 4天2板;",,,
氢能,,7只;,"4只;
美锦能源 2连板;
昊华科技 2连板;","8只;
蓝科高新 2连板;",
锂电池,,8只;,"16只;
万祥科技 2连板;
川发龙蟒 2连板;","9只;
川发龙蟒 3连板;",
芯片产业链,,7只;,"7只;
华天科技 2连板;","18只;
华天科技 3连板;
光华科技 2连板;",
汽车产业链,,8只;,"9只;
赛力斯 2连板;
宏发股份 2连板;
莱克电气 2连板;",10只;,
稀土永磁,,6只;,"9只;
中国稀土 2连板;
广晟有色 2连板;
盛和资源 2连板;
中科三环 2连板;",,
食品饮料,,3只;,,4只;,
家居装饰,,4只;,,,
医药,,27只;,"18只;
亚宝药业 2连板;
新里程 2连板;
万泰生物 2连板;
普洛药业 2连板;
信立泰 2连板;","9只;
新里程 3连板;",
大金融,,4只;,,,
次新股,,3只;,,,
增持回购,,2只;,,,
人工智能,,,2只;,"7只;
新大陆 2连板;",
卫星互联网,,,"4只;
和而泰 2连板;",,
军工,,,"7只;
光启技术 2连板;","4只;
光启技术 3连板;",
风光储,,,3只;,"14只;
青岛中程 2连板;",
国产软件,,,,8只;,
消费电子,,,,"7只;
翔腾新材 2连板;",
