,周一0101,周二0102,周三0103,周四0104,周五0105
市场焦点股,,"亚世光电 9连板;
双象股份 9天6板;
神马电力 4连板;
力鼎光电 4连板;","神马电力 5连板;
力鼎光电 5连板;
汇金通 4连板;
尚纬股份 4连板;
华尔泰 4连板;","智微智能 6天5板2连板;
利柏特 4连板;
可川科技 5天4板;
神雾节能 3连板;","长白山 4连板;
大连亚圣 3连板;
东方中科 3连板;
日久光电 3连板;
亚华电子 2连板;
雅博股份 6天3板;"
光伏,,"7只;
汇金通 3连板;
茂硕电源 3连板;
金辰股份 3连板;
闽发铝业 3连板;
宝塔实业 2连板;",,"3只;
海源复材 5天3板;
悦达投资 2连板;","2只;
雅博股份 6天3板;"
核电,,"8只;
神马电力 4连板;
尚纬股份 3连板;
利柏特 2连板;","5只;
神马电力 5连板;
汇金通 4连板;
尚纬股份 4连板;
利伯特 4连板;
锡装股份 2连板;",,
核污染防治,,4只;,,,
军工,,7只;,"2只;
宝塔实业 3连板;
苏州龙杰 2连板;",,
MR混合现实,,"7只;
亚世光电 9连板;
双象股份 9天6板;
力鼎光电 4连板;
时空科技 3连板;
可川科技 3连板;
道明光学 5天3板2连板;","4只;
力鼎光电 5连板;
沈阳化工 2连板;",,
汽车产业链,,"4只;
瑞玛精密 3连板;",,"4只;
思进智能 4天2板;",
煤炭,,2只;,,,
航运,,2只;,,,
文化传媒,,"3只;
大晟文化 4天2板;","3只;
大晟文化 5天3板2连板;
中视传媒 2连板;",,
北交所,,23只;,6只;,3只;,1只;
华为鸿蒙,,,2只;,"5只;
智微智能 6天5板2连板;
东方中科 2连板;","4只;
东方中科 3连板;
延华智能 2连板;
亚华电子 2连板;"
消费电子,,,3只;,"5只;
可川科技 5天4板;
日久光电 2连板;
惠威科技 2连板;","3只;
日久光电 3连板;"
房地产,,,2只;,,
电力,,,2只;,,
算力,,,"2只;
智微智能 5天4板;",,
中药,,,4只;,,
旅游,,,"2只;
长白山 2连板;","2只;
长白山 3连板;
大连圣亚 2连板;",
氢能,,,,"3只;
利柏特 4连板;",
户外装备,,,,3只;,
医药医疗,,,,3只;,
供销社,,,,2只;,
次新股,,,,"4只;
鼎龙科技 4天2板;
南方路机 4天2板;","3只;
宏盛华源 2连板;"
固态电池,,,,,3只;
冰雪产业,,,,,"2只;
长白山 4连板;
大连亚圣 3连板;"
机器人,,,,,"2只;
思进智能 2连板;"
