,周一0122,周二0123,周三0124,周四0125,周五0126
市场焦点股,"深中华A 10连板;
哈森股份 5连板;
华升股份 4连板;
华瓷股份 4连板;
同兴环保 4连板;","深中华A 11连板;
哈森股份 6连板;
华瓷股份 5连板;
同兴环保 5连板;","哈森股份 7连板;
深中华A 8天5板;
剑桥科技 5天4板2连板;
新力金融 7天4板;","深中华A 13天12板;
深华发A 9天6板2连板;
特发信息 4连板;
中视传媒 5天4板3连板;
华控赛格 6天4板2连板;","深华发A 10天7板3连板;
特发信息 5连板;
中视传媒 6天5板4连板;
华控赛格 7天5板3连板;"
消费电子,"2只;
深华发A 6天4板;",,,,
汽车产业链,3只;,,,,
固态电池,2只;,,,,
纺织服装,"2只;
华升股份 4连板;
华鼎股份 2连板;",,,,
华字辈,"5只;
深中华A 10连板;
华瓷股份 4连板;
萃华珠宝 4天2板;","4只;
深中华A 11连板;
华瓷股份 5连板;
华如科技 2连板;
华尔泰 3天2板;","3只;
深华发A 8天5板;
华控赛格 5天3板;
萃华珠宝 6天3板;","3只;
深中华A 13天12板;
深华发A 9天6板2连板;
华控赛格 6天4板2连板;","3只;
深华发A 10天7板3连板;
华控赛格 7天5板3连板;
大庆华科 3天2板;"
北交所,2只;,3只;,2只;,3只;,5只;
光模块,,"5只;
剑桥科技 4天3板;
特发信息 2连板;","3只;
剑桥科技 5天4板2连板;
特发信息 3连板;","4只;
特发信息 4连板;",
芯片产业链,,"3只;
盛剑环境 3天2板;",,,
光伏,,4只;,,,2只;
文化传媒,,"4只;
中视传媒 3天2板;",,,
大金融,,3只;,"19只;
新力金融 7天4板;
建元信托 2连板;
九鼎投资 2连板;
首创证券 2连板;
金证股份 2连板;","10只;
建元信托 3连板;
浦东金桥 3连板;
九鼎投资 3连板;
南华期货 2连板;
香溢融通 2连板;
中粮资本 2连板;
新黄浦 2连板;
华鑫股份 2连板;
中航产融 2连板;
陆家嘴 2连板;","5只;
浦东金桥 4连板;
九鼎投资 4连板;
中粮资本 3连板;
香溢融通 3连板;"
预制菜新国标,,2只;,,,
上海本地股,,9只;,"23只;
上海易连 2连板;
上海物贸 2连板;
上海凤凰 2连板;
中华企业 2连板;
华建集团 2连板;
长江投资 2连板;
畅联股份 2连板;
开开实业 2连板;
浦东金桥 2连板;","28只;
畅联股份 3连板;
上海易连 3连板;
上海物贸 3连板;
上海凤凰 3连板;
长江投资 3连板;
华建集团 3连板;
开开实业 3连板;
上海凯鑫 2连板;
合富中国 2连板;
上海建科 2连板;
开创国际 2连板;","10只;
畅联股份 4连板;
上海物贸 4连板;
上海凤凰 4连板;
华建集团 4连板;
长江投资 4连板;
开开实业 4连板;
上海凯鑫 3连板;
国新文化 2连板;
上海贝岭 2连板;"
业绩,,5只;,2只;,6只;,3只;
氢能,,,2只;,,
电商,,,2只;,,
食品饮料,,,2只;,,
高外销,,,3只;,,
中字头&央企,,,"14只;
中视传媒 4天3板2连板;","40只;
中视传媒 5天4板3连板;
中成股份 2连板;
中国海诚 2连板;
中公高科 2连板;
中铁装配 2连板;","5只;
中视传媒 6天5板4连板;
中成股份 3连板;
中国海诚 3连板;
中铁装配 3连板;
中铝国际 2连板;"
算力,,,,3只;,
华为鸿蒙,,,,3只;,
教育,,,,3只;,
房地产,,,,"10只;
中华企业 3连板;
光大嘉宝 2连板;
外高桥 2连板;","12只;
中华企业 4连板;
上海易连 4连板;
光大嘉宝 3连板;
外高桥 3连板;
中交地产 2连板;
光明地产 2连板;"
游戏,,,,,2只;
海南本地股,,,,,8只;
地方国企改革,,,,,4只;
