类别,周一0429,周二0430,周三0501,周四0502,周五0503
市场焦点股,"奥维通信 6连板;
川大智胜 4连板;
万丰奥威 7天4板;",,,,
算力,"4只;
东方材料 4天3板2连板;","4只;
南国置业 4连板;
蔚蓝生物 3连板;
国盛金控 3连板;
格尔软件 3连板;",,,
低空经济,"5只;
川大智胜 4连板;
万丰奥威 7天4板;",,,,
量子通信,"3只;
格尔软件 2连板;
神州信息 2连板;
吉大正元 2连板;",,,,
合成生物,"6只;
蔚蓝生物 2连板;","10只;
蔚蓝生物 3连板;
圣达生物 3天2板;",,,
风电,6只;,,,,
智能驾驶,11只;,"3只;
中海达 2连板;
路畅科技 2连板;",,,
固态电池,3只;,,,,
汽车拆解,4只;,,,,
锰,2只;,,,,
房地产,"33只;
南国置业 3连板;
我爱我家 2连板;
大名城 2连板;","6只;
南国置业 4连板;
华远地产 2连板;
荣盛发展 2连板;
京能置业 2连板;
天保基建 2连板;",,,
房地产上下游,3只;,,,,
大金融,"4只;
国盛金控 2连板;
华金资本 2连板;
太平洋 2连板;",,,,
业绩,"46只;
鲁北化工 3连板;","19只;
凯中精密 2连板;
豪能股份 2连板;
国联股份 2连板;",,,
家电,,3只;,,,
医药,,3只;,,,
