类别,周一0318,周二0319,周三0320,周四0321,周五0322
市场焦点股,"艾艾精工 10连板;
立航科技 10天8板;
永悦科技 5连板;
大理药业 5连板;
超越科技 3连板;","艾艾精工 11连板;
福蓉科技 14天8板2连板;
永悦科技 6连板;
大理药业 6连板;","艾艾精工 12连板;
福蓉科技 15天9板3连板;
永悦科技 7连板;
大理药业 7连板;","艾艾精工 13连板;
立航科技 13天9板;
永悦科技 8连板;
大理药业 8连板;","博信股份 6连板;
掌阅科技 10天6板3连板;
动力新科 5连板;"
算力,4只;,,,"4只;
新亚电子 5天4板3连板;
设计总院 2连板;",7只;
光通信,2只;,,,,
人工智能,"6只;
电广传媒 2连板;
博信股份 2连板;
声迅股份 2连板;
恒银科技 2连板;","3只;
电广传媒 3连板;
博信股份 3连板;","13只;
博信股份 4连板;
电广传媒 4连板;","8只;
博信通信 5连板;
贝瑞基因 4连板;
伟隆股份 2连板;
实丰文化 2连板;","4只;
博信股份 6连板;"
文化传媒,"4只;
文投控股 18天9板;",,"7只;
掌阅科技 8天4板;
引力传媒 3天2板;","8只;
掌阅科技 9天5板2连板;
中广天择 2连板;
华策影视 2连板;","12只;
掌阅科技 10天6板3连板;
中广天择 3连板;
华策影视 3连板;
读客文化 2连板;
慈文传媒 3天2板;
中原传媒 4天2板;"
机器人,"7只;
东方精工 17天9板;
泰尔股份 2连板;",,,,
低空经济&无人机,"15只;
立航科技 10天8板;
永悦科技 5连板;
万丰奥威 6天4板2连板;
上工申贝 6天3板;","5只;
永悦科技 6连板;
东方时尚 2连板;","12只;
永悦科技 7连板;
东方时尚 3连板;
再升科技 2连板;
安邦护卫 2连板;
四川九洲 2连板;
北纬科技 3天2板;
卧龙电驱 3天2板;
莱斯信息 3天2板;
咸亨国际 4天2板;","16只;
立航科技 13天9板;
永悦科技 8连板;
东方时尚 4连板;
北纬科技 4天3板2连板;
卧龙电驱 4天3板2连板;
咸亨国际 2连板;
上工申贝 4天2板;","3只;
王子新材 2连板;"
汽车产业链,"13只;
合锻智能 3连板;
东风汽车 2连板;","4只;
动力新科 2连板;
方正电机 2连板;","11只;
动力新科 3连板;
东风汽车 4天3板;
东安动力 6天3板;
威帝股份 2连板;","7只;
动力新科 4连板;
威帝股份 3连板;","5只;
动力新科 5连板;
华生科技 2连板;"
消费电子,"8只;
福蓉科技 13天7板;
中光学 2连板;","7只;
福蓉科技 14天8板2连板;
瀛通通讯 2连板;","3只;
福蓉科技 15天9板3连板;
维科技术 2连板;",,
PCB,3只;,,2板;,,
光伏,3只;,"4只;
明牌珠宝 6天3板;",7只;,,
资源回收,"2只;
超越科技 3连板;
怡球资源 2连板;",,,,
地产&基建,"5只;
济南高新 5天3板;
诚邦股份 2连板;",,,,
教育,3只;,,"3只;
美吉姆 3天2板;","2只;
美吉姆 4天3板2连板;
威创股份 2连板;",
医药,"16只;
大理药业 5连板;
泓博医药 4天2板;","4只;
大理药业 6连板;
塞力医疗 2连板;
贝瑞基因 2连板;","11只;
大理药业 7连板;
贝瑞基因 3连板;
塞力医疗 3连板;
康惠制药 3天2板;",,
高速连接器,,"6只;
新亚电子 3天2板;",,,"8只;
沃尔核材 3连板;
博威合金 2连板;
鼎通科技 4天2板;"
铜高速连接器,,,"5只;
新亚电子 4天3板2连板;
得润电子 2连板;",,
铜,,,"3只;
北方铜业 5天3板;",,
量子通信,,2只;,,,
智能驾驶,,"8只;
宸展光电 2连板;",,,
氢能,,"3只;
新大洲A 4连板;","2只;
辉丰股份 2连板;
海鸥股份 2连板;",2只;,
猪肉产业,,"4只;
傲农生物 3天2板;",,,
核电,,,2只;,,2只;
芯片产业链,,,,"4只;
德明利 4天3板2连板;","10只;
翔港科技 2连板;
南方精工 2连板;
大为股份 2连板;
宏昌电子 3天2板;"
核电,,,,"4只;
沃尔核材 2连板;
威尔泰 4天2板;",
黄金,,,,2只;,
猪肉产业,,,,"6只;
傲农生物 5天4板3连板;
神农集团 3天2板;
湘佳股份 3天2板;",
房地产产业链,,,,"2只;
科新发展 4天2板;","4只;
科新发展 5天3板2连板;"
