类别,周一1007,周二1008,周三1009,周四1010,周五1011
市场焦点股,,"双成药业 13连板;
银之杰 9天8板6连板;
恒银科技 7连板;
亚泰集团 7连板;
岩石股份 9天7板4连板;","双城药业  14连板;
海能达 10天9板3连板;
恒银科技 8连板;
中粮资本 7连板;
天风证券 7连板;","中粮资本 8连板;
云南城投 6天4板;
深圳新星 4天3板2连板;","海能达 12天10板;
卓朗科技 12天8板;
珂玛科技 5天4板;
宏达新材 3连板;
四方精创 5天3板;
科蓝软件 5天3板;"
医药,,"12只;
药明康德 3连板;
长春高新 3连板;
昭衍新药 3连板;
万达信息 2连板;
益诺思 2连板;
天智航 2连板;
美迪西 2连板;
皓元医药 2连板;
国新健康 2连板;
新里程 2连板;
吉林敖东 2连板;
九洲药业 2连板;",,"3只;
奇正藏药  4天2板;",
金融科技,,"28只;
银之杰 9天8板6连板;
恒银科技 7连板;
指南针 6天4板3连板;
顶点软件 6天4板3连板;
金证股份 6天4板3连板;
汇金科技 6天4板2连板;
安硕信息 3连板;
英方软件 3连板;
赢时胜 3连板;
天玑科技 3连板;
润和软件 3连板;
同花顺 3连板;
天利科技 3连板;
恒生电子 3连板;
大智慧 3连板;
华峰超纤 5天3板2连板;
法本信息 2连板;
宇信科技 2连板;
科蓝软件 2连板;
飞天诚信 2连板;
长亮科技 2连板;
兆日科技 2连板;
凌志软件 2连板;
天源迪科 2连板;
新致软件 2连板;
财富趋势 2连板;
四方精创 2连板;
博彦科技 2连板;","10只;
恒银科技 8天8板;
恒生电子 4天4板;
英方软件 4天4板;
仁东控股 2天2板;",,
大金融,,"40只;
亚泰集团 7连板;
天风证券 6连板;
五矿资本 6连板;
中粮资本 6连板;
国海证券 6连板;
中银证券 4连板;
长江证券 4连板;
海德股份 6天4板2连板;
天晟新材 3连板;
东方财富 3连板;
中信证券 3连板;
西部证券 3连板;
山西证券 3连板;
华林证券 3连板;
财达证券 3连板;
第一创业 3连板;
国盛金控 3连板;
郑州银行 5天3板2连板;
中金公司 2连板;
方正证券 2连板;
兴业证券 2连板;
太平洋 2连板;
招商证券 2连板;
东方证券 2连板;
长城证券 2连板;
华西证券 2连板;
国信证券 2连板;
越秀资本 2连板;
华茂股份 2连板;
广发证券 2连板;
国元证券 2连板;
锦龙股份 2连板;
东北证券 2连板;
申万宏源 2连板;
兰生股份 2连板;
华安证券 2连板;
新华保险 2连板;
中国人寿 2连板;
国联证券 2连板;","2只;
天风证券 7天7板;
中粮资本 7天7板;","3只;
中粮资本 8天8板;","2只;
红塔证券 5天3板;
中金公司 5天3板;"
锂电池,,"3只;
寒锐钴业 3连板;
天齐锂业 3连板;
华友钴业 3连板;",,,
光伏,,"5只;
汉嘉设计 3连板;
绿康生化 3连板;
京运通 3连板;
福莱特 3连板;
昱能科技 2连板;",,,
华为产业链,,"13只;
常山北明 14天8板2连板;
软通动力 2连板;
诚迈科技 2连板;
荣科科技 2连板;
飞利信 2连板;
世纪鼎利 2连板;
九联科技 2连板;
光弘科技 2连板;
安恒信息 2连板;
东方通 2连板;
智度股份 2连板;
梦网科技 2连板;
拓维信息 2连板;","10只;
海能达 10天9板;
常山北明 15天9板;
润和软件 4天4板;
梦网科技 3天3板;
拓维信息 3天3板;
芯瑞达 3天3板;",,"5只;
海能达 12天10板;
卓朗科技 12天8板;
国华网安 5天3板;"
数据要素,,"6只;
零点有数 3连板;
延华智能 3连板;
太极股份 3连板;
深桑达A 3连板;
上海钢联 2连板;
新点软件 2连板;",,"4只;
天亿马 3天2板;",
国产软件,,"7只;
广联达 4连板;
宝兰德 2连板;
致远互联 2连板;
星环科技 2连板;
亚信安全 2连板;
石基信息 2连板;
泛微网络 2连板;",,,
芯片产业链,,"36只;
紫光国微 4天3板2连板;
中芯国际 2连板;
寒武纪 2连板;
沪硅产业 2连板;
复旦微电 2连板;
艾为电子 2连板;
珂玛科技 2连板;
双乐股份 2连板;
龙图光罩 2连板;
卓胜微 2连板;
国科微 2连板;
富满微 2连板;
睿创微纳 2连板;
捷捷微电 2连板;
芯海科技 2连板;
新相微 2连板;
润欣科技 2连板;
明微电子 2连板;
国民技术 2连板;
奥特维 2连板;
恒玄科技 2连板;
晶丰明源 2连板;
富创精密 2连板;
和林微纳 2连板;
芯原股份 2连板;
长光华芯 2连板;
茂莱光学 2连板;
思瑞浦 2连板;
东微半导 2连板;
龙芯中科 2连板;
纳芯微 2连板;
立昂微 2连板;
士兰微 2连板;
上海贝岭 2连板;
中晶科技 2连板;
瑞芯微 2连板;","21只;
双成药业 14天14板;
珂玛科技 3天3板;
国民技术 3天3板;
新相微 3天3板;
龙图光罩 3天3板;
捷捷微电 3天3板;
士兰微 3天3板;
海立股份 2天2板;
华东重机 2天2板;
深圳新星 3天2板;","5只;
深圳新星 4天3板;
至正股份 6天3板;","2只;
珂玛科技 5天4板;"
