类别,周一0610,周二0611,周三0612,周四0613,周五0614
市场焦点股,,"协和电子 6连板;
华闻集团 5天4板2连板;
逸豪新材 6天4板;
双乐股份 2连板;","协和电子 7连板;
华闻集团 6天5板3连板;
国风新材 3连板;","华闻集团 7天6板4连板;
国风新材 4连板;
杰美特 2连板;","华闻集团 8天7板5连板;
东晶电子 3连板;
锴威特 2连板;"
金融科技,,2只;,,,
芯片产业链,,"22只;
中晶科技 4连板;
国风新材 2连板;
双乐股份 2连板;
上海贝岭 3天2板;
立昂微 3天2板;","8只;
国风新材 3连板;
东方嘉盛 2连板;
好上好 2连板;
海能实业 4天2板;","14只;
国风新材 4连板;
好上好 3连板;
柏诚股份 2连板;
安路科技 3天2板;","2只;
先锋电子 2连板;
锴威特 2连板;"
PCB,,"4只;
协和电子 6连板;
逸豪新材 6天4板;","3只;
协和电子 7连板;
骏亚科技 2连板;",2只;,"3只;
晨丰科技 2连板;"
低价股,,"2只;
华闻集团 5天4板2连板;","7只;
华闻集团 6天5板3连板;
申华控股 9天5板;
粤宏远A 3天2板;
大有能源 3天2板;","8只;
华闻集团 7天6板4连板;
恒天海龙 2连板;
亚振家居 4天2板;","4只;
华闻集团 8天7板5连板;
亚振家居 2连板;"
商业航天,,,2只;,,
光通信,,,2只;,,5只;
机器人,,,4只;,3只;,
苹果产业链,,,"7只;
瀛通通讯 3天2板;",,
消费电子,,,3只;,"5只;
瀛通通讯 4天3板2连板;
杰美特 2连板;
惠威科技 2连板;",2只;
传媒,,,5只;,,
医药,,,"5只;
汉商集团 2连板;
南华生物 3天2板;",,
华为鸿蒙,,,,2只;,
智能电网,,,,7只;,"8只;
长城电工 2连板;
北京科锐 2连板;
精伦电子 3天2板;"
充电桩,,,,,2只;
科创板次新,,,,4只;,
