类别,周一0812,周二0813,周三0814,周四0815,周五0816
市场焦点股,"长城电工 5天3板;
华塑控股 3连板;","华塑控股 4连板;
勘设股份 3连板;
清研环境 2连板;","岩石股份 11天6板;
勘设股份 4连板;
博士眼镜 2连板;
冠龙节能 2连板;","博士眼镜 3连板;
亚世光电 3连板;
金龙汽车 3连板;
西藏天路 3连板;
星星科技 5天3板2连板;","博士眼镜 4连板;
亚世光电 4连板;
卓翼科技 3连板;
世纪鼎利 2连板;
凯旺科技 2连板;
海辰药业 2连板;"
医药,"18只;
达安基因 3天2板;",,,,
节能环保,"11只;
盛剑科技 2天2板;
宿迁联盛 2天2板;
神雾节能 3天2板;","3只;
清研环境 2天2板;",,,
智能驾驶,"3只;
勘设股份 2天2板;","8只;
勘设股份 3天3板;
宇通重工 2天2板;","7只;
勘设股份 4天4板;
康盛股份 2天2板;
星网宇达 2天2板;
金龙汽车 2天2板;","4只;
金龙汽车 3天3板;
宇通重工 4天3板;
好利科技 3天2板;",
核污染防治,2只;,,,,
新型城镇化,,6只;,"5只;
冠龙节能 2天2板;",,
VR/AR,,5只;,"11只;
博士眼镜 2天2板;
亚世光电 2天2板;
亿道信息 2天2板;","15只;
亚世光电 3天3板;
博士眼镜 3天3板;
星星科技 5天3板;
卓翼科技 2天2板;
亿通科技 2天2板;
瀛通通讯 2天2板;
联建光电 3天2板;","14只;
亚世光电 4天4板;
博士眼镜 4天4板;
卓翼科技 3天3板;
创维数字 2天2板;"
西藏,,3只;,"3只;
高争民爆 6天3板;
西藏天路 2天2板;",,
工程机械,,3只;,,,
油气设服,,"3只;
准油股份 2天2板;",,,
游戏,,,4只;,"7只;
凯撒文化 2天2板;
名臣健康 2天2板;",
光伏,,,"3只;
航天机电 4天2板;",5只;,
折叠屏,,,"2只;
华映科技 4天2板;
星星科技 4天2板;",,
华为产业链,,,2只;,2只;,
纺织服装,,,,"3只;
安正时尚 2天2板;",
房地产概念,,,,2只;,
猴痘概念,,,,2只;,"9只;
亚太药业 2天2板;
海辰药业 2天2板;"
节能环保,,,,2只;,
华为海思,,,,,"8只;
世纪鼎利 2天2板;
深圳华强 2天2板;"
消费电子,,,,,"3只;
华映科技 6天3板;"
芯片产业链,,,,,3只;
高速连接器,,,,,2只;
超硬材料,,,,,2只;
