序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date
30,600589,广东榕泰,9.952607154846191,2.32,34403609,3430050144.7999997,3430050140.16,1.029449462890625,10924880,100205,111926,1,1/1,1,互联网服,2024-09-19
35,002095,生 意 宝,10.0,12.65,87169854,3184111449.75,3196908000.0,2.825993299484253,75249511,101306,101306,0,1/1,1,互联网服,2024-09-19
49,000676,智度股份,10.070671081542969,6.23,870480640,7873380506.39,7882751815.68,11.37255859375,36935801,105054,134406,1,1/1,1,互联网服,2024-09-19
59,000020,深华发Ａ,9.991876602172852,13.54,273991344,2452979394.14,3834003081.2799997,11.874261856079102,53715752,143057,143057,0,1/1,1,光学光电,2024-09-19
13,600187,国中水务,9.897611618041992,3.22,450474608,5196375151.66,5196375154.88,8.875750541687012,68950819,093616,093616,0,7/4,1,公用事业,2024-09-19
52,603336,宏辉果蔬,10.130719184875488,3.37,90335347,1922192597.2,1922192624.16,4.840023040771484,13091637,130003,130003,0,1/1,1,农牧饲渔,2024-09-19
37,600965,福成股份,9.872611999511719,3.45,38204410,2824518294.75,2824518312.0,1.389070987701416,13663987,101755,101755,0,1/1,1,农牧饲渔,2024-09-19
20,000505,京粮控股,9.944750785827637,5.97,133781897,3775310605.92,4339893028.32,3.6156694889068604,55394734,094645,094645,0,1/1,1,农牧饲渔,2024-09-19
6,002549,凯美特气,10.018552780151367,5.93,103193429,4105691989.18,4123413070.72,2.5134241580963135,40610419,093000,093000,0,2/2,2,化学制品,2024-09-19
47,002453,华软科技,10.030394554138184,3.62,55498326,2211379355.5,2940768974.4,2.608588457107544,14746794,103948,103948,0,1/1,1,化学制品,2024-09-19
31,300927,江天化学,20.0,16.14,130129247,2273947330.2000003,2329970400.0,6.082834243774414,21670209,100300,100300,0,1/1,1,化学原料,2024-09-19
18,600691,阳煤化工,9.941520690917969,1.88,104639311,4466101589.759999,4466846069.759999,2.414504289627075,20100561,094057,094057,0,3/2,1,化肥行业,2024-09-19
23,002622,皓宸医疗,9.722222328186035,1.58,68199983,1327160895.0,1327200000.0,5.298561096191406,15089790,095139,095139,0,1/1,1,医疗服务,2024-09-19
27,603883,老百姓,10.015060424804688,14.61,1825092960,11073163469.13,11106977364.48,16.973154067993164,60936016,095848,131609,4,13/7,1,医药商业,2024-09-19
53,603068,博通集成,9.994256973266602,19.15,99214007,2880638098.8999996,2880638098.8999996,3.5890984535217285,39665395,130145,130145,0,1/1,1,半导体,2024-09-19
15,600877,电科芯片,10.03009033203125,10.97,320985488,10114114588.44,12990313306.400002,3.2147555351257324,29380951,093714,103839,5,1/1,1,半导体,2024-09-19
51,603214,爱婴室,9.990485191345215,11.56,64762829,1601522816.16,1601522816.16,4.152618885040283,10427813,111736,112124,3,1/1,1,商业百货,2024-09-19
4,600619,海立股份,9.949409484863281,6.52,82214318,5145419682.96,6998205488.0,1.5978156328201294,230940356,092502,092502,0,6/3,2,家电行业,2024-09-19
8,002848,高斯贝尔,10.0,7.04,65894231,1150103722.24,1176736000.0,5.734804153442383,21911296,093006,093006,0,1/1,1,家电行业,2024-09-19
57,300746,汉嘉设计,19.97896957397461,11.41,511864272,2531698938.79,2575674322.48,22.670263290405273,4667831,133006,144212,2,5/4,1,工程咨询,2024-09-19
34,600665,天地源,10.084033966064453,2.62,94213831,2264001005.02,2264001023.36,4.317234992980957,8448190,101021,101021,0,1/1,1,房地产开,2024-09-19
12,600658,电子城,9.944750785827637,3.98,173148544,4451968479.1,4451968459.2,4.058768272399902,68660058,093441,093441,0,3/3,3,房地产服,2024-09-19
28,002607,中公教育,9.89011001586914,2.0,905771456,10057488630.0,12334798848.0,9.237893104553223,96261800,095854,095854,0,1/1,1,教育,2024-09-19
21,300061,旗天科技,20.033954620361328,7.07,930951216,4387215933.52,4659085317.6,22.13094139099121,47059334,094918,110348,2,1/1,1,文化传媒,2024-09-19
50,600490,鹏欣资源,9.871244430541992,2.56,346836752,5101110748.16,5664990904.32,7.187230587005615,13633699,111620,144823,1,3/2,1,有色金属,2024-09-19
