序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date
41,301289,国缆检测,20.0,54.66,240885902,1385625588.6599998,4263479999.9999995,18.082326889038086,108612043,093642,093642,0,1/1,1,专业服务,2024-11-21
112,002184,海得控制,9.983360290527344,13.22,655982960,3173824602.88,4652228624.96,21.99025535583496,25723938,144615,144721,1,3/2,1,专用设备,2024-11-21
83,831856,浩淼科技,29.963233947753906,14.14,214413744,677573627.78,1222809567.42,33.64661407470703,7286144,110040,142234,9,1/1,1,专用设备,2024-11-21
106,002816,和科达,10.01846694946289,23.83,178332662,2383000000.0,2383000000.0,7.6674089431762695,78417381,142842,142842,0,1/1,1,专用设备,2024-11-21
10,002611,东方精工,10.0,12.87,66653872,12806574156.09,15689126344.32,0.5204660296440125,1602932618,092500,092500,0,6/6,6,专用设备,2024-11-21
28,003036,泰坦股份,9.970674514770508,11.25,66678048,2430075667.5,2430075667.5,2.8079681396484375,112658625,093048,093048,0,2/2,2,专用设备,2024-11-21
18,603015,弘讯科技,10.051814079284668,10.62,48012510,4292805779.9999995,4292805864.9599996,1.1184412240982056,169330037,092501,092501,0,3/3,3,专用设备,2024-11-21
107,600479,千金药业,9.981684684753418,12.01,275720576,5026270475.17,5092205411.2,5.7048020362854,45840296,142856,142856,0,1/1,1,中药,2024-11-21
73,002354,天娱数科,10.061601638793945,5.36,1709988352,8674468463.52,8868580016.640001,20.60049819946289,72335837,103303,103303,0,5/3,2,互联网服,2024-11-21
71,600410,华胜天成,9.965035438537598,6.29,360748240,6896951556.07,6896951587.52,5.355652809143066,61696471,102520,102520,0,1/1,1,互联网服,2024-11-21
65,301001,凯淳股份,19.984386444091797,30.74,512267056,1546222000.0,2459200000.0,34.66826629638672,11051030,100409,142757,5,1/1,1,互联网服,2024-11-21
6,002095,生 意 宝,9.977452278137207,19.51,48940074,4910831176.650001,4930567200.0,0.9965741634368896,200764513,092500,092500,0,3/3,3,互联网服,2024-11-21
86,002331,皖通科技,10.0,8.8,284031840,3483492416.8,3610164377.6000004,8.387455940246582,72846048,111851,111851,0,1/1,1,互联网服,2024-11-21
25,002175,东方智造,10.029498100280762,3.73,439654400,4762364136.71,4762392085.6,9.37820816040039,125413193,093033,093051,1,2/2,2,仪器仪表,2024-11-21
76,834407,驰诚股份,29.97867774963379,30.48,190203282,787943052.0,2001926400.0,26.957691192626953,9890973,103752,105449,1,2/2,2,仪器仪表,2024-11-21
27,600481,双良节能,10.081300735473633,6.77,1389814352,12664522034.71,12664522014.4,11.110466957092285,20626159,093044,144402,2,1/1,1,光伏设备,2024-11-21
37,000605,渤海股份,10.017889022827148,12.3,1106206048,4091456219.1000004,4337700878.400001,28.12144660949707,24884904,093430,145224,3,13/9,4,公用事业,2024-11-21
29,002734,利民股份,10.0130033493042,8.46,94905215,2747985820.7400002,3103655227.2000003,3.4898853302001953,53859650,093109,093109,0,1/1,1,农药兽药,2024-11-21
36,000812,陕西金叶,9.981851577758789,6.06,656215792,4655055478.2,4658277204.48,14.455927848815918,49500667,093415,094300,1,6/3,1,包装材料,2024-11-21
