序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,是否新高,量比,涨停统计,入选理由,所属行业,date
65,003035,南网能源,3.149606227874756,5.24,5.59,393376096,11831284843.880001,19848484828.16,3.3602120876312256,-0.190476194024086,1,3.9770445823669434,0/0,1,专业服务,2024-05-28
5,300215,电科院,19.966997146606445,7.27,7.27,768276416,5020074489.49,5445914775.84,15.850997924804688,0.0,1,1.677888035774231,1/1,1,专业服务,2024-05-28
71,301115,建科股份,2.112675905227661,15.95,18.74,71492745,1683569616.3,2954705600.0,4.11609411239624,0.0,1,4.414796829223633,0/0,1,专业服务,2024-05-28
91,688090,瑞松科技,0.8297258019447327,27.95,33.26,159554448,1870263293.6,1882728434.6,8.420917510986328,0.0,1,2.577505588531494,0/0,1,专用设备,2024-05-28
37,301468,博盈特焊,6.558028697967529,26.81,30.19,108912654,884730000.0,3538920000.0,12.606842041015625,0.0,1,2.8556509017944336,0/0,1,专用设备,2024-05-28
114,002353,杰瑞股份,-0.49504950642585754,34.17,37.77,223130919,23694686422.050003,34985154052.8,0.9422637224197388,0.0,1,0.5997060537338257,0/0,1,专用设备,2024-05-28
49,688378,奥来德,4.669887065887451,39.0,44.71,223207539,5605302378.0,5798414739.0,3.9536149501800537,0.0,1,1.9339631795883179,0/0,1,专用设备,2024-05-28
4,300290,荣科科技,19.97907829284668,11.47,11.47,1827526336,7337732566.43,7337732646.72,27.18572425842285,0.0,1,1.332608699798584,1/1,1,互联网服,2024-05-28
98,601222,林洋能源,0.435413658618927,6.92,7.58,211903266,14256370559.52,14256370531.84,1.4826009273529053,0.0,1,1.5541688203811646,0/0,1,仪器仪表,2024-05-28
17,603105,芯能科技,10.055248260498047,9.96,9.96,485495136,4980028824.240001,4980028844.160001,10.218886375427246,0.0,0,2.3516101837158203,3/2,2,光伏设备,2024-05-28
40,301046,能辉科技,5.95290994644165,23.85,27.01,192284729,1406972007.45,3570121692.4500003,13.767688751220703,0.0,1,1.6278126239776611,0/0,1,光伏设备,2024-05-28
31,300582,英飞特,7.66002082824707,10.26,11.44,226375818,2272535324.46,3066175719.36,10.182939529418945,0.0,1,3.3470816612243652,0/0,1,光学光电,2024-05-28
11,301106,骏成科技,12.946253776550293,28.79,30.59,177883158,840245765.86,2925678234.65,21.547767639160156,0.0,1,7.251555442810059,0/0,1,光学光电,2024-05-28
80,001210,金房能源,1.6743649244308472,17.61,19.05,75115072,914731797.24,1917688356.12,8.182600975036621,0.1137009710073471,1,2.316894292831421,0/0,1,公用事业,2024-05-28
51,605162,新中港,4.545454502105713,9.43,9.92,539344336,956850699.13,3776619191.2,54.95318603515625,0.10615711659193039,1,9.625866889953613,3/2,3,公用事业,2024-05-28
42,002893,京能热力,5.175438404083252,11.99,12.54,394587200,2418954911.01,3161043600.0,16.609411239624023,0.0,1,3.1869313716888428,0/0,1,公用事业,2024-05-28
127,000638,万方发展,-1.660516619682312,5.33,5.96,621641072,1653076053.33,1659690279.52,35.796173095703125,0.0,0,3.3973355293273926,4/3,2,农牧饲渔,2024-05-28
140,000702,正虹科技,-7.857142925262451,6.45,7.7,678168448,1719793015.2,2235730888.8,38.26786804199219,2.218700408935547,0,1.3107062578201294,11/6,2,农牧饲渔,2024-05-28
74,002246,北化股份,2.076124668121338,11.8,12.72,1312593856,6478610569.200001,6478610640.0,20.1069278717041,-0.3378378450870514,1,1.3538235425949097,4/2,3,化学制品,2024-05-28
144,300641,正丹股份,-17.245582580566406,27.16,39.38,2587959952,13805107620.64,13807354404.48,17.18166160583496,0.0,1,1.3142861127853394,0/0,1,化学制品,2024-05-28
87,300200,高盟新材,1.1349306106567383,8.02,9.52,279237152,3399032598.52,3456405064.0,8.235156059265137,0.0,1,3.252183675765991,0/0,1,化学制品,2024-05-28
138,600714,金瑞矿业,-3.790412425994873,8.63,9.87,228645537,2486961235.9900002,2486961227.36,8.976290702819824,-0.23121386766433716,0,1.0146397352218628,8/4,2,化学原料,2024-05-28
58,600889,南京化纤,3.7234041690826416,5.85,6.2,317176448,2143124158.4999998,2143124193.6,15.258421897888184,0.17123287916183472,0,0.8388115167617798,13/7,2,化纤行业,2024-05-28
96,300298,三诺生物,0.55617356300354,27.12,32.36,170934200,12343998131.76,15302876997.12,1.376744270324707,0.0,1,0.9930325746536255,0/0,1,医疗器械,2024-05-28
33,300623,捷捷微电,7.475490093231201,17.54,19.58,804621600,11760047921.9,12914188148.16,6.842060565948486,0.0,1,6.026256084442139,0/0,1,半导体,2024-05-28
135,300327,中颖电子,-2.9499785900115967,22.7,28.07,726703072,7701112357.7,7764043953.599999,9.064568519592285,0.0,1,1.336232304573059,0/0,1,半导体,2024-05-28
18,603068,博通集成,10.019880294799805,27.67,27.67,513204784,4162258809.2200003,4162258809.2200003,12.448081016540527,0.0,1,2.8817543983459473,3/3,3,半导体,2024-05-28
36,300831,派瑞股份,6.563039779663086,12.34,13.9,367000688,2276535521.6,3948800000.0,15.9867525100708,0.0,1,4.809520721435547,0/0,1,半导体,2024-05-28
52,002886,沃特股份,4.281345367431641,17.05,17.99,650083392,3553146071.2000003,4487620783.25,19.197690963745117,0.0,0,1.883623719215393,4/2,2,塑料制品,2024-05-28
21,002395,双象股份,9.993868827819824,17.94,17.94,480473040,4811669460.0,4811669460.0,10.239627838134766,0.0,0,1.7368634939193726,2/2,2,塑料制品,2024-05-28
143,300905,宝丽迪,-12.050931930541992,38.68,52.78,1220871776,4544253773.24,6819274562.08,24.809711456298828,0.0,1,1.5461281538009644,2/1,1,塑料制品,2024-05-28
132,300214,日科化学,-2.373417615890503,6.17,7.58,264748660,2489988868.12,2875482891.36,10.53055477142334,0.0,1,3.644735813140869,0/0,1,塑料制品,2024-05-28
47,300922,天秦装备,4.771242141723633,16.03,18.36,356393552,1619601501.5600002,2513683536.0,22.59986114501953,0.0,1,1.6669631004333496,0/0,1,塑料制品,2024-05-28
129,300218,安利股份,-1.9024970531463623,16.5,20.18,53430584,3568560501.0,3580285500.0,1.4973829984664917,0.0,1,1.0175215005874634,0/0,1,塑料制品,2024-05-28
139,301323,新莱福,-7.244871616363525,35.72,46.21,185861038,882056285.0,3747845630.7999997,20.05504608154297,0.0,1,1.112188696861267,0/0,1,塑料制品,2024-05-28
39,600301,华锡有色,6.273259162902832,19.99,20.69,656920576,5503960263.19,12645023765.279999,11.902738571166992,0.050050050020217896,1,2.39941143989563,0/0,1,小金属,2024-05-28
67,601117,中国化学,2.314250946044922,8.4,9.03,1180474656,50815888939.200005,51319554048.0,2.3183836936950684,-0.2375296950340271,1,1.5996588468551636,0/0,1,工程建设,2024-05-28
48,605598,上海港湾,4.704097270965576,20.7,21.75,129136915,1525607408.7,5087249408.7,8.62772274017334,0.0,1,1.43826162815094,0/0,1,工程建设,2024-05-28
30,300982,苏文电能,7.898200988769531,24.59,27.35,548637424,4767930820.14,5089272940.14,11.886568069458008,0.0,1,2.3209547996520996,0/0,1,工程建设,2024-05-28
122,600663,陆家嘴,-1.0648596286773682,10.22,11.36,115701058,29979975916.800003,49188160788.48,0.38174954056739807,0.09794318675994873,1,1.180367112159729,0/0,1,房地产开,2024-05-28
141,000514,渝 开 发,-8.27740478515625,4.1,4.92,358664144,3459460956.4999995,3459460935.9999995,10.067429542541504,0.24449878931045532,0,0.9977938532829285,6/3,2,房地产开,2024-05-28
81,000863,三湘印象,1.6528924703598022,3.69,3.99,500528480,4293740892.42,4356781405.92,11.314834594726562,-0.27027028799057007,1,2.8830177783966064,2/1,1,房地产开,2024-05-28
137,002016,世荣兆业,-3.753753662109375,6.41,7.33,117944903,5186303001.12,5186303001.12,2.222182035446167,-0.31104201078414917,1,2.125645399093628,2/1,1,房地产开,2024-05-28
120,002182,宝武镁业,-0.815910279750824,19.45,21.57,496282224,10837475542.699999,13778818480.8,4.547985076904297,0.1029336154460907,1,1.9386882781982422,2/1,1,有色金属,2024-05-28
55,000426,兴业银锡,3.8567495346069336,15.08,15.97,1000085072,22286503718.96,27704858737.920002,4.449985027313232,0.13280212879180908,1,1.287221074104309,0/0,1,有色金属,2024-05-28
134,688456,有研粉材,-2.594651937484741,36.79,45.32,100646964,3813651400.0,3813651400.0,2.6065175533294678,0.0,1,0.8763270378112793,0/0,1,有色金属,2024-05-28
25,601020,华钰矿业,9.985836029052734,15.53,15.53,1224560848,12226862428.48,12226862428.48,10.133037567138672,0.0,1,1.0678205490112305,2/2,3,有色金属,2024-05-28
12,688102,斯瑞新材,11.764705657958984,12.16,13.06,297878720,3918943112.96,6809770240.0,7.668438911437988,0.0,1,4.495865821838379,0/0,1,有色金属,2024-05-28
14,300697,电工合金,11.1981201171875,14.2,15.32,570312064,3618160000.0,4725760000.0,16.60475730895996,0.0,1,1.420628547668457,0/0,1,有色金属,2024-05-28
54,603650,彤程新材,3.900470495223999,30.9,32.71,1357059504,18356802026.7,18534822148.8,7.284217834472656,0.6514657735824585,1,5.347605228424072,2/1,1,橡胶制品,2024-05-28
113,603633,徕木股份,-0.4716981053352356,8.44,9.33,110663403,3602283303.9199996,3602283287.04,3.0242369174957275,0.0,1,1.519845724105835,0/0,1,汽车零部,2024-05-28
109,300998,宁波方正,-0.270061731338501,25.85,31.1,79594840,1700098612.3000002,3545824595.5,4.6802754402160645,0.0,1,0.85984206199646,0/0,1,汽车零部,2024-05-28
6,300956,英力股份,19.956260681152344,21.94,21.95,777427216,1500587177.6000001,3475321274.88,62.1187744140625,0.0,0,1.4328380823135376,6/3,2,消费电子,2024-05-28
70,601088,中国神华,2.142857313156128,42.9,46.2,1019209520,707465528269.5,852359505254.4,0.14427663385868073,0.0,1,1.0555864572525024,0/0,1,煤炭行业,2024-05-28
60,600758,辽宁能源,3.498542308807373,3.55,3.77,92681100,4688639048.7,4693161741.599999,1.9888893365859985,0.28248587250709534,1,2.1996569633483887,0/0,1,煤炭行业,2024-05-28
99,601001,晋控煤业,0.31397175788879395,19.17,21.02,395014688,32084829000.000004,32084829000.000004,1.2344623804092407,0.20909565687179565,1,1.1562680006027222,0/0,1,煤炭行业,2024-05-28
38,600575,淮河能源,6.497175216674805,3.77,3.89,435693904,14651204215.05,14651204241.44,3.036299467086792,0.0,1,1.6033031940460205,0/0,1,物流行业,2024-05-28
136,603836,海程邦达,-2.951763868331909,13.48,15.28,175574809,2766570994.76,2766570994.76,6.168944835662842,0.1485884040594101,1,3.6302261352539062,2/1,1,物流行业,2024-05-28
102,301109,军信股份,0.17574693262577057,17.1,20.48,33590665,1686929210.1000001,7011171000.000001,1.994711995124817,0.0,1,0.9301129579544067,0/0,1,环保行业,2024-05-28
73,301127,天源环保,2.0833334922790527,10.78,12.67,52061176,2664857244.2799997,4530104927.04,1.9677749872207642,0.0,1,0.7200767397880554,0/0,1,环保行业,2024-05-28
77,601016,节能风电,1.823708176612854,3.35,3.62,521822288,19964761803.15,21688607091.2,2.6113810539245605,-0.2976190447807312,1,2.172074794769287,0/0,1,电力行业,2024-05-28
94,600236,桂冠电力,0.559440553188324,7.19,7.87,149999673,56674296396.380005,56674295864.32,0.263776957988739,0.13927575945854187,1,1.3415024280548096,0/0,1,电力行业,2024-05-28
