序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,是否新高,量比,涨停统计,入选理由,所属行业,date
32,603373,安邦护卫,4.9222798347473145,48.6,50.95,674245360,1280181736.8,5225806465.2,52.96561050415039,-0.5524861812591553,0,1.1765080690383911,6/3,2,专业服务,2024-01-04
76,600582,天地科技,1.766784429550171,5.76,6.23,222793498,23838272017.92,23838272040.96,0.9423483610153198,-0.17331022024154663,1,1.2579160928726196,0/0,1,专用设备,2024-01-04
136,601038,一拖股份,0.13850414752960205,14.46,15.88,74615385,8587938600.000001,16247910748.800001,0.8642691373825073,-0.27586206793785095,1,0.5692960619926453,0/0,1,专用设备,2024-01-04
109,603012,创力集团,0.6655573844909668,6.05,6.61,48784687,3885552000.0,3937098000.0,1.2610591650009155,0.0,1,1.0134708881378174,0/0,1,专用设备,2024-01-04
82,600343,航天动力,1.6098484992980957,10.73,11.62,333006304,6847954114.04,6847954156.96,4.804601192474365,-0.27881041169166565,1,2.331894874572754,0/0,1,专用设备,2024-01-04
161,001332,锡装股份,-5.660377502441406,37.5,43.73,257965576,1012500000.0,4050000000.0,25.07798957824707,-0.18631887435913086,0,3.9538211822509766,3/2,2,专用设备,2024-01-04
70,001239,永达股份,2.176870822906494,22.53,24.26,404177264,1076628470.67,5407200000.0,37.725990295410156,-0.08869180083274841,0,0.6197142004966736,12/6,2,专用设备,2024-01-04
49,002975,博杰股份,3.266090154647827,43.0,45.8,639791968,3071718717.0,5982336042.0,20.637794494628906,0.0,1,3.4461007118225098,2/1,1,专用设备,2024-01-04
37,300512,中亚股份,4.394299030303955,8.79,10.1,131016579,2875910617.7999997,3612308724.9599996,4.5833353996276855,0.0,1,6.947925090789795,0/0,1,专用设备,2024-01-04
13,603356,华菱精工,10.01362419128418,16.15,16.15,264543857,2153441000.0,2153441000.0,12.392034530639648,0.0,1,3.5729916095733643,1/1,1,专用设备,2024-01-04
12,605167,利柏特,10.01742172241211,12.63,12.63,637952192,2810368617.9,5671754100.0,23.46249771118164,0.0,1,2.443528652191162,4/4,3,专用设备,2024-01-04
152,603337,杰克股份,-1.5461573600769043,21.65,24.19,28280165,10252301015.15,10487671869.599998,0.2763864994049072,-0.138376384973526,1,0.9876470565795898,0/0,1,专用设备,2024-01-04
10,603280,南方路机,10.019193649291992,28.66,28.66,316620448,800808176.22,3106935076.22,41.67886734008789,0.0,0,1.4982995986938477,4/2,2,专用设备,2024-01-04
5,002529,海源复材,10.039840698242188,13.81,13.81,296796560,3590600000.0,3590600000.0,8.753946304321289,0.0,1,1.6229078769683838,5/3,3,专用设备,2024-01-04
89,300017,网宿科技,1.3801755905151367,8.08,9.56,824954416,18377657072.72,19692471671.04,4.529973030090332,0.0,1,1.0774904489517212,0/0,1,互联网服,2024-01-04
101,000997,新 大 陆,0.9600808620452881,19.98,21.77,237643997,20506695796.98,20620617621.12,1.1582322120666504,-0.05002501606941223,1,1.2570242881774902,0/0,1,互联网服,2024-01-04
74,300738,奥飞数据,1.89393949508667,10.76,12.67,897751488,10148278129.0,10260361896.32,8.854613304138184,0.0,1,1.1589388847351074,0/0,1,互联网服,2024-01-04
38,002105,信隆健康,4.261795997619629,6.85,7.23,183406880,2496817465.0,2521896000.0,7.279086112976074,-0.14577260613441467,1,6.264673233032227,0/0,1,交运设备,2024-01-04
17,002819,东方中科,10.00361156463623,30.46,30.46,372927296,7144880390.46,9150740565.12,5.364311218261719,0.0,0,2.8465049266815186,2/2,2,仪器仪表,2024-01-04
66,603628,清源股份,2.262017011642456,21.7,23.34,1281253520,5941460000.0,5941460000.0,21.913341522216797,0.230946883559227,0,1.1891703605651855,10/7,2,光伏设备,2024-01-04
156,603396,金辰股份,-3.277311086654663,57.55,65.45,643921744,6675793209.099999,6679569064.599999,9.56105899810791,0.0,0,1.0530869960784912,5/3,2,光伏设备,2024-01-04
44,688032,禾迈股份,3.749678611755371,282.5,326.75,559412352,11835491462.5,23537193750.0,4.7751593589782715,0.0,1,1.2506972551345825,0/0,1,光伏设备,2024-01-04
81,002952,亚世光电,1.6376396417617798,39.1,42.32,1049240768,5162960751.2,6425694000.0,20.65998077392578,0.07678525894880295,0,1.2670701742172241,11/9,2,光学光电,2024-01-04
20,003015,日久光电,9.992597579956055,14.86,14.86,115987427,3652735470.64,4176650745.92,3.1753580570220947,0.0,1,0.19201524555683136,2/2,3,光学光电,2024-01-04
64,600461,洪城环境,2.4416136741638184,9.65,10.36,135949553,9699855547.7,10551343813.6,1.4132556915283203,-0.3099173605442047,1,1.329656958580017,0/0,1,公用事业,2024-01-04
132,000598,兴蓉环境,0.1686340719461441,5.94,6.52,91471237,17633343346.74,17734263940.800003,0.5184839367866516,-0.16806723177433014,1,0.6574658155441284,0/0,1,公用事业,2024-01-04
113,000685,中山公用,0.5298013091087341,7.59,8.31,79525533,9511611403.47,11196095100.96,0.8386649489402771,0.13192611932754517,1,1.2894819974899292,0/0,1,公用事业,2024-01-04
78,002679,福建金森,1.7138597965240479,13.65,14.76,254685562,3218069400.0,3218069400.0,7.933537483215332,0.0,1,4.018064022064209,0/0,1,农牧饲渔,2024-01-04
28,002014,永新股份,5.992949485778809,9.02,9.36,124354031,5446378205.62,5524676685.44,2.3276515007019043,0.0,1,3.341930866241455,0/0,1,包装材料,2024-01-04
114,300437,清水源,0.5291005373001099,13.3,15.88,255784858,2364880940.1,3445539190.1000004,10.560813903808594,0.0,1,1.3794652223587036,0/0,1,化学制品,2024-01-04
149,002360,同德化工,-0.9485094547271729,7.31,8.12,48485460,2335540570.14,2936969811.3599997,2.069880723953247,-0.13661201298236847,1,0.591823935508728,0/0,1,化学制品,2024-01-04
146,603977,国泰集团,-0.8612440228462219,10.36,11.5,282398608,6436065338.08,6436065296.639999,4.263270854949951,0.09661835432052612,1,1.1068373918533325,0/0,1,化学制品,2024-01-04
71,300405,科隆股份,2.0618555545806885,6.93,8.15,220701813,1516472544.51,1970702616.96,14.402223587036133,0.0,1,1.4011324644088745,0/0,1,化学制品,2024-01-04
145,600299,安迪苏,-0.7228915691375732,8.24,9.13,47609369,22098866489.52,22098866547.2,0.2137550711631775,-0.12121212482452393,1,1.304563283920288,0/0,1,化学制品,2024-01-04
77,603379,三美股份,1.7246419191360474,34.8,37.63,189076969,21244670487.6,21244670592.0,0.8884172439575195,0.08628127723932266,1,1.4884811639785767,0/0,1,化学制品,2024-01-04
11,000691,亚太实业,10.018903732299805,5.82,5.82,78601646,1881431400.0,1881431400.0,4.283818244934082,0.0,1,1.4569612741470337,1/1,1,化学制品,2024-01-04
157,000953,河化股份,-3.9151713848114014,5.89,6.74,317172720,2156459728.5499997,2156459710.88,14.567005157470703,0.17006802558898926,1,6.526891231536865,2/1,1,化学制药,2024-01-04
141,600746,江苏索普,-0.26990553736686707,7.39,8.15,25903233,8617348544.33,8630358883.199999,0.30027785897254944,-0.13513514399528503,1,0.9400149583816528,0/0,1,化学原料,2024-01-04
8,600844,丹化科技,10.029498100280762,3.73,3.73,418379168,3068785264.82,3791635415.2,13.718289375305176,0.0,1,9.180235862731934,2/2,3,化学原料,2024-01-04
87,002469,三维化学,1.4263074398040771,6.4,6.94,79252214,3959534611.2000003,4152720793.6000004,2.0121045112609863,0.0,1,1.4333405494689941,0/0,1,化学原料,2024-01-04
107,001217,华尔泰,0.7025761008262634,17.2,18.79,1228653440,2286375360.0,5708164000.0,51.19437789916992,0.584795355796814,1,3.3132424354553223,5/4,3,化学原料,2024-01-04
24,000635,英 力 特,9.956709861755371,10.16,10.16,83917247,3079370036.32,3087781520.64,2.7254750728607178,0.0,1,1.8329579830169678,1/1,1,化学原料,2024-01-04
58,600722,金牛化工,2.752293586730957,5.6,6.0,341868800,3809790185.6,3809790207.9999995,9.056617736816406,0.1788908690214157,1,3.568255662918091,0/0,1,化学原料,2024-01-04
151,603077,和邦生物,-1.25,2.37,2.64,141079169,20930063040.36,20930062917.120003,0.6694995760917664,-0.42016810178756714,1,1.1422230005264282,0/0,1,化学原料,2024-01-04
129,601233,桐昆股份,0.1984127163887024,15.15,16.63,210692312,34425491000.55,36528460243.200005,0.6101928353309631,0.0,1,0.9206380248069763,0/0,1,化纤行业,2024-01-04
54,000408,藏格矿业,2.9805119037628174,26.95,28.79,422943632,42592280542.35,42592725190.4,1.000991940498352,0.0,1,1.895350694656372,0/0,1,化肥行业,2024-01-04
80,002274,华昌化工,1.649746060371399,8.01,8.67,120367604,7513373031.3,7628440766.4,1.6068291664123535,0.0,1,1.49510657787323,0/0,1,化肥行业,2024-01-04
131,002170,芭田股份,0.17605634033679962,5.69,6.25,82382966,4030816597.8,5063318330.56,2.036770820617676,0.17605634033679962,1,1.3840250968933105,0/0,1,化肥行业,2024-01-04
65,002999,天禾股份,2.3715415000915527,7.77,8.35,173213024,2654714905.5,2700789840.0,6.502335548400879,0.0,1,2.7768237590789795,0/0,1,化肥行业,2024-01-04
134,688289,圣湘生物,0.15360982716083527,19.56,23.44,62691410,11510273746.679998,11510273844.48,0.5448871850967407,0.0,1,0.5263472199440002,0/0,1,医疗器械,2024-01-04
118,002223,鱼跃医疗,0.45454543828964233,35.36,38.72,198857738,33277994925.76,35447584174.08,0.5997268557548523,0.028288541361689568,1,0.7514626383781433,0/0,1,医疗器械,2024-01-04
14,002432,九安医疗,10.0130033493042,42.3,42.3,1986857792,19179813034.8,20626422105.6,10.605806350708008,0.0,1,8.425958633422852,1/1,1,医疗器械,2024-01-04
92,000668,荣丰控股,1.3385826349258423,12.87,13.97,37325260,1889855124.3,1889855124.3,1.9704186916351318,0.0,1,0.8923612236976624,0/0,1,医疗器械,2024-01-04
33,300677,英科医疗,4.653130531311035,24.74,28.37,540926864,11814062660.439999,16229542522.56,4.613346099853516,0.0,1,2.7208402156829834,0/0,1,医疗器械,2024-01-04
2,688222,成都先导,14.34316349029541,17.06,17.9,342653680,6835600799.999999,6835600799.999999,5.137522220611572,0.0,1,7.2308125495910645,0/0,1,医疗服务,2024-01-04
62,600272,开开实业,2.5680932998657227,13.18,14.14,604698144,2108800000.0,3202740000.0,28.60655403137207,-0.2271006852388382,1,7.396410942077637,2/1,1,医药商业,2024-01-04
7,000078,海王生物,10.031347274780273,3.51,3.51,383015856,9217518469.38,9655424756.64,4.2632670402526855,0.0,1,3.039597511291504,1/1,1,医药商业,2024-01-04
47,603883,老百姓,3.3376123905181885,32.2,34.28,280707664,18751492964.4,18834846979.2,1.515910029411316,-0.12406947463750839,1,1.1748195886611938,0/0,1,医药商业,2024-01-04
164,002395,双象股份,-7.121364116668701,18.52,21.93,1095867760,4967230680.0,4967230680.0,22.2744083404541,0.0,0,1.2928224802017212,11/6,2,塑料制品,2024-01-04
29,002522,浙江众成,5.96707820892334,5.15,5.35,465451696,4413115319.400001,4664763868.8,10.358871459960938,0.0,1,12.4513521194458,0/0,1,塑料制品,2024-01-04
168,002632,道明光学,-9.980620384216309,9.29,11.35,988411760,5395632102.19,5802525527.5199995,17.856307983398438,0.0,0,1.0293781757354736,4/2,2,塑料制品,2024-01-04
72,603221,爱丽家居,2.030947685241699,10.55,11.37,30910201,2532000000.0,2532000000.0,1.2302500009536743,0.0,1,1.1852552890777588,0/0,1,塑料制品,2024-01-04
69,600901,江苏金租,2.178217887878418,5.16,5.56,284307008,21863497636.2,21930921782.4,1.3042913675308228,-0.19342359900474548,1,2.1509437561035156,0/0,1,多元金融,2024-01-04
3,300729,乐歌股份,12.148481369018555,19.94,21.34,676891024,5889563404.22,6230268952.0,11.91483211517334,0.0,1,2.5494089126586914,0/0,1,家用轻工,2024-01-04
119,600983,惠而浦,0.4278075098991394,9.39,10.29,21350464,7196862210.0,7196862285.120001,0.2986408472061157,-0.10638297349214554,1,1.1176656484603882,0/0,1,家电行业,2024-01-04
30,605365,立达信,5.321845054626465,20.78,21.7,374682288,1227364237.42,10478573336.960001,30.769847869873047,0.048146363347768784,1,3.4309420585632324,0/0,1,家电行业,2024-01-04
46,301061,匠心家居,3.5275466442108154,52.24,60.55,62494620,1671680000.0,6686720000.0,3.7840750217437744,0.0,1,1.154518485069275,0/0,1,家电行业,2024-01-04
124,603657,春光科技,0.30581042170524597,16.4,17.99,17416059,2217116820.0,2257193500.0,0.7868922352790833,0.061012811958789825,1,0.6238798499107361,0/0,1,家电行业,2024-01-04
26,600769,祥龙电业,6.899999618530273,10.69,11.0,543421648,4008506268.0,4008506268.0,13.351214408874512,0.0,1,1.681929111480713,0/0,1,工程建设,2024-01-04
125,000528,柳    工,0.29282575845718384,6.85,7.51,127024832,9684031224.1,13365801980.8,1.3111096620559692,0.1461988389492035,1,1.4264816045761108,0/0,1,工程机械,2024-01-04
51,600088,中视传媒,3.1551833152770996,16.02,17.08,969684592,6371256528.0,6371256528.0,15.08469295501709,0.0,1,6.035817623138428,3/2,3,文化传媒,2024-01-04
42,603466,风语筑,3.78151273727417,14.82,15.71,1010136992,8814607914.84,8814607825.92,11.521954536437988,0.0,1,1.6827131509780884,0/0,1,文化传媒,2024-01-04
148,002306,中科云网,-0.8771929740905762,5.65,6.27,1060907664,4595089274.05,4914158102.400001,23.47307014465332,-0.17667844891548157,0,1.3356024026870728,12/6,2,旅游酒店,2024-01-04
34,603136,天目湖,4.4949493408203125,20.69,21.78,228937236,3854428715.2700005,3854428715.2700005,6.115340232849121,0.0,1,3.7230780124664307,0/0,1,旅游酒店,2024-01-04
23,603099,长白山,9.983452796936035,19.94,19.94,632517504,5317399800.0,5317399800.0,12.29072380065918,0.0,1,2.936192035675049,3/3,3,旅游酒店,2024-01-04
9,600593,大连圣亚,10.022074699401855,24.92,24.92,214090072,3209696000.0,3209696000.0,6.714969158172607,0.0,1,1.2848408222198486,2/2,3,旅游酒店,2024-01-04
79,600749,西藏旅游,1.65562903881073,12.28,13.29,58787207,2787136548.7599998,2787136548.7599998,2.1185641288757324,-0.08136696368455887,1,1.8584376573562622,0/0,1,旅游酒店,2024-01-04
162,002578,闽发铝业,-5.701754093170166,4.3,5.02,712516800,3702999012.2999997,4036109756.7999997,18.854551315307617,-0.23201856017112732,0,1.6553215980529785,5/3,2,有色金属,2024-01-04
88,000688,国城矿业,1.4204546213150024,10.71,11.62,130703270,11970508534.11,11970554833.44,1.0757497549057007,-0.2793295979499817,1,2.4366016387939453,0/0,1,有色金属,2024-01-04
123,000737,北方铜业,0.3384094834327698,5.93,6.5,58320781,4306790718.46,10510665028.8,1.3571643829345703,0.1689189225435257,1,0.8880977034568787,0/0,1,有色金属,2024-01-04
144,002753,永东股份,-0.7134364247322083,8.35,9.25,34146431,2027345205.55,3136981974.4,1.6894136667251587,0.0,1,1.0334872007369995,0/0,1,橡胶制品,2024-01-04
115,603040,新坐标,0.5281689763069153,28.55,31.24,329085200,3839723645.8,3857330430.8,8.475318908691406,0.35149386525154114,1,1.6849859952926636,0/0,1,汽车零部,2024-01-04
73,601717,郑煤机,2.0265004634857178,13.09,14.11,215804938,19987916479.3,23318643495.84,1.0832921266555786,0.07645260542631149,1,1.1016008853912354,0/0,1,汽车零部,2024-01-04
166,002976,瑞玛精密,-9.93806266784668,31.99,39.07,365648224,2069967333.0,3859663878.0,17.39101219177246,-0.03125,0,2.25010347366333,5/3,2,汽车零部,2024-01-04
39,603358,华达科技,3.950193166732788,24.21,25.62,151417996,10629158400.0,10629158400.0,1.4316258430480957,-0.1649484485387802,1,0.76924067735672,0/0,1,汽车零部,2024-01-04
15,002888,惠威科技,10.007819175720215,28.14,28.14,279635712,2127398801.64,4210072675.2000003,13.341242790222168,0.0,1,0.5099624991416931,2/2,3,消费电子,2024-01-04
160,002660,茂硕电源,-4.889975547790527,11.67,13.5,823154928,3000181238.13,4161825606.72,27.132368087768555,0.08576329797506332,0,1.2562246322631836,5/3,2,消费电子,2024-01-04
165,600892,大晟文化,-9.10326099395752,6.69,8.1,666614736,3741847695.84,3742815444.48,17.27034568786621,-0.29806259274482727,0,1.6440447568893433,6/3,2,游戏,2024-01-04
97,601101,昊华能源,1.195814609527588,6.77,7.36,116867248,9748785959.019999,9748785918.4,1.2076761722564697,0.0,1,1.335005521774292,0/0,1,煤炭行业,2024-01-04
108,000937,冀中能源,0.6711409687995911,7.5,8.2,255404544,21799498815.0,26501601360.0,1.1750679016113281,0.0,1,0.7805508971214294,0/0,1,煤炭行业,2024-01-04
102,002128,电投能源,0.9427610039710999,14.99,16.34,212310560,31682466660.07,33601186585.12,0.6735162734985352,0.06675567477941513,1,1.0291900634765625,0/0,1,煤炭行业,2024-01-04
96,600508,上海能源,1.2303485870361328,14.81,16.09,189248024,10703453580.0,10703453580.0,1.7695109844207764,0.06756757199764252,1,1.3655086755752563,0/0,1,煤炭行业,2024-01-04
111,600123,兰花科创,0.6039689183235168,11.66,12.75,303469232,17316499200.0,17316499200.0,1.7569160461425781,0.0,1,0.6138298511505127,0/0,1,煤炭行业,2024-01-04
106,600792,云煤能源,0.7092198133468628,5.68,6.2,806975120,5622766048.0,5622766048.0,14.227602005004883,0.35335689783096313,0,2.365525007247925,3/2,2,煤炭行业,2024-01-04
86,600985,淮北矿业,1.4730877876281738,17.91,19.42,466448320,44435407791.51,44435407773.6,1.0586988925933838,0.4486820101737976,1,0.9555037617683411,0/0,1,煤炭行业,2024-01-04
67,601898,中煤能源,2.241715431213379,10.49,11.29,430861072,96004484196.0,139083379317.76,0.4541492164134979,0.09541984647512436,1,1.0553117990493774,0/0,1,煤炭行业,2024-01-04
63,601225,陕西煤业,2.465116262435913,22.03,23.65,1106479152,213580850000.0,213580851409.92,0.5210767388343811,0.0,1,1.3319650888442993,0/0,1,煤炭行业,2024-01-04
56,600188,兖矿能源,2.8841607570648193,21.76,23.27,1401023856,97907612467.20001,161880707563.52002,1.4410452842712402,-0.0459347739815712,1,1.5001639127731323,0/0,1,煤炭行业,2024-01-04
55,601918,新集能源,2.96167254447937,5.91,6.31,423908032,15310102038.0,15310102085.28,2.8093948364257812,0.0,1,1.1731898784637451,0/0,1,煤炭行业,2024-01-04
138,600997,开滦股份,0.0,8.03,8.83,77463691,12750032803.529999,12750032843.679998,0.6078851819038391,0.0,1,0.8981156349182129,0/0,1,煤炭行业,2024-01-04
90,601088,中国神华,1.3644633293151855,33.43,36.28,1301177408,551295398835.65,664204621460.48,0.2368001490831375,0.05986231938004494,1,1.2122162580490112,0/0,1,煤炭行业,2024-01-04
59,605368,蓝天燃气,2.7360987663269043,11.64,12.46,137607268,2889639312.0,8064178963.200001,4.760262966156006,0.0,1,2.2512240409851074,0/0,1,燃气,2024-01-04
104,601006,大秦铁路,0.8196721076965332,7.38,8.05,823676160,116215182006.3,116215182397.44,0.7113119959831238,0.13568520545959473,1,1.3868999481201172,0/0,1,物流行业,2024-01-04
36,603329,上海雅仕,4.459799289703369,16.63,17.51,275158192,2640115522.85,2640115522.85,10.378744125366211,0.1807228922843933,1,1.8173021078109741,0/0,1,物流行业,2024-01-04
167,002682,龙洲股份,-9.948320388793945,6.97,8.51,559412352,3919650552.18,3919709086.24,14.149951934814453,0.0,0,0.39193975925445557,8/4,2,物流行业,2024-01-04
4,000820,神雾节能,10.105263710021973,5.23,5.23,208647381,1504445691.6000001,3332792479.6800003,13.99603271484375,0.0,1,2.9899802207946777,3/3,3,环保行业,2024-01-04
105,300385,雪浪环境,0.7235890030860901,6.96,8.29,19626600,2008380265.68,2318695714.56,0.9785664081573486,0.0,1,1.0284940004348755,0/0,1,环保行业,2024-01-04
35,600217,中再资环,4.464285850524902,4.68,4.93,189429570,6498927779.759999,6498927751.679999,2.8775084018707275,0.0,1,6.880913734436035,0/0,1,环保行业,2024-01-04
121,600027,华电国际,0.36297640204429626,5.53,6.06,379554032,47062111257.490005,56558413524.48,0.8111764788627625,0.0,1,0.92838454246521,0/0,1,电力行业,2024-01-04
135,600642,申能股份,0.1483679562807083,6.75,7.41,120531022,32838333430.5,33036743808.0,0.3680965006351471,-0.14792899787425995,1,0.6917489171028137,0/0,1,电力行业,2024-01-04
52,000543,皖能电力,3.08370041847229,7.02,7.49,319756752,15913380583.619999,15913380562.56,2.0390262603759766,0.2857142686843872,1,1.7136536836624146,0/0,1,电力行业,2024-01-04
142,600795,国电电力,-0.45766589045524597,4.35,4.81,394845344,77584943006.7,77584942963.2,0.5117957592010498,0.2304147481918335,1,0.6263211369514465,0/0,1,电力行业,2024-01-04
147,000993,闽东电力,-0.8733624815940857,11.35,12.6,1056287744,4991134942.2,5197749025.599999,20.09483528137207,0.0,1,2.6113078594207764,2/1,1,电力行业,2024-01-04
137,000883,湖北能源,0.0,4.4,4.84,84741878,28510928397.600002,28692177817.600002,0.29771727323532104,-0.4524887204170227,1,0.8966934680938721,0/0,1,电力行业,2024-01-04
133,600900,长江电力,0.16835016012191772,23.8,26.14,1458263728,560401827925.8,582343578880.0,0.26051798462867737,-0.16778524219989777,1,0.9034575819969177,0/0,1,电力行业,2024-01-04
127,601985,中国核电,0.25157231092453003,7.97,8.75,798121920,150499780389.99,150499781386.24,0.53471839427948,-0.12531328201293945,1,1.0180559158325195,0/0,1,电力行业,2024-01-04
110,003816,中国广核,0.6116208434104919,3.29,3.6,468918464,129412104269.0,166140430848.0,0.3645758330821991,0.0,1,1.1702313423156738,0/0,1,电力行业,2024-01-04
99,600011,华能国际,1.0804321765899658,8.42,9.16,554867872,92600717517.98,132177945687.04,0.6068233251571655,0.0,1,1.016114592552185,0/0,1,电力行业,2024-01-04
100,600863,内蒙华电,0.9852216839790344,4.1,4.47,357901424,26760240025.1,26760240537.6,1.3464144468307495,0.0,1,0.7814649939537048,0/0,1,电力行业,2024-01-04
18,603052,可川科技,10.0,53.68,53.68,698275536,1570676800.0,5170457600.0,48.479366302490234,0.0,1,2.0346851348876953,5/4,3,电子元件,2024-01-04
19,605378,野马电池,9.996228218078613,29.16,29.16,311675232,972194400.0,3888194400.0,32.819705963134766,0.0,1,1.9611687660217285,1/1,1,电池,2024-01-04
43,002255,海陆重工,3.760684013366699,6.07,6.44,896534352,3941628815.01,5112585309.92,22.856863021850586,0.16501650214195251,1,3.03936505317688,0/0,1,电源设备,2024-01-04
84,600475,华光环能,1.5274033546447754,11.3,12.24,170223527,10570175318.5,10663393256.0,1.611560344696045,0.1773049533367157,1,1.3323932886123657,0/0,1,电源设备,2024-01-04
158,603577,汇金通,-4.21303653717041,12.05,13.84,886688272,3473632231.75,4086626203.2000003,23.68083381652832,-2.032520294189453,1,5.359963417053223,5/4,3,电网设备,2024-01-04
27,002358,森源电气,6.25,4.76,4.93,489244656,4422397023.8,4425643205.76,10.946069717407227,-0.4184100329875946,1,9.453274726867676,0/0,1,电网设备,2024-01-04
16,603097,江苏华辰,10.00427532196045,25.73,25.73,241609706,1029200000.0,4116800000.0,24.654695510864258,0.0,1,0.9615460634231567,1/1,1,电网设备,2024-01-04
153,300423,昇辉科技,-1.776900291442871,9.95,12.16,171194869,3228972497.5499997,4950237395.2,5.249129295349121,0.0,1,1.1460850238800049,0/0,1,电网设备,2024-01-04
139,600312,平高电气,-0.07733951508998871,12.92,14.22,126745717,17531423312.28,17531423351.04,0.7238113284111023,0.0,1,0.5950028896331787,0/0,1,电网设备,2024-01-04
140,603556,海兴电力,-0.16806723177433014,29.7,32.73,82583829,14513915988.0,14513916225.6,0.567658007144928,-0.06729474663734436,1,0.7463452219963074,0/0,1,电网设备,2024-01-04
53,688676,金盘科技,3.0110933780670166,39.0,45.43,194838650,7489344486.0,16655245776.0,2.611926317214966,0.0,1,1.3664168119430542,0/0,1,电网设备,2024-01-04
128,000682,东方电子,0.2450980544090271,8.18,8.98,65583062,10966051713.42,10967146925.44,0.5982154607772827,-0.12210012972354889,1,0.6819084882736206,0/0,1,电网设备,2024-01-04
112,601567,三星医疗,0.5714285373687744,21.12,23.1,107217016,29460567903.36,29822919751.68,0.36548158526420593,-0.2361832857131958,1,0.5941208600997925,0/0,1,电网设备,2024-01-04
116,002270,华明装备,0.4814305305480957,14.61,15.99,171169180,11092273860.48,13093853444.64,1.5390303134918213,0.0,1,1.2341246604919434,0/0,1,电网设备,2024-01-04
