序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,603312,N西典,41.7,43.69,12.68,233031,995927261.0,19.12,46.66,41.11,42.5,29.02,,68.37,35.25,4.06,2024-01-11
2,001387,N雪祺,32.84,113.52,17.46,259913,820306437.06,59.82,38.44,29.24,30.0,15.38,,77.57,34.84,4.0,2024-01-11
3,603325,C博隆,82.26,-3.14,-2.67,71874,574085622.0,6.98,82.6,76.67,79.5,84.93,0.68,44.0,23.2,2.56,2024-01-11
4,688717,艾罗能源,121.73,20.0,20.29,80797,895265643.0,21.42,121.73,100.0,100.0,101.44,1.14,43.53,14.35,4.54,2024-01-11
5,301566,达利凯普,24.33,3.53,0.83,146303,348720540.01,8.13,24.42,22.51,22.55,23.5,0.78,32.0,73.61,7.89,2024-01-11
6,301578,辰奕智能,72.0,6.51,4.4,47911,339469957.82,9.42,72.88,66.51,66.66,67.6,1.0,42.11,40.03,3.87,2024-01-11
7,603004,鼎龙科技,31.05,0.16,0.05,198501,615008331.0,5.29,31.75,30.11,30.14,31.0,0.85,34.4,45.27,3.97,2024-01-11
8,301526,国际复材,5.68,0.18,0.01,1696713,950990318.02,8.64,5.88,5.39,5.46,5.67,1.0,31.07,38.33,2.55,2024-01-11
9,601096,宏盛华源,6.78,10.06,0.62,3658701,2331087727.0,12.5,6.78,6.01,6.1,6.16,1.51,56.4,152.86,4.31,2024-01-11
10,001358,兴欣新材,45.81,4.09,1.8,35669,160100727.25,5.11,45.88,43.63,43.81,44.01,1.06,16.55,23.49,2.68,2024-01-11
11,603373,安邦护卫,42.01,3.52,1.43,71444,299509535.0,7.91,43.0,39.79,39.79,40.58,0.79,27.12,45.19,2.7,2024-01-11
12,301413,安培龙,65.23,3.46,2.18,23698,151909362.42,4.36,65.35,62.6,62.91,63.05,0.86,14.68,60.75,4.37,2024-01-11
13,603231,索宝蛋白,26.88,9.98,2.44,175197,440429911.0,12.19,26.88,23.9,24.75,24.44,1.68,37.35,32.41,2.77,2024-01-11
14,301459,丰茂股份,44.49,2.49,1.08,15605,68625419.43,2.76,44.5,43.3,43.48,43.41,0.74,8.23,23.08,3.41,2024-01-11
15,001239,永达股份,20.93,2.5,0.51,115452,238579715.45,5.83,21.33,20.14,20.22,20.42,0.78,24.16,61.05,4.21,2024-01-11
