序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,603325,N博隆,84.93,17.21,12.47,105635,930814810.0,27.63,98.9,78.88,78.9,72.46,,64.67,23.96,2.64,2024-01-10
2,688717,艾罗能源,101.44,16.73,14.54,91156,882973525.0,23.33,104.28,84.01,84.44,86.9,1.16,49.12,11.95,3.78,2024-01-10
3,301566,达利凯普,23.5,-0.09,-0.02,129801,308266927.28,6.59,24.49,22.94,23.42,23.52,0.61,28.39,71.1,7.62,2024-01-10
4,301578,辰奕智能,67.6,-2.03,-1.4,31055,208945919.04,5.78,69.2,65.21,68.01,69.0,0.6,27.29,37.59,3.64,2024-01-10
5,603004,鼎龙科技,31.0,0.29,0.09,249491,773771450.0,10.74,32.5,29.18,30.21,30.91,1.09,43.24,45.2,3.96,2024-01-10
6,301526,国际复材,5.67,8.0,0.42,1570722,858169770.98,12.38,5.7,5.05,5.17,5.25,0.97,28.77,38.26,2.54,2024-01-10
7,601096,宏盛华源,6.16,10.0,0.56,2126812,1200970442.0,18.57,6.16,5.12,5.3,5.6,0.92,32.78,138.88,3.92,2024-01-10
8,001358,兴欣新材,44.01,0.3,0.13,26681,117483453.22,4.67,45.08,43.03,43.87,43.88,0.68,12.38,22.57,2.58,2024-01-10
9,603373,安邦护卫,40.58,-4.79,-2.04,61427,253450438.0,5.87,42.6,40.1,42.0,42.62,0.57,23.32,43.65,2.61,2024-01-10
10,301413,安培龙,63.05,-1.48,-0.95,20449,128402814.0,3.81,64.23,61.79,63.0,64.0,0.63,12.66,58.72,4.23,2024-01-10
11,603231,索宝蛋白,24.44,9.99,2.22,109349,253323709.0,13.64,24.44,21.41,21.93,22.22,1.15,23.31,29.47,2.52,2024-01-10
12,301459,丰茂股份,43.41,-1.34,-0.59,16397,70962269.54,4.34,44.41,42.5,43.44,44.0,0.73,8.65,22.52,3.33,2024-01-10
13,001239,永达股份,20.42,0.59,0.12,115466,237514836.56,8.23,21.45,19.78,20.07,20.3,0.68,24.16,59.56,4.1,2024-01-10
