序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,601033,N永兴,22.21,37.1,6.01,916795,2079438130.0,16.11,24.52,21.91,22.29,16.2,,63.01,22.61,1.98,2024-01-18
2,301567,C贝隆,56.7,-13.3,-8.7,102824,613268760.31,9.79,62.98,56.58,60.79,65.4,0.72,57.12,71.76,5.75,2024-01-18
3,603312,西典新能,36.51,-6.77,-2.65,138555,509068979.0,6.89,38.0,35.3,38.0,39.16,0.72,40.65,30.86,3.56,2024-01-18
4,001387,雪祺电气,26.99,-8.07,-2.37,153886,417903879.77,7.02,28.48,26.42,28.48,29.36,0.77,45.93,28.64,3.28,2024-01-18
5,603325,博隆技术,70.09,-2.8,-2.02,35081,244502705.0,4.69,71.5,68.12,71.0,72.11,0.65,21.48,19.77,2.18,2024-01-18
6,688717,艾罗能源,108.9,1.6,1.72,54945,605710882.0,6.53,113.48,106.48,108.0,107.18,0.94,29.6,12.83,4.06,2024-01-18
7,301566,达利凯普,21.56,-1.73,-0.38,77814,167186171.23,5.97,22.12,20.81,22.05,21.94,0.64,17.02,65.23,6.99,2024-01-18
8,301578,辰奕智能,61.68,-2.17,-1.37,20506,126253660.95,4.69,63.28,60.32,62.4,63.05,0.64,18.02,34.29,3.32,2024-01-18
9,603004,鼎龙科技,27.09,-1.06,-0.29,142124,382558541.0,5.08,27.6,26.21,26.9,27.38,0.79,24.63,39.5,3.46,2024-01-18
10,301526,国际复材,5.45,6.45,0.33,1342824,714683434.63,7.42,5.45,5.07,5.07,5.12,0.97,24.59,36.78,2.44,2024-01-18
11,601096,宏盛华源,6.71,10.0,0.61,1980278,1295094048.0,13.61,6.71,5.88,5.88,6.1,0.61,30.53,151.28,4.27,2024-01-18
12,001358,兴欣新材,41.24,-0.91,-0.38,19470,79668733.46,3.41,41.57,40.15,41.1,41.62,0.71,9.03,21.15,2.42,2024-01-18
13,603373,安邦护卫,39.01,1.11,0.43,66909,260360436.0,7.91,40.34,37.29,37.5,38.58,1.23,25.4,41.96,2.51,2024-01-18
