序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,603341,C龙旗,56.45,1.07,0.6,257990,1507470828.0,10.56,61.86,55.96,56.0,55.85,0.93,55.41,38.83,5.09,2024-03-07
2,301591,肯特股份,53.41,-4.23,-2.36,67936,369711405.76,6.28,56.2,52.7,55.2,55.77,0.71,34.06,56.94,5.53,2024-03-07
3,688584,上海合晶,20.09,0.2,0.04,57303,115820910.0,2.84,20.52,19.95,20.11,20.05,0.77,10.96,53.88,3.18,2024-03-07
4,301589,诺瓦星云,418.01,-0.12,-0.49,7937,336073393.43,3.16,431.0,417.77,418.0,418.5,0.93,10.3,35.32,5.87,2024-03-07
5,688709,成都华微,23.33,2.64,0.6,151878,361653273.0,7.3,24.69,23.03,23.03,22.73,0.98,21.18,47.03,5.44,2024-03-07
