序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,301539,宏鑫科技,25.91,2.57,0.65,98390,251658354.69,3.13,25.95,25.16,25.5,25.26,0.61,28.04,51.46,5.1,2024-04-24
2,688691,灿芯股份,49.57,5.54,2.6,31718,155875601.0,6.79,50.35,47.16,47.18,46.97,0.53,13.24,26.7,4.25,2024-04-24
3,301587,中瑞股份,29.77,3.48,1.0,67363,198355366.48,3.72,29.88,28.81,29.29,28.77,0.81,23.24,32.26,2.26,2024-04-24
4,001389,广合科技,51.71,10.0,4.7,108059,532219441.12,10.44,51.71,46.8,48.0,47.01,0.78,29.26,52.66,8.79,2024-04-24
5,301536,星宸科技,34.0,1.52,0.51,52670,177424158.7,4.33,34.15,32.7,33.3,33.49,0.83,14.8,69.93,5.27,2024-04-24
6,001359,平安电工,25.78,1.14,0.29,94283,241815401.2,2.79,25.96,25.25,25.75,25.49,0.75,20.75,29.04,2.87,2024-04-24
