序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,688584,C合晶,20.34,-1.6,-0.33,132643,267096887.0,3.34,20.55,19.86,20.45,20.67,0.61,25.37,47.21,3.25,2024-02-20
2,301589,C诺瓦,439.0,0.0,0.01,19507,823424027.9,7.95,443.95,409.05,428.0,438.99,0.46,25.33,37.1,6.16,2024-02-20
3,688709,C华微,22.7,5.58,1.2,337172,712108518.0,16.42,23.38,19.85,21.04,21.5,0.87,47.02,55.49,5.55,2024-02-20
4,301502,华阳智能,42.8,2.49,1.04,62400,263940046.75,8.62,43.8,40.2,40.9,41.76,0.77,46.11,38.11,3.04,2024-02-20
5,603082,北自科技,33.47,9.99,3.04,39357,129664597.0,4.83,33.47,32.0,32.56,30.43,0.27,12.38,34.04,3.73,2024-02-20
6,603375,盛景微,47.73,3.81,1.75,59613,274868590.0,7.31,47.87,44.51,45.25,45.98,0.75,30.22,30.12,3.18,2024-02-20
7,301577,美信科技,50.87,-0.41,-0.21,51405,256557305.85,10.22,52.69,47.47,49.88,51.08,1.16,46.33,41.72,3.0,2024-02-20
