序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,301603,N乔锋,54.0,103.77,27.5,181640,1032348211.42,33.85,60.87,51.9,58.88,26.5,,79.17,31.69,3.26,2024-07-10
2,603285,C键邦,28.27,-12.37,-3.99,186075,548893692.0,10.07,31.5,28.25,30.68,32.26,0.79,47.47,25.57,2.75,2024-07-10
3,603350,安乃达,33.5,-9.21,-3.4,148010,508815836.0,5.69,35.46,33.36,35.29,36.9,0.76,52.09,28.6,3.05,2024-07-10
4,603381,永臻股份,24.23,-0.94,-0.23,104941,256611018.0,4.42,24.93,23.85,24.0,24.46,0.88,20.06,21.37,1.61,2024-07-10
5,301580,爱迪特,62.51,-2.51,-1.61,34111,217352442.61,4.09,65.13,62.51,63.24,64.12,0.75,18.9,51.05,2.56,2024-07-10
6,301565,中仑新材,21.89,-4.54,-1.04,119334,266916327.91,4.45,22.85,21.83,22.57,22.93,0.97,21.18,39.7,3.82,2024-07-10
7,688692,达梦数据,202.02,-4.24,-8.94,7180,147494064.0,4.67,211.45,201.6,209.0,210.96,0.71,5.03,68.97,5.05,2024-07-10
