序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,301598,N博科,83.98,118.36,45.52,110042,1061163968.72,71.22,110.0,82.61,98.0,38.46,,74.73,56.9,5.24,2024-12-20
2,301585,N蓝宇,73.0,204.8,49.05,154631,1190812866.42,149.06,103.0,67.3,70.0,23.95,,81.53,53.35,6.27,2024-12-20
3,688605,先锋精科,75.4,0.49,0.37,147698,1121219398.0,9.46,79.9,72.8,74.01,75.03,0.99,38.82,65.37,10.59,2024-12-20
4,301617,博苑股份,55.26,0.0,0.0,40571,224638313.42,2.32,56.08,54.8,54.8,55.26,0.52,16.65,24.92,3.53,2024-12-20
5,688708,佳驰科技,63.5,9.33,5.42,82186,506985792.0,11.54,64.22,57.52,57.9,58.08,1.99,23.01,59.47,8.43,2024-12-20
6,301622,英思特,67.31,1.51,1.0,44900,300510688.25,3.17,67.85,65.75,65.95,66.31,0.82,16.33,42.56,5.4,2024-12-20
7,688449,联芸科技,42.85,4.03,1.66,132555,565057015.0,7.53,43.91,40.81,41.01,41.19,1.7,20.36,202.0,11.94,2024-12-20
8,603395,红四方,57.57,0.45,0.26,101149,587627547.0,3.7,59.5,57.38,57.87,57.31,0.62,25.07,77.2,8.22,2024-12-20
9,301631,壹连科技,126.08,2.04,2.52,13387,167748638.99,3.91,127.38,122.55,123.0,123.56,0.91,10.28,33.62,3.59,2024-12-20
10,688750,金天钛业,21.56,1.84,0.39,44040,94248183.0,2.27,21.58,21.1,21.15,21.17,0.76,5.69,64.0,4.14,2024-12-20
