序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,688709,N华微,19.69,25.49,4.0,489806,1034885037.0,34.23,24.88,19.51,21.33,15.69,,68.31,48.13,4.82,2024-02-07
2,301502,C华阳智,43.15,-26.93,-15.9,92568,479009630.45,28.7,60.0,43.05,59.48,59.05,0.99,68.41,38.42,3.07,2024-02-07
3,603082,北自科技,25.84,-10.0,-2.87,143035,399225445.0,14.49,30.0,25.84,28.75,28.71,0.86,44.99,26.28,2.88,2024-02-07
4,603375,盛景微,40.85,-10.0,-4.54,75459,328028102.0,10.86,45.78,40.85,44.2,45.39,0.96,38.25,25.78,2.72,2024-02-07
5,301577,美信科技,40.13,-14.62,-6.87,46981,205660654.18,14.36,46.75,40.0,46.5,47.0,1.0,42.34,32.91,2.37,2024-02-07
6,001379,腾达科技,14.55,-10.02,-1.62,138840,213487963.11,10.51,16.25,14.55,16.1,16.17,0.92,28.34,29.22,2.07,2024-02-07
7,601033,永兴股份,12.85,-2.5,-0.33,229354,303999957.0,6.15,13.64,12.83,13.08,13.18,1.1,15.76,13.08,1.15,2024-02-07
8,301567,贝隆精密,30.07,-10.1,-3.38,53665,174960140.39,16.74,35.65,30.05,34.96,33.45,0.83,29.81,38.06,3.05,2024-02-07
9,603312,西典新能,24.85,-6.58,-1.75,70065,182025845.0,8.76,26.93,24.6,26.3,26.6,0.77,20.56,21.01,2.42,2024-02-07
10,001387,雪祺电气,17.75,-6.87,-1.31,110388,208693573.1,11.96,19.95,17.67,19.5,19.06,1.42,32.95,18.83,2.16,2024-02-07
11,603325,博隆技术,54.9,-3.29,-1.87,14213,80193463.0,5.99,58.15,54.75,56.4,56.77,0.91,8.7,15.49,1.71,2024-02-07
