序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,603207,C小方,36.41,9.34,3.11,300049,1075501003.0,25.8,39.5,30.91,30.95,33.3,0.99,76.55,24.52,5.08,2024-08-27
2,301571,C国科天,39.11,-1.93,-0.77,161289,649511467.58,12.74,42.78,37.7,40.67,39.88,0.68,47.31,61.17,4.07,2024-08-27
3,301611,珂玛科技,28.57,1.31,0.37,190900,548198243.28,6.13,29.49,27.76,27.76,28.2,0.74,33.85,44.76,8.94,2024-08-27
4,603310,巍华新材,16.55,-1.9,-0.32,78157,130453070.0,2.79,16.99,16.52,16.69,16.87,0.58,11.55,15.72,1.45,2024-08-27
5,688721,龙图光罩,26.41,-2.37,-0.64,35542,94390081.0,3.07,27.02,26.19,27.02,27.05,0.77,14.16,35.73,3.04,2024-08-27
6,301608,博实结,51.25,-1.73,-0.9,31256,162805258.03,3.74,53.15,51.2,51.8,52.15,1.07,18.48,32.37,2.37,2024-08-27
7,603391,力聚热能,39.46,1.6,0.62,34833,138267508.0,5.87,40.82,38.54,38.72,38.84,1.68,15.63,12.51,1.79,2024-08-27
