序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,301587,C中瑞,38.15,3.58,1.32,176515,692589828.17,13.85,42.1,37.0,37.0,36.83,0.96,60.9,41.34,2.89,2024-04-10
2,001389,C广合,44.2,-6.95,-3.3,145811,676014504.78,9.85,48.48,43.8,47.74,47.5,0.72,39.49,45.01,7.52,2024-04-10
3,301536,星宸科技,38.53,-0.9,-0.35,97766,384960799.54,5.2,40.44,38.42,39.59,38.88,0.68,27.48,79.25,5.97,2024-04-10
4,001359,平安电工,28.97,-6.97,-2.17,306279,933939531.26,16.83,33.3,28.06,32.5,31.14,1.42,67.39,32.63,3.22,2024-04-10
5,603344,星德胜,28.55,-2.49,-0.73,109564,316352382.0,4.68,29.55,28.18,28.88,29.28,0.96,22.99,28.05,2.95,2024-04-10
6,301538,骏鼎达,79.59,0.48,0.38,15948,127067409.22,4.42,81.7,78.2,79.43,79.21,0.89,16.82,22.73,2.81,2024-04-10
7,688695,中创股份,38.74,-4.68,-1.9,18488,73147121.0,4.82,40.62,38.66,40.62,40.64,0.84,10.28,49.43,4.15,2024-04-10
8,301588,美新科技,26.61,-0.08,-0.02,37301,99806618.09,4.17,27.37,26.26,26.37,26.63,0.89,16.52,41.64,3.56,2024-04-10
