序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,301502,N华阳智,59.97,114.1,31.96,107675,624130652.02,37.77,65.88,55.3,60.0,28.01,,79.57,53.4,4.26,2024-02-02
2,603082,C北自,39.08,-2.06,-0.82,154502,618449280.0,11.43,42.52,37.96,39.91,39.9,0.78,48.59,39.75,4.36,2024-02-02
3,603375,盛景微,42.19,-5.42,-2.42,68659,290990019.0,8.47,44.3,40.52,43.47,44.61,0.67,34.8,26.62,2.81,2024-02-02
4,301577,美信科技,50.71,-9.45,-5.29,47006,246935226.85,11.07,55.5,49.3,54.02,56.0,0.7,42.37,41.59,2.99,2024-02-02
5,001379,腾达科技,17.1,-8.85,-1.66,161897,285554108.01,9.65,18.69,16.88,18.24,18.76,0.92,33.04,34.34,2.43,2024-02-02
6,601033,永兴股份,13.52,-6.69,-0.97,230307,319566966.0,10.35,14.61,13.11,14.41,14.49,0.76,15.83,13.77,1.21,2024-02-02
7,301567,贝隆精密,39.4,-7.77,-3.32,65824,259746964.85,9.27,41.46,37.5,40.89,42.72,0.86,36.57,49.87,4.0,2024-02-02
8,603312,西典新能,28.72,-7.18,-2.22,117440,341484615.0,7.5,30.2,27.88,29.68,30.94,1.34,34.46,24.28,2.8,2024-02-02
9,001387,雪祺电气,19.26,-6.78,-1.4,90933,179526593.45,10.75,20.85,18.63,20.54,20.66,0.92,27.14,20.44,2.34,2024-02-02
10,603325,博隆技术,57.0,-4.55,-2.72,15829,91097708.0,7.32,59.94,55.57,59.46,59.72,0.71,9.69,16.08,1.77,2024-02-02
11,688717,艾罗能源,76.38,-4.94,-3.97,25306,196290234.0,9.06,80.88,73.6,79.88,80.35,0.87,13.64,9.0,2.85,2024-02-02
