序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,301539,宏鑫科技,26.0,-9.38,-2.69,136101,359338415.66,5.12,27.35,25.88,26.8,28.69,0.65,38.78,51.64,5.12,2024-04-22
2,688691,灿芯股份,49.0,-3.12,-1.58,62885,298997316.0,11.92,50.25,44.22,48.93,50.58,0.82,26.24,26.39,4.2,2024-04-22
3,301587,中瑞股份,29.27,3.5,0.99,84314,246169434.97,7.89,30.38,28.15,28.43,28.28,0.83,29.09,31.72,2.22,2024-04-22
4,001389,广合科技,46.83,-3.44,-1.67,101123,465639858.81,6.89,48.04,44.7,46.0,48.5,0.55,27.39,47.69,7.96,2024-04-22
5,301536,星宸科技,32.98,0.4,0.13,51242,166172582.53,6.94,33.47,31.19,32.0,32.85,0.6,14.4,67.83,5.11,2024-04-22
6,001359,平安电工,26.42,9.99,2.4,132432,334508893.79,11.74,26.42,23.6,23.79,24.02,1.03,29.14,29.76,2.94,2024-04-22
