序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,603375,C盛景微,53.8,-9.58,-5.7,99324,551641892.0,7.11,57.68,53.45,56.94,59.5,0.8,50.35,33.95,3.58,2024-01-26
2,301577,C美信,62.3,-4.49,-2.93,58859,382042649.23,9.63,68.38,62.1,65.25,65.23,0.78,53.05,51.1,3.68,2024-01-26
3,001379,腾达科技,23.38,10.02,2.13,278974,618578676.07,13.93,23.38,20.42,20.76,21.25,1.0,56.94,46.95,3.32,2024-01-26
4,601033,永兴股份,17.06,0.77,0.13,376564,641414030.0,4.43,17.41,16.66,16.83,16.93,0.85,25.88,17.37,1.52,2024-01-26
5,301567,贝隆精密,42.88,-3.49,-1.55,57130,250894574.36,5.94,45.45,42.81,44.09,44.43,0.72,31.74,54.27,4.35,2024-01-26
6,603312,西典新能,33.22,-2.21,-0.75,83278,280756244.0,4.62,34.68,33.11,33.54,33.97,0.74,24.43,28.08,3.23,2024-01-26
7,001387,雪祺电气,24.68,1.73,0.42,120470,297063946.13,5.77,25.3,23.9,24.45,24.26,0.89,35.96,26.19,3.0,2024-01-26
8,603325,博隆技术,69.25,-0.84,-0.59,28753,204016616.0,4.37,72.16,69.11,69.5,69.84,1.17,17.6,19.53,2.15,2024-01-26
9,688717,艾罗能源,88.87,-6.17,-5.84,31009,281752497.0,8.94,95.71,87.24,93.5,94.71,0.72,16.71,10.47,3.31,2024-01-26
10,301566,达利凯普,20.37,-1.36,-0.28,63015,130288755.42,4.75,21.3,20.32,20.51,20.65,0.95,13.78,61.63,6.61,2024-01-26
11,301578,辰奕智能,55.45,-2.74,-1.56,16672,94206607.48,3.86,57.5,55.3,56.8,57.01,0.87,14.65,30.83,2.98,2024-01-26
12,603004,鼎龙科技,24.68,-3.03,-0.77,100420,253197848.0,4.79,25.89,24.67,25.55,25.45,0.88,17.4,35.98,3.15,2024-01-26
