序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,603312,C西典,46.72,-3.27,-1.58,174381,814864997.0,8.78,49.29,45.05,46.2,48.3,0.73,51.16,39.5,4.55,2024-01-15
2,001387,C雪祺,29.7,-10.49,-3.48,176124,536153820.44,6.9,31.89,29.6,30.96,33.18,0.7,52.57,31.51,3.61,2024-01-15
3,603325,C博隆,76.99,-3.04,-2.41,43865,339799999.0,4.71,79.9,76.16,78.1,79.4,0.55,26.85,21.72,2.4,2024-01-15
4,688717,艾罗能源,120.0,1.65,1.95,46412,554603626.0,7.01,124.45,116.18,117.35,118.05,0.67,25.01,14.14,4.47,2024-01-15
5,301566,达利凯普,24.62,3.58,0.85,131566,322757331.74,8.2,25.28,23.33,23.72,23.77,0.86,28.77,74.48,7.99,2024-01-15
6,301578,辰奕智能,69.4,-0.57,-0.4,25736,180016870.49,5.77,72.45,68.42,69.0,69.8,0.64,22.62,38.59,3.73,2024-01-15
7,603004,鼎龙科技,28.29,-6.79,-2.06,185029,535253545.0,5.93,30.07,28.27,30.01,30.35,0.83,32.07,41.25,3.61,2024-01-15
8,301526,国际复材,5.43,-2.51,-0.14,1211716,671318180.3,7.18,5.78,5.38,5.45,5.57,0.76,22.19,36.64,2.43,2024-01-15
9,601096,宏盛华源,6.61,-2.07,-0.14,2742210,1829765714.0,9.33,6.96,6.33,6.71,6.75,0.83,42.27,149.02,4.2,2024-01-15
10,001358,兴欣新材,44.05,-1.5,-0.67,20686,91279665.95,3.06,44.97,43.6,43.83,44.72,0.67,9.6,22.59,2.58,2024-01-15
11,603373,安邦护卫,38.79,-3.03,-1.21,43452,170256663.0,5.75,40.85,38.55,40.15,40.0,0.65,16.5,41.73,2.49,2024-01-15
12,301413,安培龙,62.3,-2.5,-1.6,18637,117752662.0,3.72,64.58,62.2,63.68,63.9,0.81,11.54,58.02,4.18,2024-01-15
