序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,001379,C腾达,23.63,-5.89,-1.48,300726,775827526.56,14.58,27.18,23.52,25.2,25.11,0.98,61.38,47.45,3.35,2024-01-23
2,601033,C永兴,17.59,0.29,0.05,342812,607915494.0,5.07,18.1,17.21,17.3,17.54,0.52,23.56,17.91,1.57,2024-01-23
3,301567,贝隆精密,47.05,-3.47,-1.69,80084,377783757.32,6.96,49.13,45.74,48.0,48.74,0.7,44.49,59.55,4.77,2024-01-23
4,603312,西典新能,36.08,10.0,3.28,85302,300566613.0,11.52,36.08,32.3,32.55,32.8,0.61,25.03,30.5,3.51,2024-01-23
5,001387,雪祺电气,26.65,-0.93,-0.25,121411,326283650.57,8.18,28.03,25.83,26.63,26.9,0.78,36.24,28.28,3.24,2024-01-23
6,603325,博隆技术,66.44,1.2,0.79,19055,126961166.0,4.54,67.99,65.01,65.68,65.65,0.53,11.67,18.74,2.07,2024-01-23
7,688717,艾罗能源,96.85,8.18,7.32,46904,454098058.0,16.7,104.6,89.65,90.32,89.53,0.92,25.27,11.41,3.61,2024-01-23
8,301566,达利凯普,19.98,-0.6,-0.12,58416,117262100.0,4.28,20.53,19.67,20.03,20.1,0.68,12.78,60.45,6.48,2024-01-23
9,301578,辰奕智能,56.46,0.0,0.0,14894,84351755.08,3.77,57.8,55.67,56.51,56.46,0.65,13.09,31.39,3.04,2024-01-23
10,603004,鼎龙科技,24.82,0.77,0.19,85318,211870802.0,4.47,25.25,24.15,24.59,24.63,0.6,14.79,36.19,3.17,2024-01-23
11,301526,国际复材,5.22,2.55,0.13,774557,405487608.16,4.13,5.34,5.13,5.15,5.09,0.78,14.19,35.23,2.34,2024-01-23
