序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,603082,C北自,39.9,-16.35,-7.8,171448,748785057.0,18.39,47.87,39.1,46.0,47.7,0.82,53.92,40.58,4.45,2024-02-01
2,603375,盛景微,44.61,0.81,0.36,65772,292871520.0,3.98,45.3,43.54,44.45,44.25,0.6,33.34,28.15,2.97,2024-02-01
3,301577,美信科技,56.0,2.43,1.33,50506,276048035.57,9.11,57.45,52.47,54.21,54.67,0.72,45.52,45.93,3.31,2024-02-01
4,001379,腾达科技,18.76,-9.98,-2.08,172441,325819636.69,2.64,19.31,18.76,18.8,20.84,0.93,35.19,37.67,2.66,2024-02-01
5,601033,永兴股份,14.49,0.14,0.02,166390,242044864.0,5.39,14.91,14.13,14.4,14.47,0.47,11.44,14.75,1.29,2024-02-01
6,301567,贝隆精密,42.72,6.48,2.6,73276,300537257.95,13.81,44.04,38.5,38.5,40.12,0.99,40.71,54.07,4.33,2024-02-01
7,603312,西典新能,30.94,9.99,2.81,123731,379327204.0,6.36,30.94,29.15,29.19,28.13,1.5,36.3,26.16,3.01,2024-02-01
8,001387,雪祺电气,20.66,-1.01,-0.21,66817,139810640.84,3.74,21.38,20.6,20.6,20.87,0.62,19.94,21.92,2.51,2024-02-01
9,603325,博隆技术,59.72,0.88,0.52,12415,74096461.0,3.61,60.72,58.58,58.99,59.2,0.48,7.6,16.85,1.86,2024-02-01
10,688717,艾罗能源,80.35,1.32,1.05,27676,226654804.0,9.31,84.88,77.5,77.5,79.3,0.9,14.91,9.47,2.99,2024-02-01
