序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,603082,N北自,46.4,118.05,25.12,237523,1146496401.0,52.63,55.8,44.6,46.0,21.28,,74.7,47.19,5.17,2024-01-30
2,603375,C盛景微,47.91,-16.79,-9.67,116849,593899407.0,10.59,53.8,47.7,53.0,57.58,0.95,59.23,30.23,3.19,2024-01-30
3,301577,C美信,61.84,-20.5,-15.95,75595,497369753.13,11.69,70.9,61.81,67.99,77.79,1.0,68.13,50.72,3.65,2024-01-30
4,001379,腾达科技,23.15,-9.99,-2.57,259593,630581966.54,10.85,25.94,23.15,25.21,25.72,1.2,52.98,46.49,3.29,2024-01-30
5,601033,永兴股份,15.62,-8.87,-1.52,319738,513605426.0,6.24,16.68,15.61,16.68,17.14,0.83,21.98,15.9,1.39,2024-01-30
6,301567,贝隆精密,38.82,-12.35,-5.47,73022,294798296.34,8.47,42.5,38.75,41.5,44.29,1.0,40.57,49.13,3.94,2024-01-30
7,603312,西典新能,30.11,-10.01,-3.35,80972,246796478.0,4.18,31.51,30.11,31.48,33.46,0.83,23.76,25.45,2.93,2024-01-30
8,001387,雪祺电气,22.15,-10.0,-2.46,89899,202702881.95,5.24,23.44,22.15,23.4,24.61,0.73,26.83,23.5,2.7,2024-01-30
9,603325,博隆技术,62.96,-9.14,-6.33,24695,160933746.0,6.47,67.4,62.92,67.39,69.29,0.97,15.12,17.76,1.96,2024-01-30
10,688717,艾罗能源,85.66,1.67,1.41,25808,222364288.0,8.15,89.58,82.71,82.71,84.25,0.71,13.91,10.1,3.19,2024-01-30
