序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,603205,N健尔康,70.08,378.36,55.43,233570,1673504205.0,151.6,81.11,58.9,81.0,14.65,,79.45,67.49,6.04,2024-11-07
2,301633,N港迪,137.13,261.44,99.19,107874,1608757505.18,142.07,187.0,133.1,187.0,37.94,,77.5,98.68,8.58,2024-11-07
3,301628,强达电路,97.36,-6.89,-7.2,81384,793085166.37,6.52,102.82,96.0,98.0,104.56,0.64,43.19,69.09,7.02,2024-11-07
4,688726,拉普拉斯,59.53,-1.64,-0.99,56540,331544392.0,3.78,59.8,57.51,59.8,60.52,0.52,16.76,31.41,7.2,2024-11-07
5,301613,新铝时代,70.01,-0.33,-0.23,47110,328817900.46,3.35,70.98,68.63,69.37,70.24,0.62,20.72,32.51,4.6,2024-11-07
6,301626,苏州天脉,116.13,-3.47,-4.17,49108,565078285.15,5.55,118.99,112.31,117.21,120.3,0.64,22.33,71.76,9.25,2024-11-07
7,301592,六九一二,140.97,-8.25,-12.68,91112,1305272608.12,13.02,155.0,135.0,149.0,153.65,1.51,52.06,630.1,11.37,2024-11-07
8,301556,托普云农,77.64,-3.4,-2.73,45180,349322227.51,4.23,78.9,75.5,78.2,80.37,0.99,24.62,64.83,7.38,2024-11-07
9,301522,上大股份,44.2,-1.58,-0.71,129446,571948108.69,5.19,45.64,43.31,44.05,44.91,0.71,18.32,98.84,9.02,2024-11-07
10,001279,强邦新材,52.1,0.25,0.13,35758,185367531.78,1.81,52.16,51.22,51.65,51.97,0.58,9.72,89.93,8.67,2024-11-07
