序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,301566,C达利,30.71,5.93,1.72,312780,953318523.77,24.25,34.58,27.55,27.8,28.99,0.85,68.4,92.91,9.96,2024-01-02
2,301578,C辰奕,73.0,-5.44,-4.2,54783,408634705.47,6.32,77.39,72.51,75.06,77.2,0.68,48.14,40.59,3.93,2024-01-02
3,603004,C鼎龙,37.07,2.97,1.07,279631,1042408269.0,8.28,38.78,35.8,36.67,36.0,0.73,48.46,54.05,4.74,2024-01-02
4,301526,C国际复,5.28,-4.52,-0.25,1351705,731421218.94,4.88,5.55,5.28,5.47,5.53,0.53,24.76,35.63,2.37,2024-01-02
5,601096,宏盛华源,5.34,-4.64,-0.26,1987489,1077491909.0,6.25,5.65,5.3,5.6,5.6,0.71,30.64,120.39,3.4,2024-01-02
6,001358,兴欣新材,48.5,1.04,0.5,51285,251288607.02,4.94,50.08,47.71,47.95,48.0,0.75,23.79,24.87,2.84,2024-01-02
7,603373,安邦护卫,47.36,10.01,4.31,47370,219911394.0,4.3,47.36,45.51,45.51,43.05,0.37,17.98,50.95,3.04,2024-01-02
8,301413,安培龙,73.2,-1.35,-1.0,44241,328182920.57,5.86,76.48,72.13,75.11,74.2,0.65,27.4,68.18,4.91,2024-01-02
9,603231,索宝蛋白,23.58,0.26,0.06,67693,160721971.0,3.23,24.08,23.32,23.48,23.52,0.5,14.43,28.43,2.43,2024-01-02
10,301459,丰茂股份,46.4,-0.09,-0.04,32224,151460518.59,4.09,48.2,46.3,46.61,46.44,0.88,16.99,24.07,3.56,2024-01-02
11,001239,永达股份,24.0,0.71,0.17,217628,525769661.76,4.95,24.82,23.64,24.2,23.83,0.67,45.54,70.01,4.82,2024-01-02
12,301516,中远通,21.77,2.64,0.56,231416,510327735.0,7.78,23.19,21.54,21.7,21.21,1.22,37.4,75.42,4.16,2024-01-02
13,688720,艾森股份,58.99,-2.11,-1.27,7603,44950422.0,4.48,60.98,58.28,60.26,60.26,0.48,4.57,210.35,5.19,2024-01-02
14,601083,锦江航运,12.86,2.96,0.37,435120,561067989.0,3.68,13.1,12.64,12.75,12.49,1.22,23.11,17.88,2.06,2024-01-02
